batch,time_h,temperature_nominal_c,temperature_sensor_c,sensor_minus_nominal_c
LAB004,0.0,18.0,18.0,0.0
LAB004,19.0,18.0,17.8,-0.1999999999999993
LAB004,26.0,18.0,18.2,0.1999999999999993
LAB004,43.0,18.0,18.4,0.3999999999999986
LAB004,50.0,18.0,18.2,0.1999999999999993
LAB004,67.0,18.0,18.4,0.3999999999999986
LAB004,68.0,18.0,18.0,0.0
LAB004,74.0,18.0,17.9,-0.10000000000000142
LAB004,91.0,18.0,18.3,0.3000000000000007
LAB004,98.0,18.0,17.9,-0.10000000000000142
LAB004,115.0,21.0,20.9,-0.10000000000000142
LAB004,122.0,21.0,21.2,0.1999999999999993
LAB004,146.0,21.0,21.1,0.10000000000000142
LAB004,163.0,21.0,20.7,-0.3000000000000007
LAB005,0.0,18.0,18.0,0.0
LAB005,19.0,18.0,18.0,0.0
LAB005,26.0,18.0,18.3,0.3000000000000007
LAB005,43.0,18.0,18.4,0.3999999999999986
LAB005,50.0,18.0,18.2,0.1999999999999993
LAB005,67.0,18.0,18.4,0.3999999999999986
LAB005,68.0,18.0,18.4,0.3999999999999986
LAB005,74.0,18.0,18.4,0.3999999999999986
LAB005,91.0,18.0,18.4,0.3999999999999986
LAB005,98.0,18.0,18.4,0.3999999999999986
LAB005,115.0,21.0,20.7,-0.3000000000000007
LAB005,122.0,21.0,21.4,0.3999999999999986
LAB005,146.0,21.0,20.9,-0.10000000000000142
LAB005,163.0,21.0,20.6,-0.3999999999999986
LAB006,0.0,16.0,16.0,0.0
LAB006,19.0,16.0,16.0,0.0
LAB006,26.0,16.0,16.2,0.1999999999999993
LAB006,43.0,16.0,16.3,0.3000000000000007
LAB006,50.0,16.0,16.3,0.3000000000000007
LAB006,67.0,16.0,16.3,0.3000000000000007
LAB006,74.0,16.0,16.4,0.3999999999999986
LAB006,98.0,16.0,16.2,0.1999999999999993
LAB006,99.0,16.0,16.2,0.1999999999999993
LAB006,115.0,16.0,16.4,0.3999999999999986
LAB006,122.0,16.0,16.3,0.3000000000000007
LAB006,139.0,18.0,18.1,0.10000000000000142
LAB006,146.0,18.0,17.9,-0.10000000000000142
LAB006,170.0,18.0,18.0,0.0
LAB006,194.0,18.0,18.1,0.10000000000000142
LAB006,211.0,18.0,18.0,0.0
LAB007,0.0,21.0,18.4,-2.6000000000000014
LAB007,16.0,21.0,17.4,-3.6000000000000014
LAB007,24.0,21.0,18.4,-2.6000000000000014
LAB007,40.0,21.0,17.9,-3.1000000000000014
LAB007,48.0,21.0,18.3,-2.6999999999999993
LAB007,64.0,21.0,17.9,-3.1000000000000014
LAB007,65.0,21.0,18.1,-2.8999999999999986
LAB007,72.0,18.0,17.9,-0.10000000000000142
LAB007,88.0,18.0,18.1,0.10000000000000142
LAB007,96.0,18.0,20.9,2.8999999999999986
LAB007,112.0,18.0,20.9,2.8999999999999986
LAB007,120.0,18.0,20.7,2.6999999999999993
LAB007,144.0,18.0,20.9,2.8999999999999986
LAB007,160.0,18.0,18.0,0.0
LAB008,0.0,18.0,18.4,0.3999999999999986
LAB008,16.0,18.0,17.4,-0.6000000000000014
LAB008,24.0,18.0,18.4,0.3999999999999986
LAB008,40.0,18.0,17.8,-0.1999999999999993
LAB008,48.0,18.0,18.2,0.1999999999999993
LAB008,64.0,18.0,17.7,-0.3000000000000007
LAB008,65.0,18.0,18.0,0.0
LAB008,72.0,18.0,18.1,0.10000000000000142
LAB008,88.0,18.0,18.1,0.10000000000000142
LAB008,96.0,21.0,20.8,-0.1999999999999993
LAB008,112.0,21.0,20.8,-0.1999999999999993
LAB008,120.0,21.0,20.8,-0.1999999999999993
LAB008,144.0,21.0,20.7,-0.3000000000000007
LAB008,160.0,21.0,21.0,0.0
LAB009,0.0,18.0,21.1,3.1000000000000014
LAB009,16.0,18.0,18.7,0.6999999999999993
LAB009,24.0,18.0,19.4,1.3999999999999986
LAB009,40.0,18.0,20.8,2.8000000000000007
LAB009,41.0,18.0,20.8,2.8000000000000007
LAB009,48.0,18.0,20.8,2.8000000000000007
LAB009,64.0,18.0,20.9,2.8999999999999986
LAB009,72.0,18.0,18.3,0.3000000000000007
LAB009,88.0,18.0,18.3,0.3000000000000007
LAB009,96.0,21.0,17.6,-3.3999999999999986
LAB009,120.0,21.0,18.2,-2.8000000000000007
LAB009,144.0,21.0,17.9,-3.1000000000000014
LAB009,160.0,21.0,21.0,0.0
LAB010,0.0,15.0,15.0,0.0
LAB010,18.999999999941792,15.0,15.200000000023282,0.200000000023282
LAB010,24.0,15.0,15.8,0.8000000000000007
LAB010,42.99999999994179,15.0,15.4,0.40000000000000036
LAB010,66.99999999994179,15.0,15.200000000011642,0.20000000001164153
LAB010,72.0,15.0,15.2,0.1999999999999993
LAB010,79.0,15.0,15.3,0.3000000000000007
LAB010,138.9999999999418,15.0,15.599999999976717,0.5999999999767169
LAB010,162.9999999999418,15.0,15.399999999941793,0.3999999999417927
LAB010,186.9999999999418,15.0,15.0,0.0
LAB011,0.0,18.0,18.0,0.0
LAB011,18.999999999941792,18.0,17.800000000011643,-0.19999999998835705
LAB011,24.0,15.0,16.3,1.3000000000000007
LAB011,42.99999999994179,15.0,15.099999999976717,0.09999999997671694
LAB011,66.99999999994179,15.0,15.100000000023282,0.10000000002328235
LAB011,72.0,15.0,18.8,3.8000000000000007
LAB011,138.9999999999418,21.0,21.000000000011642,1.1642242725429242e-11
LAB011,162.9999999999418,21.0,21.0,0.0
LAB012,0.0,15.0,15.0,0.0
LAB012,18.999999999941792,15.0,15.599999999953434,0.5999999999534342
LAB012,24.0,18.0,16.8,-1.1999999999999993
