batch,kind,source,source_priority,relative_path,part_number,path,n_rows_raw,n_rows_valid,timestamp_min,timestamp_max
LAB004,temperature,external_primary,0,Lote 2\LAB004\Temp_F1_lab004.csv,1,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Proyectos I+D\PI-4497\Resultados\2026\Lecturas Tablero Laboratorio 2026\Lote 2\LAB004\Temp_F1_lab004.csv,17346,17346,2026-04-06 14:46:13,2026-04-07 07:13:27
LAB004,temperature,external_primary,0,Lote 2\LAB004\Temp_F1_lab004_PT2.csv,2,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Proyectos I+D\PI-4497\Resultados\2026\Lecturas Tablero Laboratorio 2026\Lote 2\LAB004\Temp_F1_lab004_PT2.csv,179381,179381,2026-04-07 08:20:22,2026-04-14 11:39:40
LAB004,temperature,repository_fallback,1,Temp_F1_lab004_PT2.csv,2,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\raw_data\Temp_F1_lab004_PT2.csv,179381,179381,2026-04-07 08:20:22,2026-04-14 11:39:40
LAB004,temperature,repository_fallback,1,Desktop_CyT_Tablero_Proceso\Temp_F1_lab004.csv,1,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\raw_data\Desktop_CyT_Tablero_Proceso\Temp_F1_lab004.csv,17346,17346,2026-04-06 14:46:13,2026-04-07 07:13:27
LAB004,co2,external_primary,0,Lote 2\LAB004\CO2_FILT_F1_lab004.csv,1,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Proyectos I+D\PI-4497\Resultados\2026\Lecturas Tablero Laboratorio 2026\Lote 2\LAB004\CO2_FILT_F1_lab004.csv,5779,5779,2026-04-06 14:46:42,2026-04-07 07:13:18
LAB004,co2,external_primary,0,Lote 2\LAB004\CO2_FILT_F1_LAB004_PT2.csv,2,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Proyectos I+D\PI-4497\Resultados\2026\Lecturas Tablero Laboratorio 2026\Lote 2\LAB004\CO2_FILT_F1_LAB004_PT2.csv,59771,59771,2026-04-07 08:23:34,2026-04-14 11:39:51
LAB004,co2,repository_fallback,1,CO2_FILT_F1_LAB004_PT2.csv,2,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\raw_data\CO2_FILT_F1_LAB004_PT2.csv,59771,59771,2026-04-07 08:23:34,2026-04-14 11:39:51
LAB004,co2,repository_fallback,1,Desktop_CyT_Tablero_Proceso\CO2_FILT_F1_lab004.csv,1,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\raw_data\Desktop_CyT_Tablero_Proceso\CO2_FILT_F1_lab004.csv,5779,5779,2026-04-06 14:46:42,2026-04-07 07:13:18
LAB005,temperature,external_primary,0,Lote 2\LAB005\Temp_F2_lab005.csv,1,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Proyectos I+D\PI-4497\Resultados\2026\Lecturas Tablero Laboratorio 2026\Lote 2\LAB005\Temp_F2_lab005.csv,17333,17333,2026-04-06 14:46:55,2026-04-07 07:13:24
LAB005,temperature,external_primary,0,Lote 2\LAB005\Temp_F2_LAB005_PT2.csv,2,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Proyectos I+D\PI-4497\Resultados\2026\Lecturas Tablero Laboratorio 2026\Lote 2\LAB005\Temp_F2_LAB005_PT2.csv,179382,179382,2026-04-07 08:21:03,2026-04-14 11:40:25
