,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0
mu0,25072.97082676714,-16702.462724854147,-2934.5312924184896,-3741.224405624047,13945.425457709032,7479.168960629416,-3088.40813272687,-11521.789773560911,-21.812798793277707,2299.44289628912,0.2355073835930045
qN,-16702.462724854147,15961.63262357229,2300.4303555585493,3132.2941326976706,-10246.513474665728,-5947.019919141905,2286.5044591982114,8486.778224747803,22.977438110512942,-1447.3457652679153,-0.1519451611610178
betaG0,-2934.5312924184896,2300.4303555585493,2392.01206505567,4743.015230967072,-4489.350148488601,-4931.6533342893,105.26454636211493,2074.783288413224,7.008080806487557,-840.9605811705972,-0.09166841894023918
betaF0,-3741.224405624047,3132.2941326976706,4743.015230967072,11155.474848520473,-6801.430799443415,-12142.308886740399,814.4811141765491,2461.866272002298,25.80146785968588,-535.5830045596067,-0.05753877878983808
qEG,13945.425457709032,-10246.513474665728,-4489.350148488601,-6801.430799443415,23339.126809873294,8622.069192019077,-1338.5121856635537,-10364.184309957614,-1.8537789327454064,-4932.466505514002,-0.6851157471094304
qEF,7479.168960629416,-5947.019919141905,-4931.6533342893,-12142.308886740399,8622.069192019077,15960.364534285496,-3318.5368436066956,-5393.080602452562,-23.513401226228027,19.228721709654792,0.0014999179159067364
iG,-3088.40813272687,2286.5044591982114,105.26454636211493,814.4811141765491,-1338.5121856635537,-3318.5368436066956,2239.4062865944766,2393.0118467998027,-1.3643892066739323,490.03796693435015,0.05282923784990729
iE,-11521.789773560911,8486.778224747803,2074.783288413224,2461.866272002298,-10364.184309957614,-5393.080602452562,2393.0118467998027,8874.280962337012,-6.353271272093954,-1729.1890607242658,-0.1820226743730387
Kd0,-21.812798793277707,22.977438110512942,7.008080806487557,25.80146785968588,-1.8537789327454064,-23.513401226228027,-1.3643892066739323,-6.353271272093954,7.292230474008968,-0.04222079489942499,-6.256179637253091e-06
gammaG0,2299.44289628912,-1447.3457652679153,-840.9605811705972,-535.5830045596067,-4932.466505514002,19.228721709654792,490.03796693435015,-1729.1890607242658,-0.04222079489942499,9109.51090727421,1.1235477548007582
gammaF0,0.2355073835930045,-0.1519451611610178,-0.09166841894023918,-0.05753877878983808,-0.6851157471094304,0.0014999179159067364,0.05282923784990729,-0.1820226743730387,-6.256179637253091e-06,1.1235477548007582,0.00014413128119069812
