batch,kind,n_raw_rows_in_horizon,n_resampled_rows,t_first_h,t_last_h,horizon_h,observed_hours_gap_capped_30min,coverage_fraction,max_gap_min,value_min,value_median,value_max,selected_external_rows,selected_fallback_rows,negative_fraction,zero_fraction,spike_flag_fraction
LAB004,temperature,167850,323,1.7702777777777778,163.0,163.0,160.11444444444447,0.9822972051806409,66.91666666666667,16.9,18.4,21.9,167850,0,,,
LAB004,co2,55949,962,1.7783333333333333,162.99944444444444,163.0,160.05,0.9819018404907977,70.26666666666667,-0.6254,3.6805,15.2242,55949,0,0.10414842088330444,0.0993404707858943,0.03828486657491644
LAB005,temperature,167825,323,1.7819444444444446,163.0,163.0,160.09055555555557,0.9821506475800955,67.65,17.7,18.4,21.6,167825,0,,,
LAB005,co2,55944,962,1.7869444444444444,162.99944444444444,163.0,160.03555555555553,0.9818132242672118,70.61666666666666,0.6163,5.97775,13.4441,55944,0,0.0,0.0,0.01655226655226655
LAB006,temperature,217853,418,1.7897222222222222,210.99944444444444,211.0,208.0755555555556,0.9861400737230124,68.05,15.8,16.5,20.0,217853,0,,,
LAB006,co2,72592,1250,1.7952777777777778,210.9986111111111,211.0,208.01499999999996,0.9858530805687202,71.3,0.2433,2.7066,8.8174,72592,0,0.0,0.0,0.014533281904342076
LAB007,temperature,142206,320,0.0008333333333333334,159.99916666666667,160.0,159.99833333333333,0.9999895833333333,0.4,17.4,18.3,21.2,142206,0,,,
LAB007,co2,48570,960,0.0002777777777777778,159.99833333333333,160.0,159.99805555555557,0.9999878472222223,0.5166666666666667,-0.1793,4.41275,17.2742,48570,0,0.04834259831171505,0.02120650607370805,0.02287420218241713
LAB008,temperature,142207,320,0.0,159.99944444444444,160.0,159.99944444444444,0.9999965277777777,0.4,17.3,18.3,21.1,142207,0,,,
LAB008,co2,48570,960,0.0002777777777777778,159.99833333333333,160.0,159.99805555555557,0.9999878472222223,0.5166666666666667,0.575,4.49155,14.7117,48570,0,0.0,0.0,0.019497632283302452
LAB009,temperature,142207,320,0.0002777777777777778,159.99972222222223,160.0,159.99944444444444,0.9999965277777777,0.4,17.2,18.4,22.7,142207,0,,,
LAB009,co2,48570,960,0.0002777777777777778,159.99833333333333,160.0,159.99805555555557,0.9999878472222223,0.5166666666666667,0.6004,1.625,10.1773,48570,0,0.0,0.0,0.013300391187976117
LAB010,temperature,139133,367,1.221111111111111,186.99916666666667,186.9999999999418,183.1172222222222,0.9792364824720813,159.65,14.8,15.4,20.0,118341,20792,,,
LAB010,co2,48121,1100,1.246388888888889,186.99722222222223,186.9999999999418,183.07583333333332,0.9790151515154562,160.5,-0.1803,0.9907,6.4794,41196,6925,0.04241391492279878,0.09216350449907525,0.010722969181854076
LAB011,temperature,121774,319,1.2469444444444444,162.99916666666667,162.9999999999418,159.0622222222222,0.975841854124411,161.4,14.8,20.3,22.3,101002,20772,,,
LAB011,co2,41096,955,1.2519444444444445,162.99972222222223,162.9999999999418,159.05638888888888,0.9758060668033477,161.48333333333332,0.8268,1.8924,23.0056,34173,6923,0.0,0.0,0.06329083122445006
LAB012,temperature,121768,319,1.2530555555555556,162.99972222222223,162.9999999999418,159.05666666666664,0.9758077709614935,161.4,15.1,18.1,22.1,101002,20766,,,
LAB012,co2,41094,955,1.2577777777777779,162.99972222222223,162.9999999999418,159.05055555555555,0.9757702794822843,161.48333333333332,0.5171,2.9713,22.1176,34173,6921,0.0,0.0,0.06594636686620918
