bundle_file,source_path,size_bytes
source_snapshot/build_a15_bundle.py,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\pilot_2025\support\build_a15_bundle.py,46810
source_snapshot/run_pilot_2025_co2_solubility_integrated_doe.py,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\pilot_2025\run_pilot_2025_co2_solubility_integrated_doe.py,96844
source_snapshot/pilot_2025_data_loader.py,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\pilot_2025\support\pilot_2025_data_loader.py,16543
source_snapshot/run_pilot_2025_calibration_estimability.py,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\pilot_2025\support\run_pilot_2025_calibration_estimability.py,56565
source_snapshot/run_pilot_2025_global_model_selection_doe.py,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\pilot_2025\support\run_pilot_2025_global_model_selection_doe.py,54510
source_snapshot/run_pilot_2025_aroma_model_selection_doe.py,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\pilot_2025\support\run_pilot_2025_aroma_model_selection_doe.py,69720
source_snapshot/run_new_must_glycerol_estimability_doe.py,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\run_new_must_glycerol_estimability_doe.py,79602
source_snapshot/run_secondary_joint_campaign_doe.py,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\run_secondary_joint_campaign_doe.py,60953
source_data/mosto_sintetico_vl3.xlsx,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2025\mosto_sintetico_vl3.xlsx,126115
source_data/Calibration_data_vl3.xlsx,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Piloto 2025\Calibration_data_vl3.xlsx,78847
