activity,category,evidence_requirement,role_in_bundle,status,source_path,bundle_path,bytes,sha256
OE2-2.13,notebooks,Metricas de ajuste y analisis,Notebook de respaldo,ok,fermentation_model/fermentation_model_calibration.ipynb,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/notebooks/fermentation_model_calibration.ipynb,1537086,2e9ae17d59caf772f2dedf898e02359f22278e604989166bf69371da264dc299
OE2-2.13,notebooks,Metricas de ajuste y analisis,Notebook de respaldo,ok,fermentation_model/fermentation_model_calibration_3_effective_reformulation.ipynb,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/notebooks/fermentation_model_calibration_3_effective_reformulation.ipynb,264813,62807118bbc97e0c9ddae2d0d1775a7d368ddcb92f5f83d837dc98df09ccf5b9
OE2-2.13,notebooks,Metricas de ajuste y analisis,Notebook de respaldo,ok,fermentation_model/fermentation_new_must_glycerol_estimability_doe.executed.ipynb,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/notebooks/fermentation_new_must_glycerol_estimability_doe.executed.ipynb,674243,189626a9420c3151c4925f0a09ef3e7192f6db33157d1863b848a97e6dc55c04
OE2-2.13,notebooks,Metricas de ajuste y analisis,Notebook de respaldo,ok,fermentation_model/fermentation_secondary_fit_capacity.executed.ipynb,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/notebooks/fermentation_secondary_fit_capacity.executed.ipynb,6713072,060b525a8e62918d5c46193d7efb8bd9e793927d8ab97df6653fa884f893d888
OE2-2.13,notebooks,Metricas de ajuste y analisis,Notebook de respaldo,ok,fermentation_model/fermentation_secondary_joint_campaign_doe.executed.ipynb,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/notebooks/fermentation_secondary_joint_campaign_doe.executed.ipynb,10523769,4b9cb1cb39f985c01056959a0fda8b0518d3654d94f995fcab34c41fa02b8fcf
OE2-2.13,notebooks,Metricas de ajuste y analisis,Notebook de respaldo,ok,fermentation_model/fermentation_aroma_campaign_doe.ipynb,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/notebooks/fermentation_aroma_campaign_doe.ipynb,4001708,d3fc9b66bc33c8d07467c71bb9eda5443508ba5a30d1decd456936c27c82bf41
OE2-2.13,reportes,"Metricas, sensibilidad y supuestos",Reporte fuente,ok,fermentation_model/results/new_must_glycerol_estimability_doe/new_must_glycerol_estimability_doe_report.md,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/source_reports/nmg_doe__new_must_glycerol_estimability_doe_report.md,28412,b473cc3f7da6f51f1b03c0f2d29889b0dc50983fcadee63ca1b22d0799d2dfb7
OE2-2.13,reportes,"Metricas, sensibilidad y supuestos",Reporte fuente,ok,fermentation_model/results/secondary_fit_capacity/secondary_fit_capacity_report.md,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/source_reports/sec_fit__secondary_fit_capacity_report.md,19953,88dac5e896de2dcfcb0d651e7e3cf1e68e5ba4f16087b857cba2c9b236e3bfc8
OE2-2.13,reportes,"Metricas, sensibilidad y supuestos",Reporte fuente,ok,fermentation_model/results/secondary_joint_campaign_doe/secondary_joint_campaign_report.md,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/source_reports/sec_joint__secondary_joint_campaign_report.md,120750,c9f49c08a570111fe279d0a87df8570abb2139f8d159f70aa58e413eb7cbaca3
OE2-2.13,reportes,"Metricas, sensibilidad y supuestos",Reporte fuente,ok,fermentation_model/results/aroma_campaign_doe/aroma_campaign_report.md,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/source_reports/aroma__aroma_campaign_report.md,9159,3bfa8cb7b38dc5f2b89eaaa0b8f768c2e21cb0ca5868de5649addfcf71fd8e96
OE2-2.13,reportes,"Metricas, sensibilidad y supuestos",Reporte fuente,ok,fermentation_model/results/aroma_joint_campaign_doe/aroma_campaign_report.md,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/source_reports/aroma_joint__aroma_campaign_report.md,11958,db14a536096a1d191fb036e102e58351f0e53d4e1db6b222ca57b9dc3bb04752
OE2-2.13,reportes,"Metricas, sensibilidad y supuestos",Reporte fuente,ok,fermentation_model/results/aroma_joint_campaign_doe/aroma_eigen_analysis_report.md,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/source_reports/aroma_joint__aroma_eigen_analysis_report.md,10942,edd1d234fd7db86db6bcc1c710f2c91dd9e3fe8cdc3fdfded559329f2d205f60
OE2-2.13,reportes,"Metricas, sensibilidad y supuestos",Reporte fuente,ok,fermentation_model/results/aroma_joint_campaign_doe/aroma_dopt_benchmark_report.md,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/source_reports/aroma_joint__aroma_dopt_benchmark_report.md,8593,85c41bea9afa9d35ba2bb539223663d627312ecb71b49b82f992b76c6a8ac63c
