campaign_id,display_name,year,scale,matrix,experimental_strategy,controls,aroma_observation,status,raw_data_root,workspace,authoritative_results,notes
laboratory_2025,Laboratorio 2025,2025,laboratory,synthetic_must,CCD_two_factor,fixed_isothermal_temperature_and_nutrient_addition_timing,terminal_or_integrated_measurements,complete,fermentation_model/data/Laboratorio 2025,fermentation_model/laboratory_2025,fermentation_model/results/new_must_glycerol_estimability_doe,Ten CCD fermentations MS007-MS016; feeds the shared calibration and estimability prior.
pilot_2025,Piloto 2025,2025,pilot,natural_grape_must,paired_fermentations,paired_operating_profiles,time_resolved_condensate_and_wine_total,complete,fermentation_model/data/Piloto 2025,fermentation_model/pilot_2025,fermentation_model/pilot_2025/results/co2_solubility_integrated_doe,Eight fermentations in four pairs using the first aroma-capture system.
laboratory_2026,Laboratorio 2026,2026,laboratory,synthetic_and_natural_must,sequential_model_based_doe,dynamic_temperature_initial_conditions_and_manual_pulses,terminal_condensate_plus_liquid_aroma_samples,active,fermentation_model/data/Laboratorio 2026,fermentation_model/laboratory_2026,fermentation_model/results/design_execution_bundle_2026-06-09,Contains a transferability stream and the nine-protocol MBDoE stream; raw MBDoE data currently cover F01-F06.
pilot_2026,Piloto 2026,2026,pilot,natural_grape_must,parallel_three_reactor_profiles,dynamic_temperature_with_constant_nutrition,time_resolved_aroma_characterization,data_integration,fermentation_model/data/Piloto 2026,fermentation_model/pilot_2026,,GC results have arrived; the master reactor/run mapping and homologated dataset are pending.
