campaign_id,path,size_bytes,sha256
laboratory_2025,fermentation_model/data/Laboratorio 2025/mosto_sintetico_vl3.xlsx,126115,1bbf657740503af13facefea7a1e1cae52719e6ff4c570771b678562f170b4a2
pilot_2025,fermentation_model/data/Piloto 2025/Calibration_data_vl3.xlsx,78847,a5320e748a0d15993cd808609cf12afcdba230759abea6c74f4cb074a52ad986
pilot_2025,fermentation_model/data/Piloto 2025/Sensores CO2/25150.xlsx,9246,f08ae2b8098827c7d0c733e3336ecc2bcc553bb87c8c8570a4402d530e90147e
pilot_2025,fermentation_model/data/Piloto 2025/Sensores CO2/25151.xlsx,8629,cdccd758fbb902a1ba162f1c96eee159f3714d09119d0769034e4588adef4763
pilot_2025,fermentation_model/data/Piloto 2025/Sensores CO2/25170.xlsx,874569,5306ad61d25b862f3e399321dc5487d32343f803f06420c105d73046ec620f56
pilot_2025,fermentation_model/data/Piloto 2025/Sensores CO2/25171.xlsx,464802,a0b86c03d88abd5e306074ff7f9235d18bb98bdbc981e4763291e8f69a6fe83f
laboratory_2026,fermentation_model/data/Laboratorio 2026/DOE_Lote_1/DOE26-F01_F1_Lot1_synthetic_lit_SM410_18C_highN_ester/CO2_F1.csv,2793087,7414488519714e0afa29b5357264e71dacac0a5ffec7efa221649680ba6ef4ee
laboratory_2026,fermentation_model/data/Laboratorio 2026/DOE_Lote_1/DOE26-F01_F1_Lot1_synthetic_lit_SM410_18C_highN_ester/CO2_FILT_F1.csv,2954574,52e9425e118a6ff00191426fe944f29c94e3123b5b02f1ac21042282c80fa8de
laboratory_2026,fermentation_model/data/Laboratorio 2026/DOE_Lote_1/DOE26-F01_F1_Lot1_synthetic_lit_SM410_18C_highN_ester/Oculyze_Biomasa_F1.csv,5328,9b011f434f5961b7f88949bae01d0e0c5be210b59207ddddaaaf55a9f470d76d
laboratory_2026,fermentation_model/data/Laboratorio 2026/DOE_Lote_1/DOE26-F01_F1_Lot1_synthetic_lit_SM410_18C_highN_ester/Temp_F1.csv,12582924,8ff5f50851f5f162e4de6ccf271070e8c51c5eb7f2783a25e18264cd2261bf2e
laboratory_2026,fermentation_model/data/Laboratorio 2026/DOE_Lote_1/DOE26-F02_F2_Lot1_synthetic_high_biomass_low_N_maintenance/CO2_F2.csv,3053809,cc8c3a5659cf88f6de49ceb6446c1655d5f49d8195ef39ff0d63860464735444
laboratory_2026,fermentation_model/data/Laboratorio 2026/DOE_Lote_1/DOE26-F02_F2_Lot1_synthetic_high_biomass_low_N_maintenance/CO2_FILT_F2.csv,3237810,77a98e6d81af87967ba3b1c36076850551ce29de750046dc7bf5ca620cb46354
laboratory_2026,fermentation_model/data/Laboratorio 2026/DOE_Lote_1/DOE26-F02_F2_Lot1_synthetic_high_biomass_low_N_maintenance/Oculyze_F2.csv,6204,bb5bdf3ccf3ccac2731c175612287d79561b0f5f1df15bd44d82e97e36ab4cc6
laboratory_2026,fermentation_model/data/Laboratorio 2026/DOE_Lote_1/DOE26-F02_F2_Lot1_synthetic_high_biomass_low_N_maintenance/Temp_F2.csv,14099660,55327223cda4c39345d1a6ea44d2ab8b2ffa64425156bb1d58addd0e7b28ba56
