policy,species,capture_interval,start_h,end_h,duration_h,capture_stage_1_c,capture_stage_2_c,maximum_capture_interval_h,maximum_capture_interval_policy,within_approved_duration,captured_mass_mean_ug,captured_mass_min_ug,captured_mass_max_ug,cumulative_mass_start_mean_ug,cumulative_mass_end_mean_ug,mass_conservation_max_abs_error_ug,maximum_trap_loading,maximum_trap_loading_policy,trap_loading_constraint_satisfied,vessel_change_required,strategy,dose_design,sampling_mode,qualification_candidate_id,canonical_policy_hash,final_verdict,qualification_coverage_gate,qualification_thermal_gate,qualification_information_gate,qualification_nutrition_gate,qualification_sampling_gate,watermark,candidate_only_not_for_physical_execution
operational_anchor_18C_N76,ethyl_acetate,1,0.0,22.0,22.0,0.0,-40.0,,unbounded_by_hardware,True,75.57194244361241,0.024525864997314573,982.9202870293416,0.0,75.57194244361241,0.0,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,independent,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,PASS — READY FOR OWNER PHYSICAL RELEASE REVIEW,PASS,PASS,PASS,PASS,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
operational_anchor_18C_N76,ethyl_acetate,2,22.0,42.0,20.0,0.0,-40.0,,unbounded_by_hardware,True,1131.8904091063619,0.1186247428912135,16046.124621721168,75.57194244361241,1207.4623515499743,0.0,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,independent,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,PASS — READY FOR OWNER PHYSICAL RELEASE REVIEW,PASS,PASS,PASS,PASS,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
operational_anchor_18C_N76,ethyl_acetate,3,42.0,50.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,1186.5179024348608,0.13572297263315747,16136.874405249851,1207.4623515499743,2393.9802539848356,0.0,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,independent,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,PASS — READY FOR OWNER PHYSICAL RELEASE REVIEW,PASS,PASS,PASS,PASS,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
operational_anchor_18C_N76,ethyl_acetate,4,50.0,66.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,3233.085467798551,0.7963790500751387,41380.5515161541,2393.9802539848356,5627.065721783387,0.0,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,independent,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,PASS — READY FOR OWNER PHYSICAL RELEASE REVIEW,PASS,PASS,PASS,PASS,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
operational_anchor_18C_N76,ethyl_acetate,5,66.0,70.0,4.0,0.0,-40.0,,unbounded_by_hardware,True,837.6132731037967,0.3248740123592029,10213.817369607306,5627.065721783387,6464.678994887183,0.0,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,independent,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,PASS — READY FOR OWNER PHYSICAL RELEASE REVIEW,PASS,PASS,PASS,PASS,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
operational_anchor_18C_N76,ethyl_acetate,6,70.0,74.0,4.0,0.0,-40.0,,unbounded_by_hardware,True,838.8415332529046,0.33807840213944473,10097.863550749476,6464.678994887183,7303.520528140088,0.0,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,independent,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,PASS — READY FOR OWNER PHYSICAL RELEASE REVIEW,PASS,PASS,PASS,PASS,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
operational_anchor_18C_N76,ethyl_acetate,7,74.0,90.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,3283.3971297379635,1.4156225396915545,39758.87520291956,7303.520528140088,10586.917657878052,0.0,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,independent,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,PASS — READY FOR OWNER PHYSICAL RELEASE REVIEW,PASS,PASS,PASS,PASS,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
operational_anchor_18C_N76,ethyl_acetate,8,90.0,98.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,1539.352646015986,0.7012994992024351,19514.732250207686,10586.917657878052,12126.270303894036,0.0,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,independent,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,PASS — READY FOR OWNER PHYSICAL RELEASE REVIEW,PASS,PASS,PASS,PASS,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
operational_anchor_18C_N76,ethyl_acetate,9,98.0,170.0,72.0,0.0,-40.0,,unbounded_by_hardware,True,8187.792409803876,3.9345918728632014,108651.75434889569,12126.270303894036,20314.062713697913,0.0,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,independent,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,PASS — READY FOR OWNER PHYSICAL RELEASE REVIEW,PASS,PASS,PASS,PASS,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
operational_anchor_18C_N76,ethyl_octanoate,1,0.0,22.0,22.0,0.0,-40.0,,unbounded_by_hardware,True,0.06025144253562477,0.016398282652614945,0.31783171350554146,0.0,0.06025144253562477,3.552713678800501e-15,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,independent,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,PASS — READY FOR OWNER PHYSICAL RELEASE REVIEW,PASS,PASS,PASS,PASS,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
