strategy,comparator_type,robust_score,median,q10,minimum,tail_cvar,feasible,benchmark_status,absolute_score_cost_vs_feasible_benchmark,score_cost_fraction_vs_feasible_benchmark,qualification_candidate_id,canonical_policy_hash,final_verdict,qualification_coverage_gate,qualification_thermal_gate,qualification_information_gate,qualification_nutrition_gate,qualification_sampling_gate,watermark,candidate_only_not_for_physical_execution
II_diagonal_1,balanced_final,21.553848052738026,23.042113789814223,17.089050841509426,13.439670272032696,15.80772729110472,True,not_applicable,-0.43153978978503815,-0.020430522290119588,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,PASS — READY FOR OWNER PHYSICAL RELEASE REVIEW,PASS,PASS,PASS,PASS,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_feasible_information_only_N76,feasible_information_benchmark,21.122308262952988,22.559967183155692,16.80933150234487,13.253929936468847,15.509366784956857,True,feasible_information_benchmark,0.0,0.0,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,PASS — READY FOR OWNER PHYSICAL RELEASE REVIEW,PASS,PASS,PASS,PASS,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
historical_infeasible_information_upper_bound,historical_upper_bound,21.572873075225623,23.02405280698482,17.219333879948035,13.587311782661711,15.909010321334764,False,historical_infeasible_comparator_only,-0.4505648122726349,-0.021331229838307646,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,PASS — READY FOR OWNER PHYSICAL RELEASE REVIEW,PASS,PASS,PASS,PASS,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
