row_parameter,formation_growth_ug_per_g_sugar,formation_stationary_ug_per_g_sugar,effective_loss_scale,species,forcing_source,fit_scope,mass_transfer_kla_ref_h_inv,ethanol_kla_multiplier_per_10_g_l
formation_growth_ug_per_g_sugar,2.3202327769049194,-0.10243929723285315,0.00288550040340909,ethyl_acetate,released_co2_model,calibration_only,,
formation_stationary_ug_per_g_sugar,-0.10243929723285308,0.0072221406430292715,-3.676597465488212e-05,ethyl_acetate,released_co2_model,calibration_only,,
effective_loss_scale,0.0028855004034091815,-3.676597465492005e-05,0.06336095286870122,ethyl_acetate,released_co2_model,calibration_only,,
formation_growth_ug_per_g_sugar,22.5154906207436,-0.47351578859806953,0.017146517556412263,ethyl_octanoate,released_co2_model,calibration_only,,
formation_stationary_ug_per_g_sugar,-0.47351578859807003,0.021763605059424984,-0.003463173770708507,ethyl_octanoate,released_co2_model,calibration_only,,
effective_loss_scale,0.017146517556433625,-0.003463173770708944,0.07885051175919433,ethyl_octanoate,released_co2_model,calibration_only,,
formation_growth_ug_per_g_sugar,27.477050911566792,-0.22348144358486172,0.01252069628411311,isoamyl_acetate,released_co2_model,calibration_only,,
formation_stationary_ug_per_g_sugar,-0.22348144358486377,0.01255619744825765,-0.0014858665582277886,isoamyl_acetate,released_co2_model,calibration_only,,
effective_loss_scale,0.012520696284136086,-0.0014858665582279955,0.11825204035906163,isoamyl_acetate,released_co2_model,calibration_only,,
formation_growth_ug_per_g_sugar,0.34819655187555276,-0.04324646977261105,0.0006567918240518271,ethyl_acetate,released_co2_model,all_data,,
formation_stationary_ug_per_g_sugar,-0.04324646977261117,0.00765593067045906,-6.041557761627229e-05,ethyl_acetate,released_co2_model,all_data,,
effective_loss_scale,0.0006567918240518263,-6.041557761627393e-05,0.015898520247292026,ethyl_acetate,released_co2_model,all_data,,
formation_growth_ug_per_g_sugar,4.683830155515008,-0.3446619272256735,0.0018785972761353785,ethyl_octanoate,released_co2_model,all_data,,
formation_stationary_ug_per_g_sugar,-0.344661927225685,0.03477583626565534,-0.000963767331380397,ethyl_octanoate,released_co2_model,all_data,,
effective_loss_scale,0.00187859727615261,-0.0009637673313816605,0.01587032253981455,ethyl_octanoate,released_co2_model,all_data,,
formation_growth_ug_per_g_sugar,21.952795238235595,-0.33326469963116634,0.008514272244764021,isoamyl_acetate,released_co2_model,all_data,,
formation_stationary_ug_per_g_sugar,-0.33326469963116856,0.012999577223335614,-0.00016181572769728326,isoamyl_acetate,released_co2_model,all_data,,
effective_loss_scale,0.008514272244766643,-0.0001618157276973223,0.005386758730352113,isoamyl_acetate,released_co2_model,all_data,,
formation_growth_ug_per_g_sugar,2.54302827837132,-0.1095864867785794,,ethyl_acetate,dynamic_transfer_model,calibration_only,-0.06858965766675804,0.03183208736962033
formation_stationary_ug_per_g_sugar,-0.10958648677857996,0.007593464438470319,,ethyl_acetate,dynamic_transfer_model,calibration_only,0.0020175109343187085,-0.0015379857700166869
mass_transfer_kla_ref_h_inv,-0.06858965766675804,0.0020175109343186946,,ethyl_acetate,dynamic_transfer_model,calibration_only,0.5907239090898582,-0.003599585751319144
ethanol_kla_multiplier_per_10_g_l,0.03183208736962081,-0.0015379857700167122,,ethyl_acetate,dynamic_transfer_model,calibration_only,-0.003599585751319127,0.09975136723623607
formation_growth_ug_per_g_sugar,24.621787293802058,-0.43818998786242935,,ethyl_octanoate,dynamic_transfer_model,calibration_only,-0.28939441970072793,0.1928135213713644
formation_stationary_ug_per_g_sugar,-0.43818998786242264,0.02010688492757428,,ethyl_octanoate,dynamic_transfer_model,calibration_only,-0.004939923120719763,-0.004147200358700329
mass_transfer_kla_ref_h_inv,-0.2893944197007402,-0.00493992312071947,,ethyl_octanoate,dynamic_transfer_model,calibration_only,0.24112298143270597,-0.007332414824939147
ethanol_kla_multiplier_per_10_g_l,0.19281352137136587,-0.00414720035870035,,ethyl_octanoate,dynamic_transfer_model,calibration_only,-0.007332414824940218,0.05928125514743177
formation_growth_ug_per_g_sugar,27.468086352309523,-0.22226001311635926,,isoamyl_acetate,dynamic_transfer_model,calibration_only,-0.12930174695415217,0.08332076542521925
formation_stationary_ug_per_g_sugar,-0.22226001311635843,0.012729223491564978,,isoamyl_acetate,dynamic_transfer_model,calibration_only,-0.009415573654430128,-0.0008616086633467209
mass_transfer_kla_ref_h_inv,-0.12930174695418917,-0.009415573654429793,,isoamyl_acetate,dynamic_transfer_model,calibration_only,0.7019620091618506,-0.1880003735619744
ethanol_kla_multiplier_per_10_g_l,0.08332076542522285,-0.0008616086633467631,,isoamyl_acetate,dynamic_transfer_model,calibration_only,-0.18800037356197455,0.08899710155530248
formation_growth_ug_per_g_sugar,0.37106280071286163,-0.04549008036584345,,ethyl_acetate,dynamic_transfer_model,all_data,-0.02417328001954564,0.010604662886817082
formation_stationary_ug_per_g_sugar,-0.045490080365843476,0.007949142672746512,,ethyl_acetate,dynamic_transfer_model,all_data,0.002583580181736373,-0.0014508262034877506
mass_transfer_kla_ref_h_inv,-0.024173280019545662,0.002583580181736384,,ethyl_acetate,dynamic_transfer_model,all_data,0.6506789679952218,-0.0015361826272321168
ethanol_kla_multiplier_per_10_g_l,0.010604662886817232,-0.0014508262034877675,,ethyl_acetate,dynamic_transfer_model,all_data,-0.001536182627232305,0.09754745698252998
formation_growth_ug_per_g_sugar,8.607806334736436,-0.42138232711332896,,ethyl_octanoate,dynamic_transfer_model,all_data,-0.3268336792656988,0.15562625460822294
formation_stationary_ug_per_g_sugar,-0.42138232711332707,0.029858364978566174,,ethyl_octanoate,dynamic_transfer_model,all_data,0.008893275862328902,-0.008195107854562757
mass_transfer_kla_ref_h_inv,-0.32683367926571105,0.008893275862329578,,ethyl_octanoate,dynamic_transfer_model,all_data,0.21435088705250457,-0.056626236090929656
ethanol_kla_multiplier_per_10_g_l,0.15562625460822496,-0.008195107854562891,,ethyl_octanoate,dynamic_transfer_model,all_data,-0.05662623609092949,0.02914468179225271
