species,parameter,log_offset_requested,fixed_value,objective,delta_objective,success,forcing_source,fit_scope
ethyl_acetate,formation_growth_ug_per_g_sugar,0.0,15.666992295478325,44.26276426786384,0.0,True,released_co2_model,calibration_only
ethyl_acetate,formation_stationary_ug_per_g_sugar,0.0,77.11271698462843,44.26276426602226,-1.84157755711567e-09,True,released_co2_model,calibration_only
ethyl_acetate,effective_loss_scale,0.0,0.008172816375328752,44.262764170216215,-9.76476215441835e-08,True,released_co2_model,calibration_only
ethyl_octanoate,formation_growth_ug_per_g_sugar,0.0,0.050555981195591744,233.14781959093017,-0.0007046816703564218,True,released_co2_model,calibration_only
ethyl_octanoate,formation_stationary_ug_per_g_sugar,0.0,0.5670194190787735,233.14775351227786,-0.0007707603226663196,True,released_co2_model,calibration_only
ethyl_octanoate,effective_loss_scale,0.0,0.007808217458257648,233.14617056127247,-0.0023537113280553967,True,released_co2_model,calibration_only
isoamyl_acetate,formation_growth_ug_per_g_sugar,0.0,0.19238590029201713,222.82676060227084,-0.08349854537470947,True,released_co2_model,calibration_only
isoamyl_acetate,formation_stationary_ug_per_g_sugar,0.0,6.931479665208075,222.76483198780744,-0.14542715983810695,True,released_co2_model,calibration_only
isoamyl_acetate,effective_loss_scale,0.0,0.005352979924691077,222.91022955574653,-2.959189902185244e-05,True,released_co2_model,calibration_only
ethyl_acetate,formation_growth_ug_per_g_sugar,0.0,42.29297581790771,72.30916519224607,-2.9031355097686173e-09,True,released_co2_model,all_data
ethyl_acetate,formation_stationary_ug_per_g_sugar,0.0,72.61824062522241,72.30916519268956,-2.4596431558165932e-09,True,released_co2_model,all_data
ethyl_acetate,effective_loss_scale,0.0,0.009024104806541495,72.30916117558738,-4.0195618282723444e-06,True,released_co2_model,all_data
ethyl_octanoate,formation_growth_ug_per_g_sugar,0.0,0.17892500060342972,384.7162658431142,-2.6285227249900345e-05,True,released_co2_model,all_data
ethyl_octanoate,formation_stationary_ug_per_g_sugar,0.0,0.5457285234922233,384.7162013234932,-9.080484824153245e-05,True,released_co2_model,all_data
ethyl_octanoate,effective_loss_scale,0.0,0.009192430544781853,384.678413176636,-0.03787895170540878,True,released_co2_model,all_data
isoamyl_acetate,formation_growth_ug_per_g_sugar,0.0,0.39824496505522533,369.257417886667,-3.1383206078317016e-07,True,released_co2_model,all_data
isoamyl_acetate,formation_stationary_ug_per_g_sugar,0.0,7.090228718345898,369.25741820049905,0.0,True,released_co2_model,all_data
isoamyl_acetate,effective_loss_scale,0.0,0.0071514834149229356,369.25469648333586,-0.002721717163183257,True,released_co2_model,all_data
