species,start_index,success,nfev,initial_objective,final_objective,estimate__formation_growth_ug_per_g_sugar,estimate__formation_stationary_ug_per_g_sugar,estimate__effective_loss_scale,forcing_source,fit_scope,estimate__mass_transfer_kla_ref_h_inv,estimate__ethanol_kla_multiplier_per_10_g_l
ethyl_acetate,4,True,25,240936.38645157413,44.26276426786384,15.666992295478325,77.11271698462843,0.008172816375328752,released_co2_model,calibration_only,,
ethyl_acetate,0,True,20,3095.5114368935265,44.262937230800134,15.591395316731221,77.12833865948731,0.008215965138019924,released_co2_model,calibration_only,,
ethyl_acetate,7,True,34,460732.78666033933,44.26679515781235,15.657198224592864,77.11131262247322,0.008622437768239774,released_co2_model,calibration_only,,
ethyl_acetate,6,True,29,234063.73649429446,44.2670260873408,15.665798209554099,77.10962149991438,0.008637690396425124,released_co2_model,calibration_only,,
ethyl_acetate,1,True,20,457.11603792232995,44.27014158486057,15.275245066678927,77.18807462788276,0.008793880055408149,released_co2_model,calibration_only,,
ethyl_acetate,3,True,42,1027.1526523491766,44.34816116981051,15.683825248529406,77.10668548252708,0.005374700569685229,released_co2_model,calibration_only,,
ethyl_acetate,5,True,42,601.8711347308952,44.36335762747673,16.241794992017887,76.9617634084034,0.010672843482836212,released_co2_model,calibration_only,,
ethyl_acetate,2,True,24,9206.141487664525,54.82195650156991,17.14725413554048,73.5566899459305,0.025678247726037166,released_co2_model,calibration_only,,
ethyl_octanoate,7,True,32,9417349188.84404,233.14852427260053,0.050555981195591744,0.5670194190787735,0.007808217458257648,released_co2_model,calibration_only,,
ethyl_octanoate,0,True,18,15131.764464889722,233.2052292814132,0.07161097313550992,0.5622128275245135,0.007842283819762133,released_co2_model,calibration_only,,
ethyl_octanoate,2,True,24,29071625.434718546,233.62088335346735,0.04890680057543617,0.5634634353071063,0.008866346092666571,released_co2_model,calibration_only,,
ethyl_octanoate,4,True,28,6370930998.04642,234.62582822411383,0.039846731751808355,0.5749736402350656,0.006019695094766906,released_co2_model,calibration_only,,
ethyl_octanoate,1,True,21,668.3587664624381,249.34447247224142,0.047375738562344435,0.5692658943384395,0.0008265759795181002,released_co2_model,calibration_only,,
ethyl_octanoate,6,True,27,5448566038.100477,255.60610869728134,0.04411358795451143,0.5706559082287583,5.767549713580407e-05,released_co2_model,calibration_only,,
ethyl_octanoate,3,True,26,50903296.81746205,259.10100346964214,0.04493417945233332,0.5682343748230333,1.1878954095457356e-05,released_co2_model,calibration_only,,
ethyl_octanoate,5,True,23,6827.426022293814,275.72236192183425,0.055922617100177145,0.46229653260452575,0.01812748349729473,released_co2_model,calibration_only,,
isoamyl_acetate,4,True,32,71397855.09808229,222.91025914764555,0.19238590029201713,6.931479665208075,0.005352979924691077,released_co2_model,calibration_only,,
