forcing_source,fit_scope,species,parameter,estimate,lower_bound,upper_bound,active_bound,std_log_local
released_co2_model,calibration_only,ethyl_acetate,formation_growth_ug_per_g_sugar,15.666992295478325,0.00010000000000000009,10000.00000000001,False,1.5232310320187543
released_co2_model,calibration_only,ethyl_acetate,formation_stationary_ug_per_g_sugar,77.11271698462843,0.00010000000000000009,10000.00000000001,False,0.08498317858864347
released_co2_model,calibration_only,ethyl_acetate,effective_loss_scale,0.008172816375328752,9.999999999999997e-06,10.000000000000002,False,0.25171601631342655
released_co2_model,calibration_only,ethyl_octanoate,formation_growth_ug_per_g_sugar,0.050555981195591744,0.00010000000000000009,10000.00000000001,False,4.745049064102878
released_co2_model,calibration_only,ethyl_octanoate,formation_stationary_ug_per_g_sugar,0.5670194190787735,0.00010000000000000009,10000.00000000001,False,0.14752493029798383
released_co2_model,calibration_only,ethyl_octanoate,effective_loss_scale,0.007808217458257648,9.999999999999997e-06,10.000000000000002,False,0.2808033328847689
released_co2_model,calibration_only,isoamyl_acetate,formation_growth_ug_per_g_sugar,0.19238590029201713,0.00010000000000000009,10000.00000000001,False,5.241855674431221
released_co2_model,calibration_only,isoamyl_acetate,formation_stationary_ug_per_g_sugar,6.931479665208075,0.00010000000000000009,10000.00000000001,False,0.11205443966330673
released_co2_model,calibration_only,isoamyl_acetate,effective_loss_scale,0.005352979924691077,9.999999999999997e-06,10.000000000000002,False,0.34387794398457955
released_co2_model,all_data,ethyl_acetate,formation_growth_ug_per_g_sugar,42.29297581790771,0.00010000000000000009,10000.00000000001,False,0.5900818179503184
released_co2_model,all_data,ethyl_acetate,formation_stationary_ug_per_g_sugar,72.61824062522241,0.00010000000000000009,10000.00000000001,False,0.08749817524073894
released_co2_model,all_data,ethyl_acetate,effective_loss_scale,0.009024104806541495,9.999999999999997e-06,10.000000000000002,False,0.12608933439150208
released_co2_model,all_data,ethyl_octanoate,formation_growth_ug_per_g_sugar,0.17892500060342972,0.00010000000000000009,10000.00000000001,False,2.164215829235848
released_co2_model,all_data,ethyl_octanoate,formation_stationary_ug_per_g_sugar,0.5457285234922233,0.00010000000000000009,10000.00000000001,False,0.18648280420900834
released_co2_model,all_data,ethyl_octanoate,effective_loss_scale,0.009192430544781853,9.999999999999997e-06,10.000000000000002,False,0.12597746838151078
released_co2_model,all_data,isoamyl_acetate,formation_growth_ug_per_g_sugar,0.39824496505522533,0.00010000000000000009,10000.00000000001,False,4.6853810131338935
released_co2_model,all_data,isoamyl_acetate,formation_stationary_ug_per_g_sugar,7.090228718345898,0.00010000000000000009,10000.00000000001,False,0.11401568849652058
released_co2_model,all_data,isoamyl_acetate,effective_loss_scale,0.0071514834149229356,9.999999999999997e-06,10.000000000000002,False,0.07339454155693129
dynamic_transfer_model,calibration_only,ethyl_acetate,formation_growth_ug_per_g_sugar,15.287446860073942,0.00010000000000000009,10000.00000000001,False,1.5946875174689616
dynamic_transfer_model,calibration_only,ethyl_acetate,formation_stationary_ug_per_g_sugar,77.14290237699174,0.00010000000000000009,10000.00000000001,False,0.08714048679270917
dynamic_transfer_model,calibration_only,ethyl_acetate,mass_transfer_kla_ref_h_inv,0.004691513088095849,9.999999999999997e-06,19.999999999999996,False,0.7685856550117613
dynamic_transfer_model,calibration_only,ethyl_acetate,ethanol_kla_multiplier_per_10_g_l,0.8752542670401533,0.2,19.999999999999996,False,0.31583439843727606
dynamic_transfer_model,calibration_only,ethyl_octanoate,formation_growth_ug_per_g_sugar,0.0432475579002059,0.00010000000000000009,10000.00000000001,False,4.962034592160967
dynamic_transfer_model,calibration_only,ethyl_octanoate,formation_stationary_ug_per_g_sugar,0.5688681482089539,0.00010000000000000009,10000.00000000001,False,0.14179874797604625
dynamic_transfer_model,calibration_only,ethyl_octanoate,mass_transfer_kla_ref_h_inv,0.004340653255851486,9.999999999999997e-06,19.999999999999996,False,0.4910427490888201
dynamic_transfer_model,calibration_only,ethyl_octanoate,ethanol_kla_multiplier_per_10_g_l,0.7688416974544865,0.2,19.999999999999996,False,0.2434774222539572
dynamic_transfer_model,calibration_only,isoamyl_acetate,formation_growth_ug_per_g_sugar,0.19033270112616169,0.00010000000000000009,10000.00000000001,False,5.241000510619086
dynamic_transfer_model,calibration_only,isoamyl_acetate,formation_stationary_ug_per_g_sugar,6.9044397542563285,0.00010000000000000009,10000.00000000001,False,0.11282386047093486
dynamic_transfer_model,calibration_only,isoamyl_acetate,mass_transfer_kla_ref_h_inv,0.002903544632846821,9.999999999999997e-06,19.999999999999996,False,0.8378317308158307
dynamic_transfer_model,calibration_only,isoamyl_acetate,ethanol_kla_multiplier_per_10_g_l,0.8707105048635799,0.2,19.999999999999996,False,0.29832381995962454
dynamic_transfer_model,all_data,ethyl_acetate,formation_growth_ug_per_g_sugar,41.770107662673894,0.00010000000000000009,10000.00000000001,False,0.6091492433819988
dynamic_transfer_model,all_data,ethyl_acetate,formation_stationary_ug_per_g_sugar,72.70254708976329,0.00010000000000000009,10000.00000000001,False,0.08915796471850684
dynamic_transfer_model,all_data,ethyl_acetate,mass_transfer_kla_ref_h_inv,0.004263532855528216,9.999999999999997e-06,19.999999999999996,False,0.8066467430016822
dynamic_transfer_model,all_data,ethyl_acetate,ethanol_kla_multiplier_per_10_g_l,0.8990997257192225,0.2,19.999999999999996,False,0.31232588266509387
dynamic_transfer_model,all_data,ethyl_octanoate,formation_growth_ug_per_g_sugar,0.12313023861419195,0.00010000000000000009,10000.00000000001,False,2.9339063268510186
dynamic_transfer_model,all_data,ethyl_octanoate,formation_stationary_ug_per_g_sugar,0.5579953233682563,0.00010000000000000009,10000.00000000001,False,0.17279573194545683
dynamic_transfer_model,all_data,ethyl_octanoate,mass_transfer_kla_ref_h_inv,0.004038072810449231,9.999999999999997e-06,19.999999999999996,False,0.46298043916833526
dynamic_transfer_model,all_data,ethyl_octanoate,ethanol_kla_multiplier_per_10_g_l,0.8730100777984203,0.2,19.999999999999996,False,0.17071813551070875
