pass,candidate,trial,status,fim_source,accepted_best_so_far,error,design_hash,targeted_oed_score,logdet,min_relative_eigenvalue,condition_number,correctable_mean_var_reduction,correctable_worst_var_reduction,sN_var_reduction
1,glucose_rich_growth_yield,1,ok,computed,True,,1113bb586f3076,119.81570193279833,114.62317838484216,1.3085045903120998e-05,76423.11745818818,0.9479521131102606,0.7280433377874558,0.7280433377874558
1,glucose_rich_growth_yield,2,ok,computed,False,,30637af804df4c,119.59372727220591,114.43601854161501,1.4925921117214064e-05,66997.54019513744,0.9463137601112442,0.7167757399146362,0.7167757399146362
1,fructose_rich_iG_probe,1,ok,computed,True,,a0da698d39cc00,119.82083987200083,114.65825576817609,1.2807596432949691e-05,78078.66255274348,0.947851503598223,0.7286005300536178,0.7286005300536178
1,fructose_rich_iG_probe,2,ok,computed,False,,7413588c71ce74,119.24625200782344,113.92108259236194,1.2338890645490848e-05,81044.56297823193,0.9490407501881151,0.7376108319509752,0.7376108319509752
1,combined_stress_long_horizon,1,ok,computed,True,,39b5e490e5c607,119.95929247110202,114.65108375699701,1.2407359508544757e-05,80597.32607178147,0.9485403023173444,0.7366898878497699,0.7366898878497699
1,combined_stress_long_horizon,2,ok,computed,True,,f2738d63f4ff1a,120.5764710639894,115.15498477100678,1.3699161674573733e-05,72997.16754610214,0.9491179443322949,0.7330663474775427,0.7330663474775427
1,yan_saturation_scan,1,ok,computed,True,,24805f88f6afef,121.00124949552625,115.25779292704098,1.366983384713193e-05,73153.77869130504,0.9507309805217152,0.7454713954799006,0.7454713954799006
1,yan_saturation_scan,2,ok,computed,False,,18fa660604d27d,119.75522473637795,115.15387624312817,1.3164393627663631e-05,75962.4809378688,0.9455939483730109,0.7048559464209662,0.7048559464209662
1,low_temp_growth_separation_plus_co2,1,failed,failed,False,RuntimeError: Model from experiment did not solve appropriately. Make sure the model is well-posed.,c686b294b9c665,,,,,,,
1,low_temp_growth_separation_plus_co2,2,ok,computed,True,,54d23cb4a8e20d,121.14699214530086,115.24797625341184,1.4100783459242396e-05,70918.04529091944,0.951178217331159,0.7490317645541794,0.7490317645541794
1,glucose_pulse_after_N_depletion,1,ok,computed,False,,00f53f0313763d,121.05776243131645,115.1354258947651,1.3925172706156496e-05,71812.39479765212,0.9508859514891659,0.751084070436893,0.751084070436893
1,glucose_pulse_after_N_depletion,2,ok,computed,False,,f5b7ff0edc792b,121.09905704171766,115.22103953414303,1.3954815617838886e-05,71659.85043339936,0.9509459218479454,0.7491172038587504,0.7491172038587504
1,high_biomass_low_N_maintenance,1,ok,computed,False,,8488418f510c23,121.09433953125975,115.33938933268901,1.290218035865482e-05,77506.27972962703,0.9513036762766774,0.7503256766984111,0.7503256766984111
1,high_biomass_low_N_maintenance,2,ok,computed,False,,4678d57aad8983,121.03979127878877,115.16684399741322,1.3686248039281205e-05,73066.04389529386,0.9512460315704926,0.7503490003884831,0.7503490003884831
1,ethanol_initial_challenge,1,ok,computed,True,,f8692bc4a688df,121.17754316151884,115.16355949308483,1.40043165770428e-05,71406.55486461186,0.9518835286555836,0.7538975311903561,0.7538975311903561
1,ethanol_initial_challenge,2,ok,computed,True,,29541f278d9635,121.3441373333761,115.36910566052806,1.4540445322733919e-05,68773.68456085074,0.9512845765400069,0.7495735530102905,0.7495735530102905
1,viable_biomass_step,1,ok,computed,True,,71314e0fad9510,122.24817985012513,115.8158839467824,1.4628531912408497e-05,68359.5596596922,0.9546809067278361,0.7660224091000167,0.7660224091000167
1,viable_biomass_step,2,ok,computed,False,,4445e9d46ceb87,121.60120539808244,115.5598009228855,1.5208163890479005e-05,65754.15725405517,0.9519404421709694,0.7483742562386697,0.7483742562386697
