parameter,group,campaign_var_ratio,campaign_var_reduction
mu0,accepted_current,0.05821171932954064,0.9417882806704594
sN,currently_fixed_target,0.23397759089998327,0.7660224091000167
qN,accepted_current,0.08144474501284614,0.9185552549871538
qXG,currently_fixed_target,0.01789401878478424,0.9821059812152158
qXF,currently_fixed_target,0.018031370173228263,0.9819686298267717
betaG0,accepted_current,0.011699483505022413,0.9883005164949776
sG,currently_fixed_target,0.015539229986689296,0.9844607700133107
betaF0,accepted_current,0.0032105155980370545,0.9967894844019629
sF,currently_fixed_target,0.04250915884307665,0.9574908411569234
qEG,accepted_current,0.017105584615086943,0.9828944153849131
qEF,accepted_current,0.0028438627831275233,0.9971561372168725
iG,accepted_current,0.002106507238697164,0.9978934927613028
iE,currently_fixed_target,0.01607391597730811,0.9839260840226919
Kd0,currently_fixed_target,0.0009971771740914495,0.9990028228259086
m0,currently_fixed_target,0.017530284338149477,0.9824697156618505
