,mu0,sN,qN,qXG,qXF,betaG0,sG,betaF0,sF,qEG,qEF,iG,iE,Kd0,m0
mu0,428514.9231139365,4553.747880616065,-346020.8693796646,-1477.7262757147587,-143.60488080852292,240000.59714939122,61336.288271182595,133164.71550246936,25640.79232452713,-12011.388175596505,10938.103302132396,-54226.47673839877,-240237.11336967698,-19240.07566032752,700.8101770410369
sN,4553.747880616065,116.37365293636002,-2813.690578383247,-2.3739722599546873,4.43632089070877,2283.0621061982006,586.0116660595801,1162.2202927894905,209.25191867574188,19.03662770676997,138.13328908770478,-532.1856832492128,-2043.3192726221641,-85.45306415419864,9.180023898592292
qN,-346020.8693796646,-2813.690578383247,300000.4503155508,957.6714630304759,-151.343095782486,-192339.81897174538,-51424.3111572936,-107498.7633735693,-21669.29846667,3260.7811660424472,-14318.710534635016,46083.23879081459,203976.84227164192,17585.849937399104,-1113.6743281720228
qXG,-1477.7262757147587,-2.3739722599546873,957.6714630304759,299.5305519895488,136.95065758347295,-5704.577965964023,-322.0294580598803,-4053.2654170274886,-329.49134421082067,6022.00726258027,2584.4906260015387,315.2162373166628,1061.8571685065233,27.78188067735708,316.57757381481997
qXF,-143.60488080852292,4.43632089070877,-151.343095782486,136.95065758347295,216.64019188283277,-3740.010472531314,-331.11964331879426,-2347.0812384690435,48.12479993470768,2714.7680859510083,3235.327651334328,-402.3994610041065,327.4816143572983,-10.671776815316642,265.907419979953
betaG0,240000.59714939122,2283.0621061982006,-192339.81897174538,-5704.577965964023,-3740.010472531314,285993.6540913411,41268.076415357915,145636.0642045934,17401.9690033521,-134910.2511373388,-61634.28173475878,-36036.82865442077,-156149.2802154427,-10115.48049974772,-7451.411615519721
sG,61336.288271182595,586.0116660595801,-51424.3111572936,-322.0294580598803,-331.11964331879426,41268.076415357915,11878.191582386708,24663.916433746064,3732.76285550571,-2520.736609986996,-4364.341052413091,-8295.012469810514,-39075.28593730092,-2972.957932912112,-271.7998029829962
betaF0,133164.71550246936,1162.2202927894905,-107498.7633735693,-4053.2654170274886,-2347.0812384690435,145636.0642045934,24663.916433746064,105586.37974235548,10898.748735416182,-79551.36207696632,-47602.478413843455,-17947.406939996054,-85042.06542143997,-5942.045760535334,-4807.00780668912
sF,25640.79232452713,209.25191867574188,-21669.29846667,-329.49134421082067,48.12479993470768,17401.9690033521,3732.76285550571,10898.748735416182,2625.054754154648,-7045.342466241684,1723.305956633253,-4230.664746954392,-15859.040436601717,-1239.8646800299662,-73.65495223299001
qEG,-12011.388175596505,19.03662770676997,3260.7811660424472,6022.00726258027,2714.7680859510083,-134910.2511373388,-2520.736609986996,-79551.36207696632,-7045.342466241684,155951.60775065035,52298.4049373052,7659.2838610078215,10306.39433504341,-678.5388102788027,7619.372378751121
qEF,10938.103302132396,138.13328908770478,-14318.710534635016,2584.4906260015387,3235.327651334328,-61634.28173475878,-4364.341052413091,-47602.478413843455,1723.305956633253,52298.4049373052,66756.95881551981,-7501.9522592137455,-2252.159677636295,-686.7223730659657,5339.467799305078
iG,-54226.47673839877,-532.1856832492128,46083.23879081459,315.2162373166628,-402.3994610041065,-36036.82865442077,-8295.012469810514,-17947.406939996054,-4230.664746954392,7659.2838610078215,-7501.9522592137455,11522.415665972672,34628.92933729811,2749.8191119898243,-290.7141024772934
iE,-240237.11336967698,-2043.3192726221641,203976.84227164192,1061.8571685065233,327.4816143572983,-156149.2802154427,-39075.28593730092,-85042.06542143997,-15859.040436601717,10306.39433504341,-2252.159677636295,34628.92933729811,155773.72597065347,13168.300214564164,-89.34936633029517
Kd0,-19240.07566032752,-85.45306415419864,17585.849937399104,27.78188067735708,-10.671776815316642,-10115.48049974772,-2972.957932912112,-5942.045760535334,-1239.8646800299662,-678.5388102788027,-686.7223730659657,2749.8191119898243,13168.300214564164,4607.845995900017,-84.91304001309294
m0,700.8101770410369,9.180023898592292,-1113.6743281720228,316.57757381481997,265.907419979953,-7451.411615519721,-271.7998029829962,-4807.00780668912,-73.65495223299001,7619.372378751121,5339.467799305078,-290.7141024772934,-89.34936633029517,-84.91304001309294,551.8509771000016
