policy,species,capture_interval,start_h,end_h,duration_h,capture_stage_1_c,capture_stage_2_c,maximum_capture_interval_h,maximum_capture_interval_policy,within_approved_duration,captured_mass_mean_ug,captured_mass_min_ug,captured_mass_max_ug,cumulative_mass_start_mean_ug,cumulative_mass_end_mean_ug,mass_conservation_max_abs_error_ug,maximum_trap_loading,maximum_trap_loading_policy,trap_loading_constraint_satisfied,vessel_change_required
anchor_18C,isoamyl_acetate,6,74.0,90.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,41.61246392497529,22.149443283611536,128.4810990618269,63.49187704321829,105.10434096819358,5.684341886080802e-14,,not_applicable_for_sampling_nozzle,True,False
anchor_18C,isoamyl_acetate,7,90.0,98.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,20.608640979632845,10.145262688769876,57.45874304224793,105.10434096819358,125.71298194782644,5.684341886080802e-14,,not_applicable_for_sampling_nozzle,True,False
anchor_18C,isoamyl_acetate,8,98.0,162.0,64.0,0.0,-40.0,,unbounded_by_hardware,True,105.79040238801099,52.79222546200951,265.3784835588551,125.71298194782644,231.50338433583744,5.684341886080802e-14,,not_applicable_for_sampling_nozzle,True,False
anchor_18C,isoamyl_acetate,9,162.0,170.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,6.045076931044189,2.376633824561054,12.95647637866523,231.50338433583744,237.5484612668816,5.684341886080802e-14,,not_applicable_for_sampling_nozzle,True,False
candidate_A,ethyl_acetate,1,0.0,18.0,18.0,0.0,-40.0,,unbounded_by_hardware,True,214.88801547508183,0.053999744055236665,2143.003138111363,0.0,214.88801547508183,4.547473508864641e-13,,not_applicable_for_sampling_nozzle,True,False
candidate_A,ethyl_acetate,2,18.0,22.0,4.0,0.0,-40.0,,unbounded_by_hardware,True,258.68710579008086,0.032129425685370805,3568.539461960302,214.88801547508183,473.5751212651627,4.547473508864641e-13,,not_applicable_for_sampling_nozzle,True,False
candidate_A,ethyl_acetate,3,22.0,26.0,4.0,0.0,-40.0,,unbounded_by_hardware,True,580.7510118085158,0.049651897617696505,9183.815150608007,473.5751212651627,1054.3261330736784,4.547473508864641e-13,,not_applicable_for_sampling_nozzle,True,False
candidate_A,ethyl_acetate,4,26.0,42.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,3947.3533422653427,0.6820646092903733,53636.199939073165,1054.3261330736784,5001.67947533902,4.547473508864641e-13,,not_applicable_for_sampling_nozzle,True,False
candidate_A,ethyl_acetate,5,42.0,50.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,2143.0700542764507,0.8028372557915873,26521.90235054461,5001.67947533902,7144.749529615472,4.547473508864641e-13,,not_applicable_for_sampling_nozzle,True,False
candidate_A,ethyl_acetate,6,50.0,66.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,4234.877193045366,1.7943729786685765,50384.246845472415,7144.749529615472,11379.626722660838,4.547473508864641e-13,,not_applicable_for_sampling_nozzle,True,False
