policy,sample_number,time_h,local_timestamp,weekday,active_probability,candidate_only_not_for_physical_execution
anchor_18C,1,0.0,2026-07-20T15:00:00-04:00,Monday,1.0,True
anchor_18C,2,26.0,2026-07-21T17:00:00-04:00,Tuesday,1.0,True
anchor_18C,3,42.0,2026-07-22T09:00:00-04:00,Wednesday,1.0,True
anchor_18C,4,50.0,2026-07-22T17:00:00-04:00,Wednesday,1.0,True
anchor_18C,5,66.0,2026-07-23T09:00:00-04:00,Thursday,1.0,True
anchor_18C,6,74.0,2026-07-23T17:00:00-04:00,Thursday,1.0,True
anchor_18C,7,90.0,2026-07-24T09:00:00-04:00,Friday,1.0,True
anchor_18C,8,98.0,2026-07-24T17:00:00-04:00,Friday,1.0,True
anchor_18C,9,162.0,2026-07-27T09:00:00-04:00,Monday,0.984375,True
anchor_18C,10,170.0,2026-07-27T17:00:00-04:00,Monday,0.984375,True
candidate_A,1,0.0,2026-07-20T15:00:00-04:00,Monday,1.0,True
candidate_A,2,18.0,2026-07-21T09:00:00-04:00,Tuesday,1.0,True
candidate_A,3,22.0,2026-07-21T13:00:00-04:00,Tuesday,1.0,True
candidate_A,4,26.0,2026-07-21T17:00:00-04:00,Tuesday,1.0,True
candidate_A,5,42.0,2026-07-22T09:00:00-04:00,Wednesday,1.0,True
candidate_A,6,50.0,2026-07-22T17:00:00-04:00,Wednesday,1.0,True
candidate_A,7,66.0,2026-07-23T09:00:00-04:00,Thursday,1.0,True
candidate_A,8,74.0,2026-07-23T17:00:00-04:00,Thursday,1.0,True
candidate_A,9,98.0,2026-07-24T17:00:00-04:00,Friday,1.0,True
candidate_A,10,162.0,2026-07-27T09:00:00-04:00,Monday,0.953125,True
candidate_B,1,0.0,2026-07-20T15:00:00-04:00,Monday,1.0,True
candidate_B,2,18.0,2026-07-21T09:00:00-04:00,Tuesday,1.0,True
candidate_B,3,22.0,2026-07-21T13:00:00-04:00,Tuesday,1.0,True
candidate_B,4,26.0,2026-07-21T17:00:00-04:00,Tuesday,1.0,True
candidate_B,5,42.0,2026-07-22T09:00:00-04:00,Wednesday,1.0,True
candidate_B,6,50.0,2026-07-22T17:00:00-04:00,Wednesday,1.0,True
candidate_B,7,66.0,2026-07-23T09:00:00-04:00,Thursday,1.0,True
candidate_B,8,74.0,2026-07-23T17:00:00-04:00,Thursday,1.0,True
candidate_B,9,98.0,2026-07-24T17:00:00-04:00,Friday,1.0,True
candidate_B,10,162.0,2026-07-27T09:00:00-04:00,Monday,0.953125,True
