time_h,policies,conflict_type,status,required_approval
0.0,anchor_18C;candidate_A;candidate_B,simultaneous_manual_sampling,within_capacity,manual_sampling_capacity_per_time_slot
18.0,candidate_A;candidate_B,simultaneous_manual_sampling,within_capacity,manual_sampling_capacity_per_time_slot
22.0,candidate_A;candidate_B,simultaneous_manual_sampling,within_capacity,manual_sampling_capacity_per_time_slot
26.0,anchor_18C;candidate_A;candidate_B,simultaneous_manual_sampling,within_capacity,manual_sampling_capacity_per_time_slot
42.0,anchor_18C;candidate_A;candidate_B,simultaneous_manual_sampling,within_capacity,manual_sampling_capacity_per_time_slot
50.0,anchor_18C;candidate_A;candidate_B,simultaneous_manual_sampling,within_capacity,manual_sampling_capacity_per_time_slot
66.0,anchor_18C;candidate_A;candidate_B,simultaneous_manual_sampling,within_capacity,manual_sampling_capacity_per_time_slot
74.0,anchor_18C;candidate_A;candidate_B,simultaneous_manual_sampling,within_capacity,manual_sampling_capacity_per_time_slot
98.0,anchor_18C;candidate_A;candidate_B,simultaneous_manual_sampling,within_capacity,manual_sampling_capacity_per_time_slot
162.0,anchor_18C;candidate_A;candidate_B,simultaneous_manual_sampling,within_capacity,manual_sampling_capacity_per_time_slot
