Cubada,Temperatura_operacional_columna_Temperatura,Adicion,n_muestreos,t_min_h,t_max_h,Temperatura_Medida_promedio,Brix_inicial,Brix_final,Densidad_inicial,Densidad_final,GLU-FRU_inicial,GLU-FRU_final,GLUCOSE_inicial,GLUCOSE_final,FRUCTOSE_inferida_inicial,FRUCTOSE_inferida_final,YAN_inicial,YAN_final,ETANOL_final,GLYCEROL_final,C_total_final,C_viable_final,Viability_final,flag_calidad
MS007,15,1,9,0,213.0,16.4,23.6,23.7,1098.5,1098.6,234.5,245.86,119.63,125.34,114.87,120.52000000000001,287,224,0,0.34,15,46.24,63.57,
MS008,15,4,9,0,213.0,16.422222222222224,23.3,23.4,1097.1,1097.1,234.26,243.91,118.87,124.28,115.38999999999999,119.63,285,218,0,0.38,15,54.92,69.76,
MS009,23,1,9,0,213.0,22.633333333333333,23.0,23.1,1093.5,1095.4,232.68,235.08,117.57,120.89,115.11000000000001,114.19000000000001,291,236,0,0.38,15,39.25,48.48,REVISAR: Brix fuera de rango plausible (>40)
MS010,19,1,9,0,213.5,19.822222222222223,23.8,23.9,1097.8,1097.9,237.31,237.86,125.78,124.65,111.53,113.21000000000001,271,221,0,0.43,15,80.49,71.54,
MS011,19,4,9,0,213.5,19.744444444444444,23.6,23.7,1097.1,1097.2,240.14,243.34,121.0,123.57,119.13999999999999,119.77000000000001,279,218,0,0.8,20,73.2,70.96,
MS012,23,4,9,0,213.5,23.11111111111111,23.4,23.5,1095.2,1095.3,234.35,236.79,118.27,122.56,116.08,114.22999999999999,274,223,0,0.66,15,50.84,56.97,
MS013,19,3,8,0,213.0,19.65,23.2,23.8,1095.8,1098.4,231.77,241.27,116.07,125.07,115.70000000000002,116.20000000000002,263,218,0,0.27,15,57.3,67.21,
MS014,19,3,8,0,213.0,19.6625,23.9,24.4,1099.1,1101.2,242.11,253.65,121.23,127.15,120.88000000000001,126.5,275,226,0,0.21,15,52.69,67.19,
MS015,15,3,8,0,213.0,16.9375,23.5,23.6,1097.9,1098.3,235.81,240.4,119.1,121.91,116.71000000000001,118.49000000000001,286,220,0,0.22,15,55.76,71.76,
MS016,23,3,8,0,208.0,22.925,23.2,24.1,1094.3,1098.5,230.76,242.1,113.46,125.22,117.3,116.88,252,214,0,0.08,15,39.17,54.08,
