process,sample_id_raw,sample_id_clean,sample_id_corrected,sample_id_resolution,sample_datetime,t_h,Description,cell_total_million_ml,cell_viable_million_ml,cell_dead_million_ml,x_total_g_l,x_viable_g_l,x_dead_g_l,Viability,Budding Index,Density,Temperature,source_file
F1,DOE-LAB001-1,DOE-LAB001-1,False,raw_id_used,2026-06-15 15:30:00,0.0,15/06/26 15:30,4.19,3.498231,0.6917690000000003,0.1257,0.10494693,0.02075307000000001,83.49,22.94,1094.7,20.4,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\DOE26-F01_F1_Lot1_synthetic_lit_SM410_18C_highN_ester\Oculyze_Biomasa_F1.csv
F1,DOE-LAB001-2,DOE-LAB001-2,False,raw_id_used,2026-06-16 08:30:00,17.0,16/06/26 08:30,7.41,6.181422,1.2285779999999997,0.2223,0.18544266,0.03685733999999999,83.42,29.02,1090.9,19.4,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\DOE26-F01_F1_Lot1_synthetic_lit_SM410_18C_highN_ester\Oculyze_Biomasa_F1.csv
F1,DOE-LAB001-3,DOE-LAB001-3,False,raw_id_used,2026-06-16 12:00:00,20.5,16/06/26 12:00,10.6,9.87072,0.7292799999999993,0.318,0.2961216,0.02187839999999998,93.12,27.54,1089.0,20.1,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\DOE26-F01_F1_Lot1_synthetic_lit_SM410_18C_highN_ester\Oculyze_Biomasa_F1.csv
F1,DOE-LAB001-4,DOE-LAB001-4,False,raw_id_used,2026-06-16 14:30:00,23.0,16/06/26 14:30,8.22,7.259904000000001,0.9600960000000001,0.2466,0.21779712,0.02880288,88.32,23.83,1087.0,21.4,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\DOE26-F01_F1_Lot1_synthetic_lit_SM410_18C_highN_ester\Oculyze_Biomasa_F1.csv
F1,DOE-LAB001-5,DOE-LAB001-5,False,raw_id_used,2026-06-16 16:30:00,25.0,16/06/26 16:30,14.09,13.591214,0.49878599999999906,0.42269999999999996,0.40773642,0.014963579999999971,96.46,31.61,1085.1,21.9,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\DOE26-F01_F1_Lot1_synthetic_lit_SM410_18C_highN_ester\Oculyze_Biomasa_F1.csv
F1,DOE-LAB001-6,DOE-LAB001-6,False,raw_id_used,2026-06-17 10:00:00,42.5,17/06/26 10:00,32.87,32.17973,0.6902699999999982,0.9860999999999999,0.9653919,0.020708099999999945,97.9,26.4,1074.4,21.6,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\DOE26-F01_F1_Lot1_synthetic_lit_SM410_18C_highN_ester\Oculyze_Biomasa_F1.csv
F1,DOE-LAB001-7,DOE-LAB001-7,False,raw_id_used,2026-06-17 12:30:00,45.0,17/06/26 12:30,28.69,28.076034,0.6139660000000013,0.8607,0.8422810199999999,0.01841898000000004,97.86,24.1,1073.4,21.1,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\DOE26-F01_F1_Lot1_synthetic_lit_SM410_18C_highN_ester\Oculyze_Biomasa_F1.csv
F1,DOE-LAB001-7,DOE-LAB001-8,True,chronology_inferred,2026-06-17 16:00:00,48.5,17/06/26 16:00,51.84,49.84416000000001,1.995839999999994,1.5552000000000001,1.4953248000000001,0.05987519999999982,96.15,24.15,1067.7,22.0,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\DOE26-F01_F1_Lot1_synthetic_lit_SM410_18C_highN_ester\Oculyze_Biomasa_F1.csv
F1,DOE-LAB001-9,DOE-LAB001-9,False,raw_id_used,2026-06-18 10:00:00,66.5,18/06/26 10:00,70.43,69.27494800000001,1.1550519999999977,2.1129000000000002,2.0782484400000003,0.03465155999999993,98.36,20.07,1053.9,20.8,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\DOE26-F01_F1_Lot1_synthetic_lit_SM410_18C_highN_ester\Oculyze_Biomasa_F1.csv
F1,DOE-LAB001-10,DOE-LAB001-10,False,raw_id_used,2026-06-18 12:30:00,69.0,18/06/26 12:30,58.29,55.987545,2.302455000000002,1.7487,1.67962635,0.06907365000000006,96.05,20.55,1053.1,20.6,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\DOE26-F01_F1_Lot1_synthetic_lit_SM410_18C_highN_ester\Oculyze_Biomasa_F1.csv
