timestamp,flow_filt_sccm,reactor_volume_ml,reactor_volume_l,co2_volume_correction_factor,flow_filt_sccm_per_l,flow_filt_sccm_v0_corrected,process,t_h
2026-06-15 15:30:00,0.0138,1950.0,1.95,1.0256410256410255,0.007076923076923077,0.014153846153846152,F1,0.0
2026-06-15 15:40:00,0.25305,1950.0,1.95,1.0256410256410255,0.12976923076923075,0.2595384615384615,F1,0.16666666666666666
2026-06-15 15:50:00,0.7797,1950.0,1.95,1.0256410256410255,0.39984615384615385,0.7996923076923076,F1,0.3333333333333333
2026-06-15 16:00:00,1.231,1950.0,1.95,1.0256410256410255,0.6312820512820514,1.2625641025641026,F1,0.5
2026-06-15 16:10:00,1.45495,1950.0,1.95,1.0256410256410255,0.7461282051282051,1.49225641025641,F1,0.6666666666666666
2026-06-15 16:20:00,1.4444,1950.0,1.95,1.0256410256410255,0.7407179487179487,1.4814358974358972,F1,0.8333333333333334
2026-06-15 16:30:00,1.25835,1950.0,1.95,1.0256410256410255,0.6453076923076924,1.2906153846153843,F1,1.0
2026-06-15 16:40:00,0.9687,1950.0,1.95,1.0256410256410255,0.4967692307692308,0.9935384615384615,F1,1.1666666666666667
2026-06-15 16:50:00,0.6502,1950.0,1.95,1.0256410256410255,0.3334358974358974,0.6668717948717948,F1,1.3333333333333333
2026-06-15 17:00:00,0.3601,1950.0,1.95,1.0256410256410255,0.18466666666666665,0.3693333333333333,F1,1.5
2026-06-15 17:10:00,0.1335,1950.0,1.95,1.0256410256410255,0.06846153846153846,0.1369230769230769,F1,1.6666666666666667
2026-06-15 17:20:00,-0.0174,1950.0,1.95,1.0256410256410255,-0.008923076923076922,-0.017846153846153845,F1,1.8333333333333333
2026-06-15 17:30:00,-0.0923,1950.0,1.95,1.0256410256410255,-0.04733333333333333,-0.09466666666666665,F1,2.0
2026-06-15 17:40:00,-0.10794999999999999,1950.0,1.95,1.0256410256410255,-0.055358974358974355,-0.11071794871794871,F1,2.1666666666666665
2026-06-15 17:50:00,-0.0847,1950.0,1.95,1.0256410256410255,-0.04343589743589744,-0.08687179487179486,F1,2.3333333333333335
2026-06-15 18:00:00,-0.044050000000000006,1950.0,1.95,1.0256410256410255,-0.02258974358974359,-0.04517948717948718,F1,2.5
2026-06-15 18:10:00,0.0,1950.0,1.95,1.0256410256410255,0.0,0.0,F1,2.6666666666666665
2026-06-15 18:20:00,0.035,1950.0,1.95,1.0256410256410255,0.017948717948717947,0.035897435897435895,F1,2.8333333333333335
2026-06-15 18:30:00,0.0599,1950.0,1.95,1.0256410256410255,0.03071794871794872,0.06143589743589743,F1,3.0
2026-06-15 18:40:00,0.0737,1950.0,1.95,1.0256410256410255,0.037794871794871794,0.07558974358974359,F1,3.1666666666666665
2026-06-15 18:50:00,0.08395,1950.0,1.95,1.0256410256410255,0.04305128205128206,0.08610256410256409,F1,3.3333333333333335
2026-06-15 19:00:00,0.0883,1950.0,1.95,1.0256410256410255,0.04528205128205128,0.09056410256410256,F1,3.5
2026-06-15 19:10:00,0.0927,1950.0,1.95,1.0256410256410255,0.04753846153846154,0.09507692307692307,F1,3.6666666666666665
2026-06-15 19:20:00,0.0949,1950.0,1.95,1.0256410256410255,0.048666666666666664,0.09733333333333333,F1,3.8333333333333335
2026-06-15 19:30:00,0.0945,1950.0,1.95,1.0256410256410255,0.048461538461538466,0.09692307692307692,F1,4.0
2026-06-15 19:40:00,0.09555,1950.0,1.95,1.0256410256410255,0.049,0.098,F1,4.166666666666667
2026-06-15 19:50:00,0.0966,1950.0,1.95,1.0256410256410255,0.049538461538461545,0.09907692307692308,F1,4.333333333333333
2026-06-15 20:00:00,0.10325000000000001,1950.0,1.95,1.0256410256410255,0.05294871794871795,0.10589743589743589,F1,4.5
2026-06-15 20:10:00,0.1105,1950.0,1.95,1.0256410256410255,0.05666666666666667,0.11333333333333333,F1,4.666666666666667
2026-06-15 20:20:00,0.11835000000000001,1950.0,1.95,1.0256410256410255,0.0606923076923077,0.12138461538461537,F1,4.833333333333333
2026-06-15 20:30:00,0.1257,1950.0,1.95,1.0256410256410255,0.06446153846153847,0.12892307692307692,F1,5.0
2026-06-15 20:40:00,0.1284,1950.0,1.95,1.0256410256410255,0.06584615384615385,0.13169230769230766,F1,5.166666666666667
2026-06-15 20:50:00,0.1277,1950.0,1.95,1.0256410256410255,0.0654871794871795,0.13097435897435897,F1,5.333333333333333
2026-06-15 21:00:00,0.1223,1950.0,1.95,1.0256410256410255,0.06271794871794872,0.12543589743589742,F1,5.5
2026-06-15 21:10:00,0.11895,1950.0,1.95,1.0256410256410255,0.061,0.122,F1,5.666666666666667
2026-06-15 21:20:00,0.1179,1950.0,1.95,1.0256410256410255,0.06046153846153846,0.12092307692307691,F1,5.833333333333333
2026-06-15 21:30:00,0.1188,1950.0,1.95,1.0256410256410255,0.06092307692307693,0.12184615384615384,F1,6.0
2026-06-15 21:40:00,0.1255,1950.0,1.95,1.0256410256410255,0.06435897435897436,0.1287179487179487,F1,6.166666666666667
2026-06-15 21:50:00,0.13169999999999998,1950.0,1.95,1.0256410256410255,0.06753846153846155,0.13507692307692304,F1,6.333333333333333
2026-06-15 22:00:00,0.1375,1950.0,1.95,1.0256410256410255,0.07051282051282053,0.14102564102564102,F1,6.5
2026-06-15 22:10:00,0.139,1950.0,1.95,1.0256410256410255,0.07128205128205128,0.14256410256410257,F1,6.666666666666667
2026-06-15 22:20:00,0.1399,1950.0,1.95,1.0256410256410255,0.07174358974358974,0.14348717948717948,F1,6.833333333333333
2026-06-15 22:30:00,0.1445,1950.0,1.95,1.0256410256410255,0.0741025641025641,0.14820512820512818,F1,7.0
2026-06-15 22:40:00,0.14855000000000002,1950.0,1.95,1.0256410256410255,0.07617948717948719,0.15235897435897433,F1,7.166666666666667
2026-06-15 22:50:00,0.1533,1950.0,1.95,1.0256410256410255,0.07861538461538461,0.1572307692307692,F1,7.333333333333333
2026-06-15 23:00:00,0.15745,1950.0,1.95,1.0256410256410255,0.08074358974358975,0.16148717948717947,F1,7.5
2026-06-15 23:10:00,0.1608,1950.0,1.95,1.0256410256410255,0.08246153846153846,0.1649230769230769,F1,7.666666666666667
2026-06-15 23:20:00,0.1672,1950.0,1.95,1.0256410256410255,0.08574358974358974,0.17148717948717945,F1,7.833333333333333
2026-06-15 23:30:00,0.1745,1950.0,1.95,1.0256410256410255,0.08948717948717949,0.17897435897435898,F1,8.0
2026-06-15 23:40:00,0.1849,1950.0,1.95,1.0256410256410255,0.09482051282051283,0.18964102564102564,F1,8.166666666666666
2026-06-15 23:50:00,0.1961,1950.0,1.95,1.0256410256410255,0.10056410256410257,0.20112820512820512,F1,8.333333333333334
2026-06-16 00:00:00,0.204,1950.0,1.95,1.0256410256410255,0.10461538461538461,0.2092307692307692,F1,8.5
2026-06-16 00:10:00,0.213,1950.0,1.95,1.0256410256410255,0.10923076923076923,0.21846153846153843,F1,8.666666666666666
2026-06-16 00:20:00,0.22,1950.0,1.95,1.0256410256410255,0.11282051282051282,0.22564102564102562,F1,8.833333333333334
2026-06-16 00:30:00,0.2262,1950.0,1.95,1.0256410256410255,0.11599999999999999,0.23199999999999998,F1,9.0
2026-06-16 00:40:00,0.2379,1950.0,1.95,1.0256410256410255,0.122,0.24399999999999997,F1,9.166666666666666
2026-06-16 00:50:00,0.25,1950.0,1.95,1.0256410256410255,0.12820512820512822,0.2564102564102564,F1,9.333333333333334
2026-06-16 01:00:00,0.26539999999999997,1950.0,1.95,1.0256410256410255,0.1361025641025641,0.2722051282051282,F1,9.5
2026-06-16 01:10:00,0.282,1950.0,1.95,1.0256410256410255,0.14461538461538462,0.2892307692307692,F1,9.666666666666666
2026-06-16 01:20:00,0.29605000000000004,1950.0,1.95,1.0256410256410255,0.15182051282051284,0.30364102564102563,F1,9.833333333333334
2026-06-16 01:30:00,0.3123,1950.0,1.95,1.0256410256410255,0.16015384615384617,0.3203076923076923,F1,10.0
2026-06-16 01:40:00,0.32845,1950.0,1.95,1.0256410256410255,0.16843589743589743,0.33687179487179486,F1,10.166666666666666
2026-06-16 01:50:00,0.3426,1950.0,1.95,1.0256410256410255,0.1756923076923077,0.35138461538461535,F1,10.333333333333334
2026-06-16 02:00:00,0.3586,1950.0,1.95,1.0256410256410255,0.1838974358974359,0.36779487179487175,F1,10.5
2026-06-16 02:10:00,0.3716,1950.0,1.95,1.0256410256410255,0.19056410256410256,0.3811282051282051,F1,10.666666666666666
2026-06-16 02:20:00,0.3804,1950.0,1.95,1.0256410256410255,0.1950769230769231,0.39015384615384613,F1,10.833333333333334
2026-06-16 02:30:00,0.39125,1950.0,1.95,1.0256410256410255,0.20064102564102565,0.4012820512820512,F1,11.0
2026-06-16 02:40:00,0.4026,1950.0,1.95,1.0256410256410255,0.20646153846153847,0.4129230769230769,F1,11.166666666666666
2026-06-16 02:50:00,0.4121,1950.0,1.95,1.0256410256410255,0.21133333333333332,0.42266666666666663,F1,11.333333333333334
2026-06-16 03:00:00,0.4236,1950.0,1.95,1.0256410256410255,0.21723076923076923,0.4344615384615384,F1,11.5
2026-06-16 03:10:00,0.44445,1950.0,1.95,1.0256410256410255,0.22792307692307692,0.4558461538461538,F1,11.666666666666666
2026-06-16 03:20:00,0.4737,1950.0,1.95,1.0256410256410255,0.24292307692307694,0.4858461538461538,F1,11.833333333333334
2026-06-16 03:30:00,0.5032,1950.0,1.95,1.0256410256410255,0.258051282051282,0.516102564102564,F1,12.0
2026-06-16 03:40:00,0.5304,1950.0,1.95,1.0256410256410255,0.272,0.5439999999999999,F1,12.166666666666666
2026-06-16 03:50:00,0.5515,1950.0,1.95,1.0256410256410255,0.28282051282051285,0.5656410256410256,F1,12.333333333333334
2026-06-16 04:00:00,0.5684,1950.0,1.95,1.0256410256410255,0.2914871794871795,0.5829743589743589,F1,12.5
2026-06-16 04:10:00,0.5881,1950.0,1.95,1.0256410256410255,0.30158974358974355,0.6031794871794871,F1,12.666666666666666
2026-06-16 04:20:00,0.6141,1950.0,1.95,1.0256410256410255,0.3149230769230769,0.6298461538461537,F1,12.833333333333334
2026-06-16 04:30:00,0.6429,1950.0,1.95,1.0256410256410255,0.32969230769230773,0.6593846153846153,F1,13.0
