timestamp,T,SP,process,t_h
2026-06-16 06:30:00,18.3,18.0,F1,15.0
2026-06-16 06:40:00,18.2,18.0,F1,15.166666666666666
2026-06-16 06:50:00,17.8,18.0,F1,15.333333333333334
2026-06-16 07:00:00,18.0,18.0,F1,15.5
2026-06-16 07:10:00,18.2,18.0,F1,15.666666666666666
2026-06-16 07:20:00,17.8,18.0,F1,15.833333333333334
2026-06-16 07:30:00,17.8,18.0,F1,16.0
2026-06-16 07:40:00,18.3,18.0,F1,16.166666666666668
2026-06-16 07:50:00,18.3,18.0,F1,16.333333333333332
2026-06-16 08:00:00,17.7,18.0,F1,16.5
2026-06-16 08:10:00,18.3,18.0,F1,16.666666666666668
2026-06-16 08:20:00,18.1,18.0,F1,16.833333333333332
2026-06-16 08:30:00,17.8,18.0,F1,17.0
2026-06-16 08:40:00,17.85,18.0,F1,17.166666666666668
2026-06-16 08:50:00,17.9,18.0,F1,17.333333333333332
2026-06-16 09:00:00,17.9,18.0,F1,17.5
2026-06-16 09:10:00,18.0,18.0,F1,17.666666666666668
2026-06-16 09:20:00,18.1,18.0,F1,17.833333333333332
2026-06-16 09:30:00,18.1,18.0,F1,18.0
2026-06-16 09:40:00,18.2,18.0,F1,18.166666666666668
2026-06-16 09:50:00,18.2,18.0,F1,18.333333333333332
2026-06-16 10:00:00,18.3,18.0,F1,18.5
2026-06-16 10:10:00,18.4,18.0,F1,18.666666666666668
2026-06-16 10:20:00,18.4,18.0,F1,18.833333333333332
2026-06-16 10:30:00,18.4,18.0,F1,19.0
2026-06-16 10:40:00,18.4,18.0,F1,19.166666666666668
2026-06-16 10:50:00,18.4,18.0,F1,19.333333333333332
2026-06-16 11:00:00,18.4,18.0,F1,19.5
2026-06-16 11:10:00,18.4,18.0,F1,19.666666666666668
2026-06-16 11:20:00,18.4,18.0,F1,19.833333333333332
2026-06-16 11:30:00,18.4,18.0,F1,20.0
2026-06-16 11:40:00,17.9,18.0,F1,20.166666666666668
2026-06-16 11:50:00,17.8,18.0,F1,20.333333333333332
2026-06-16 12:00:00,18.2,18.0,F1,20.5
2026-06-16 12:10:00,18.2,18.0,F1,20.666666666666668
2026-06-16 12:20:00,18.2,18.0,F1,20.833333333333332
2026-06-16 12:30:00,18.2,18.0,F1,21.0
2026-06-16 12:40:00,18.3,18.0,F1,21.166666666666668
2026-06-16 12:50:00,18.4,18.0,F1,21.333333333333332
2026-06-16 13:00:00,18.4,18.0,F1,21.5
2026-06-16 13:10:00,17.7,18.0,F1,21.666666666666668
2026-06-16 13:20:00,18.4,18.0,F1,21.833333333333332
2026-06-16 13:30:00,17.7,18.0,F1,22.0
2026-06-16 13:40:00,18.3,18.0,F1,22.166666666666668
2026-06-16 13:50:00,17.7,18.0,F1,22.333333333333332
2026-06-16 14:00:00,18.2,18.0,F1,22.5
2026-06-16 14:10:00,17.7,18.0,F1,22.666666666666668
2026-06-16 14:20:00,18.2,18.0,F1,22.833333333333332
2026-06-16 14:30:00,18.4,18.0,F1,23.0
2026-06-16 14:40:00,17.8,18.0,F1,23.166666666666668
2026-06-16 14:50:00,18.1,18.0,F1,23.333333333333332
2026-06-16 15:00:00,17.8,18.0,F1,23.5
2026-06-16 15:10:00,17.8,18.0,F1,23.666666666666668
2026-06-16 15:20:00,17.8,18.0,F1,23.833333333333332
2026-06-16 15:30:00,17.9,18.0,F1,24.0
2026-06-16 15:40:00,17.9,18.0,F1,24.166666666666668
2026-06-16 15:50:00,18.0,18.0,F1,24.333333333333332
2026-06-16 16:00:00,18.1,18.0,F1,24.5
2026-06-16 16:10:00,18.2,18.0,F1,24.666666666666668
2026-06-16 16:20:00,18.2,18.0,F1,24.833333333333332
2026-06-16 16:30:00,18.3,18.0,F1,25.0
2026-06-16 16:40:00,18.4,18.0,F1,25.166666666666668
2026-06-16 16:50:00,18.4,18.0,F1,25.333333333333332
2026-06-16 17:00:00,18.4,18.0,F1,25.5
2026-06-16 17:10:00,17.65,18.0,F1,25.666666666666668
2026-06-16 17:20:00,18.1,18.0,F1,25.833333333333332
2026-06-16 17:30:00,17.6,18.0,F1,26.0
2026-06-16 17:40:00,18.3,18.0,F1,26.166666666666668
2026-06-16 17:50:00,17.8,18.0,F1,26.333333333333332
2026-06-16 18:00:00,18.4,18.0,F1,26.5
2026-06-16 18:10:00,17.7,18.0,F1,26.666666666666668
2026-06-16 18:20:00,18.25,18.0,F1,26.833333333333332
2026-06-16 18:30:00,17.6,18.0,F1,27.0
2026-06-16 18:40:00,18.4,18.0,F1,27.166666666666668
2026-06-16 18:50:00,17.7,18.0,F1,27.333333333333332
2026-06-16 19:00:00,18.4,18.0,F1,27.5
2026-06-16 19:10:00,17.6,18.0,F1,27.666666666666668
2026-06-16 19:20:00,18.1,18.0,F1,27.833333333333332
2026-06-16 19:30:00,18.0,18.0,F1,28.0
2026-06-16 19:40:00,17.7,18.0,F1,28.166666666666668
2026-06-16 19:50:00,18.4,18.0,F1,28.333333333333332
2026-06-16 20:00:00,17.7,18.0,F1,28.5
2026-06-16 20:10:00,18.4,18.0,F1,28.666666666666668
2026-06-16 20:20:00,17.6,18.0,F1,28.833333333333332
2026-06-16 20:30:00,17.9,18.0,F1,29.0
2026-06-16 20:40:00,18.3,18.0,F1,29.166666666666668
2026-06-16 20:50:00,17.75,18.0,F1,29.333333333333332
2026-06-16 21:00:00,18.3,18.0,F1,29.5
2026-06-16 21:10:00,17.6,18.0,F1,29.666666666666668
2026-06-16 21:20:00,18.4,18.0,F1,29.833333333333332
2026-06-16 21:30:00,17.6,18.0,F1,30.0
2026-06-16 21:40:00,18.2,18.0,F1,30.166666666666668
2026-06-16 21:50:00,18.1,18.0,F1,30.333333333333332
2026-06-16 22:00:00,17.8,18.0,F1,30.5
2026-06-16 22:10:00,18.5,18.0,F1,30.666666666666668
2026-06-16 22:20:00,17.6,18.0,F1,30.833333333333332
2026-06-16 22:30:00,18.4,18.0,F1,31.0
2026-06-16 22:40:00,17.6,18.0,F1,31.166666666666668
2026-06-16 22:50:00,18.2,18.0,F1,31.333333333333332
2026-06-16 23:00:00,18.1,18.0,F1,31.5
2026-06-16 23:10:00,17.9,18.0,F1,31.666666666666668
2026-06-16 23:20:00,18.4,18.0,F1,31.833333333333332
2026-06-16 23:30:00,17.8,18.0,F1,32.0
2026-06-16 23:40:00,18.6,18.0,F1,32.166666666666664
2026-06-16 23:50:00,17.8,18.0,F1,32.333333333333336
2026-06-17 00:00:00,18.5,18.0,F1,32.5
2026-06-17 00:10:00,17.7,18.0,F1,32.666666666666664
2026-06-17 00:20:00,18.4,18.0,F1,32.833333333333336
2026-06-17 00:30:00,17.7,18.0,F1,33.0
2026-06-17 00:40:00,18.2,18.0,F1,33.166666666666664
2026-06-17 00:50:00,17.9,18.0,F1,33.333333333333336
2026-06-17 01:00:00,17.9,18.0,F1,33.5
2026-06-17 01:10:00,18.4,18.0,F1,33.666666666666664
2026-06-17 01:20:00,17.6,18.0,F1,33.833333333333336
2026-06-17 01:30:00,18.5,18.0,F1,34.0
2026-06-17 01:40:00,17.8,18.0,F1,34.166666666666664
2026-06-17 01:50:00,18.2,18.0,F1,34.333333333333336
2026-06-17 02:00:00,18.0,18.0,F1,34.5
2026-06-17 02:10:00,17.9,18.0,F1,34.666666666666664
2026-06-17 02:20:00,18.6,18.0,F1,34.833333333333336
2026-06-17 02:30:00,17.8,18.0,F1,35.0
2026-06-17 02:40:00,18.4,18.0,F1,35.166666666666664
2026-06-17 02:50:00,17.7,18.0,F1,35.333333333333336
2026-06-17 03:00:00,18.4,18.0,F1,35.5
2026-06-17 03:10:00,17.9,18.0,F1,35.666666666666664
2026-06-17 03:20:00,17.9,18.0,F1,35.833333333333336
2026-06-17 03:30:00,18.5,18.0,F1,36.0
2026-06-17 03:40:00,17.6,18.0,F1,36.166666666666664
2026-06-17 03:50:00,18.5,18.0,F1,36.333333333333336
2026-06-17 04:00:00,17.7,18.0,F1,36.5
2026-06-17 04:10:00,18.5,18.0,F1,36.666666666666664
2026-06-17 04:20:00,17.65,18.0,F1,36.833333333333336
2026-06-17 04:30:00,18.1,18.0,F1,37.0
2026-06-17 04:40:00,18.0,18.0,F1,37.166666666666664
2026-06-17 04:50:00,17.8,18.0,F1,37.333333333333336
2026-06-17 05:00:00,18.6,18.0,F1,37.5
2026-06-17 05:10:00,17.8,18.0,F1,37.666666666666664
2026-06-17 05:20:00,18.4,18.0,F1,37.833333333333336
2026-06-17 05:30:00,17.7,18.0,F1,38.0
2026-06-17 05:40:00,18.4,18.0,F1,38.166666666666664
2026-06-17 05:50:00,17.9,18.0,F1,38.333333333333336
2026-06-17 06:00:00,17.9,18.0,F1,38.5
2026-06-17 06:10:00,18.5,18.0,F1,38.666666666666664
2026-06-17 06:20:00,17.6,18.0,F1,38.833333333333336
2026-06-17 06:30:00,18.5,18.0,F1,39.0
2026-06-17 06:40:00,17.6,18.0,F1,39.166666666666664
2026-06-17 06:50:00,18.3,18.0,F1,39.333333333333336
2026-06-17 07:00:00,18.2,18.0,F1,39.5
2026-06-17 07:10:00,17.7,18.0,F1,39.666666666666664
2026-06-17 07:20:00,18.6,18.0,F1,39.833333333333336
