lot_id,process,design_name,sample_id,sample_datetime,t_h,time_source,Density,sugar_total_g_l,glucose_g_l,fructose_g_l,yan_calc_mg_l_censored,x_viable_g_l,ethanol_percent_vv_rep1,ethanol_percent_vv_rep2,ethanol_percent_vv_final,ethanol_g_l_manual,ethanol_g_l_for_model,ethanol_measurement_datetime,ethanol_method,operator,qc_flag,notes
DOE_Lote_1,F1,synthetic_lit_SM410_18C_highN_ester,DOE-LAB001-1,2026-06-15 15:30,0.0,oculyze_sample_id,1094.7,237.2,105.52,131.68,312.0,0.10494693,,,,,,,,,,
DOE_Lote_1,F1,synthetic_lit_SM410_18C_highN_ester,DOE-LAB001-2,2026-06-16 08:30,17.0,oculyze_sample_id,1090.9,229.83,97.54,132.29000000000002,292.0,0.18544266,,,,,,,,,,
DOE_Lote_1,F1,synthetic_lit_SM410_18C_highN_ester,DOE-LAB001-3,2026-06-16 12:00,20.5,oculyze_sample_id,1089.0,217.23,93.4,123.82999999999998,270.0,0.2961216,,,,,,,,,,
DOE_Lote_1,F1,synthetic_lit_SM410_18C_highN_ester,DOE-LAB001-4,2026-06-16 14:30,23.0,oculyze_sample_id,1087.0,200.35,85.94,114.41,252.0,0.21779712,,,,,,,,,,
DOE_Lote_1,F1,synthetic_lit_SM410_18C_highN_ester,DOE-LAB001-5,2026-06-16 16:30,25.0,oculyze_sample_id,1085.1,182.54,77.19,105.35,222.0,0.40773642,,,,,,,,,,
DOE_Lote_1,F1,synthetic_lit_SM410_18C_highN_ester,DOE-LAB001-6,2026-06-17 10:00,42.5,oculyze_sample_id,1074.4,181.07,73.36,107.71,154.0,0.9653919,,,,,,,,,,
DOE_Lote_1,F1,synthetic_lit_SM410_18C_highN_ester,DOE-LAB001-7,2026-06-17 12:30,45.0,oculyze_sample_id,1073.4,180.26,71.89,108.37,134.0,0.8422810199999999,,,,,,,,,,
DOE_Lote_1,F1,synthetic_lit_SM410_18C_highN_ester,DOE-LAB001-8,2026-06-17 16:00,48.5,oculyze_sample_id,1067.7,171.54,68.6,102.94,114.0,1.4953248,,,,,,,,,,
DOE_Lote_1,F1,synthetic_lit_SM410_18C_highN_ester,DOE-LAB001-9,2026-06-18 10:00,66.5,oculyze_sample_id,1053.9,143.8,50.92,92.88,52.0,2.0782484400000003,,,,,,,,,,
DOE_Lote_1,F1,synthetic_lit_SM410_18C_highN_ester,DOE-LAB001-10,2026-06-18 12:30,69.0,oculyze_sample_id,1053.1,136.56,47.38,89.18,50.0,1.67962635,,,,,,,,,,
