scenario,order,candidate,kind,time_h,datetime,date,score_gain,score
late_16_near_nominal,1,synthetic_fructose_rich_glucose_pulse,full,214.5,2026-06-24 14:00:00,2026-06-24,72.65139818776586,80.34484890554178
late_16_near_nominal,2,synthetic_high_biomass_low_N_maintenance,full,214.5,2026-06-24 14:00:00,2026-06-24,39.99296681483422,120.337815720376
late_16_near_nominal,3,synthetic_lit_SM410_18C_highN_ester,full,48.5,2026-06-17 16:00:00,2026-06-17,15.381977751228817,135.71979347160482
late_16_near_nominal,4,synthetic_high_biomass_low_N_maintenance,full,90.5,2026-06-19 10:00:00,2026-06-19,5.689622381379564,141.40941585298438
late_16_near_nominal,5,synthetic_fructose_rich_glucose_pulse,full,212.5,2026-06-24 12:00:00,2026-06-24,3.280884638273193,144.69030049125757
late_16_near_nominal,6,synthetic_lit_SM410_18C_highN_ester,full,46.5,2026-06-17 14:00:00,2026-06-17,2.6990802403869623,147.38938073164454
late_16_near_nominal,7,synthetic_fructose_rich_glucose_pulse,full,210.5,2026-06-24 10:00:00,2026-06-24,2.192928932124829,149.58230966376937
late_16_near_nominal,8,synthetic_lit_SM410_18C_highN_ester,full,44.5,2026-06-17 12:00:00,2026-06-17,1.6354530654955681,151.21776272926493
late_16_near_nominal,9,synthetic_fructose_rich_glucose_pulse,full,192.5,2026-06-23 16:00:00,2026-06-23,1.5868798399431228,152.80464256920806
late_16_near_nominal,10,synthetic_high_biomass_low_N_maintenance,full,92.5,2026-06-19 12:00:00,2026-06-19,1.38287460054093,154.187517169749
late_16_near_nominal,11,synthetic_fructose_rich_glucose_pulse,full,190.5,2026-06-23 14:00:00,2026-06-23,1.2805152561293198,155.4680324258783
late_16_near_nominal,12,synthetic_lit_SM410_18C_highN_ester,full,66.5,2026-06-18 10:00:00,2026-06-18,1.191997149621585,156.6600295754999
late_16_near_nominal,13,synthetic_high_biomass_low_N_maintenance,full,212.5,2026-06-24 12:00:00,2026-06-24,1.0954552064318648,157.75548478193176
late_16_near_nominal,14,synthetic_fructose_rich_glucose_pulse,full,188.5,2026-06-23 12:00:00,2026-06-23,1.0199338099493787,158.77541859188113
late_16_near_nominal,15,synthetic_fructose_rich_glucose_pulse,full,48.5,2026-06-17 16:00:00,2026-06-17,0.9432223470727479,159.71864093895388
late_16_near_nominal,16,synthetic_fructose_rich_glucose_pulse,full,186.5,2026-06-23 10:00:00,2026-06-23,0.8864697020663357,160.60511064102022
late_16_near_nominal,17,synthetic_high_biomass_low_N_maintenance,full,72.5,2026-06-18 16:00:00,2026-06-18,0.8545374506645942,161.4596480916848
late_16_near_nominal,18,synthetic_lit_SM410_18C_highN_ester,full,214.5,2026-06-24 14:00:00,2026-06-24,0.7873442932705643,162.24699238495538
late_16_near_nominal,19,synthetic_lit_SM410_18C_highN_ester,full,68.5,2026-06-18 12:00:00,2026-06-18,0.7696053590387066,163.01659774399408
late_16_near_nominal,20,synthetic_high_biomass_low_N_maintenance,full,210.5,2026-06-24 10:00:00,2026-06-24,0.7173953491138434,163.73399309310793
late_16_near_nominal,21,synthetic_lit_SM410_18C_highN_ester,full,42.5,2026-06-17 10:00:00,2026-06-17,0.6640705741641,164.39806366727203
late_16_near_nominal,22,synthetic_lit_SM410_18C_highN_ester,full,212.5,2026-06-24 12:00:00,2026-06-24,0.6550451069788039,165.05310877425083
late_16_near_nominal,23,synthetic_high_biomass_low_N_maintenance,full,70.5,2026-06-18 14:00:00,2026-06-18,0.6100948024536308,165.66320357670446
late_16_near_nominal,24,synthetic_lit_SM410_18C_highN_ester,full,70.5,2026-06-18 14:00:00,2026-06-18,0.591818592864854,166.25502216956932
late_16_near_nominal,25,synthetic_fructose_rich_glucose_pulse,full,168.5,2026-06-22 16:00:00,2026-06-22,0.581925512331054,166.83694768190037
late_16_near_nominal,26,synthetic_lit_SM410_18C_highN_ester,full,210.5,2026-06-24 10:00:00,2026-06-24,0.5458698688899233,167.3828175507903
late_16_near_nominal,27,synthetic_fructose_rich_glucose_pulse,full,46.5,2026-06-17 14:00:00,2026-06-17,0.5307535077794228,167.91357105856972
late_16_near_nominal,28,synthetic_high_biomass_low_N_maintenance,full,192.5,2026-06-23 16:00:00,2026-06-23,0.5132260025309847,168.4267970611007
late_16_near_nominal,29,synthetic_fructose_rich_glucose_pulse,full,166.5,2026-06-22 14:00:00,2026-06-22,0.4984078730165322,168.92520493411723
late_16_near_nominal,30,synthetic_high_biomass_low_N_maintenance,full,68.5,2026-06-18 12:00:00,2026-06-18,0.48035178613483254,169.40555672025206
late_16_near_nominal,31,synthetic_lit_SM410_18C_highN_ester,full,72.5,2026-06-18 16:00:00,2026-06-18,0.46426467231734136,169.8698213925694
late_16_near_nominal,32,synthetic_fructose_rich_glucose_pulse,full,164.5,2026-06-22 12:00:00,2026-06-22,0.45493347471921197,170.32475486728862
late_16_near_nominal,33,synthetic_high_biomass_low_N_maintenance,full,190.5,2026-06-23 14:00:00,2026-06-23,0.4344070444570889,170.7591619117457
late_16_near_nominal,34,synthetic_fructose_rich_glucose_pulse,full,162.5,2026-06-22 10:00:00,2026-06-22,0.4199104334482797,171.179072345194
late_16_near_nominal,35,synthetic_fructose_rich_glucose_pulse,full,72.5,2026-06-18 16:00:00,2026-06-18,0.4053389187766072,171.5844112639706
late_16_near_nominal,36,synthetic_high_biomass_low_N_maintenance,full,66.5,2026-06-18 10:00:00,2026-06-18,0.40230095239860475,171.9867122163692
late_16_near_nominal,37,synthetic_high_biomass_low_N_maintenance,full,188.5,2026-06-23 12:00:00,2026-06-23,0.38163857550051716,172.36835079186972
