experiment_id,timestamp,time_h,process_phase,calibration_include,lot,reactor,condition,replicate,protocol,yeast,initial_volume_l,sample_id,state,observed_value,unit,observation_operator,source_column,censoring_type,lower_bound,upper_bound
26134,2026-03-26 16:00:00,24.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-03,brix,16.2,degree_Brix,identity,Brix,observed,,
26134,2026-03-26 16:00:00,24.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-03,cell_budding,28.8,percent,identity,Oculyze Budding,observed,,
26134,2026-03-26 16:00:00,24.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-03,cell_concentration,38.13,10^6_cells/mL,identity,Oculyze Concentration,observed,,
26134,2026-03-26 16:00:00,24.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-03,cell_viability,33.99,percent,identity,Oculyze Viability,observed,,
26134,2026-03-26 16:00:00,24.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-03,density,1063.5,kg/m^3,identity,Densidad,observed,,
26134,2026-03-26 16:00:00,24.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-03,ethanol,1.66,percent_v/v,identity,Cf Alcolyzer Real (% v/v),observed,,
26134,2026-03-26 16:00:00,24.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-03,fructose,70.83,g/L,identity,Y15 Fructosa,observed,,
26134,2026-03-26 16:00:00,24.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-03,glucose,74.21,g/L,identity,Y15 Glucosa,observed,,
26134,2026-03-26 16:00:00,24.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-03,glycerol,1.57,g/L,identity,Y15 Glicerol,observed,,
26134,2026-03-26 16:00:00,24.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-03,primary_amino_nitrogen,77.0,mg/L_N,identity,Y15 PAN,observed,,
26134,2026-03-26 16:00:00,24.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-03,pyruvic_acid,44.0,mg/L,identity,Y15 Piruvic,observed,,
26134,2026-03-27 08:00:00,40.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-04,acetaldehyde,125.0,mg/L,identity,Y15 Acetaldehido,observed,,
26134,2026-03-27 08:00:00,40.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-04,ammonium_nitrogen,70.0,mg/L_N,identity,Y15 Amonio,observed,,
26134,2026-03-27 08:00:00,40.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-04,brix,13.9,degree_Brix,identity,Brix,observed,,
26134,2026-03-27 08:00:00,40.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-04,cell_budding,27.89,percent,identity,Oculyze Budding,observed,,
26134,2026-03-27 08:00:00,40.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-04,cell_concentration,40.48,10^6_cells/mL,identity,Oculyze Concentration,observed,,
26134,2026-03-27 08:00:00,40.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-04,cell_viability,39.4,percent,identity,Oculyze Viability,observed,,
26134,2026-03-27 08:00:00,40.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-04,density,1055.1,kg/m^3,identity,Densidad,observed,,
26134,2026-03-27 08:00:00,40.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-04,ethanol,2.7,percent_v/v,identity,Cf Alcolyzer Real (% v/v),observed,,
26134,2026-03-27 08:00:00,40.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-04,fructose,68.75,g/L,identity,Y15 Fructosa,observed,,
26134,2026-03-27 08:00:00,40.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-04,glucose,56.71,g/L,identity,Y15 Glucosa,observed,,
26134,2026-03-27 08:00:00,40.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-04,glycerol,2.66,g/L,identity,Y15 Glicerol,observed,,
