campaign_order,lot,candidate,event,relative_time_h,datetime,weekday,details,channel,amount,volume_ml,operational,volume_before_ml,volume_after_ml
1,1,synthetic_lit_SM410_18C_highN_ester,DO_measurement,0.0,2026-06-15 08:00:00,Monday,DO spot measurement; no controlled oxygen pulse,,,0.0,True,2000.0,2000.0
1,1,synthetic_lit_SM410_18C_highN_ester,DO_measurement,2.0,2026-06-15 10:00:00,Monday,DO spot measurement; no controlled oxygen pulse,,,0.0,True,2000.0,2000.0
1,1,synthetic_lit_SM410_18C_highN_ester,full_liquid_sample,2.0,2026-06-15 10:00:00,Monday,ethanol+aromas+full panel,,,50.0,True,2000.0,1950.0
1,1,synthetic_lit_SM410_18C_highN_ester,DO_measurement,4.0,2026-06-15 12:00:00,Monday,DO spot measurement; no controlled oxygen pulse,,,0.0,True,1950.0,1950.0
1,1,synthetic_lit_SM410_18C_highN_ester,small_liquid_sample,4.0,2026-06-15 12:00:00,Monday,small panel: biomass/YAN/sugars/glycerol/secondary acids; no ethanol/aromas,,,8.0,True,1950.0,1942.0
1,1,synthetic_lit_SM410_18C_highN_ester,DO_measurement,6.0,2026-06-15 14:00:00,Monday,DO spot measurement; no controlled oxygen pulse,,,0.0,True,1942.0,1942.0
1,1,synthetic_lit_SM410_18C_highN_ester,small_liquid_sample,6.0,2026-06-15 14:00:00,Monday,small panel: biomass/YAN/sugars/glycerol/secondary acids; no ethanol/aromas,,,8.0,True,1942.0,1934.0
1,1,synthetic_lit_SM410_18C_highN_ester,DO_measurement,8.0,2026-06-15 16:00:00,Monday,DO spot measurement; no controlled oxygen pulse,,,0.0,True,1934.0,1934.0
1,1,synthetic_lit_SM410_18C_highN_ester,full_liquid_sample,8.0,2026-06-15 16:00:00,Monday,ethanol+aromas+full panel,,,50.0,True,1934.0,1884.0
1,1,synthetic_lit_SM410_18C_highN_ester,DO_measurement,26.0,2026-06-16 10:00:00,Tuesday,DO spot measurement; no controlled oxygen pulse,,,0.0,True,1884.0,1884.0
1,1,synthetic_lit_SM410_18C_highN_ester,full_liquid_sample,26.0,2026-06-16 10:00:00,Tuesday,ethanol+aromas+full panel,,,50.0,True,1884.0,1834.0
1,1,synthetic_lit_SM410_18C_highN_ester,DO_measurement,28.0,2026-06-16 12:00:00,Tuesday,DO spot measurement; no controlled oxygen pulse,,,0.0,True,1834.0,1834.0
1,1,synthetic_lit_SM410_18C_highN_ester,small_liquid_sample,28.0,2026-06-16 12:00:00,Tuesday,small panel: biomass/YAN/sugars/glycerol/secondary acids; no ethanol/aromas,,,8.0,True,1834.0,1826.0
1,1,synthetic_lit_SM410_18C_highN_ester,DO_measurement,30.0,2026-06-16 14:00:00,Tuesday,DO spot measurement; no controlled oxygen pulse,,,0.0,True,1826.0,1826.0
1,1,synthetic_lit_SM410_18C_highN_ester,small_liquid_sample,30.0,2026-06-16 14:00:00,Tuesday,small panel: biomass/YAN/sugars/glycerol/secondary acids; no ethanol/aromas,,,8.0,True,1826.0,1818.0
1,1,synthetic_lit_SM410_18C_highN_ester,DO_measurement,32.0,2026-06-16 16:00:00,Tuesday,DO spot measurement; no controlled oxygen pulse,,,0.0,True,1818.0,1818.0
1,1,synthetic_lit_SM410_18C_highN_ester,full_liquid_sample,32.0,2026-06-16 16:00:00,Tuesday,ethanol+aromas+full panel,,,50.0,True,1818.0,1768.0
1,1,synthetic_lit_SM410_18C_highN_ester,DO_measurement,50.0,2026-06-17 10:00:00,Wednesday,DO spot measurement; no controlled oxygen pulse,,,0.0,True,1768.0,1768.0
1,1,synthetic_lit_SM410_18C_highN_ester,full_liquid_sample,50.0,2026-06-17 10:00:00,Wednesday,ethanol+aromas+full panel,,,50.0,True,1768.0,1718.0
1,1,synthetic_lit_SM410_18C_highN_ester,DO_measurement,52.0,2026-06-17 12:00:00,Wednesday,DO spot measurement; no controlled oxygen pulse,,,0.0,True,1718.0,1718.0
