candidate,family,medium,horizon_h,temperature_segments,N_pulses_kg_m3,candidate_logdet,candidate_min_eigenvalue,candidate_max_eigenvalue,candidate_min_relative_eigenvalue,candidate_condition_number,candidate_trace_inv,candidate_rank_1e-8,combined_logdet,combined_min_eigenvalue,combined_max_eigenvalue,combined_min_relative_eigenvalue,combined_condition_number,combined_trace_inv,combined_rank_1e-8,var_ratio_mu0,var_reduction_mu0,var_ratio_qN,var_reduction_qN,var_ratio_betaG0,var_reduction_betaG0,var_ratio_betaF0,var_reduction_betaF0,var_ratio_qEG,var_reduction_qEG,var_ratio_qEF,var_reduction_qEF,var_ratio_iG,var_reduction_iG,var_ratio_iE,var_reduction_iE,var_ratio_Kd0,var_reduction_Kd0,var_ratio_gammaG0,var_reduction_gammaG0,var_ratio_gammaF0,var_reduction_gammaF0,var_ratio_kPyrS_N,var_reduction_kPyrS_N,var_ratio_kPyrS_stat,var_reduction_kPyrS_stat,var_ratio_kPyrO2,var_reduction_kPyrO2,var_ratio_kPyrDrain,var_reduction_kPyrDrain,var_ratio_kAldPyr,var_reduction_kAldPyr,var_ratio_kAldS_N,var_reduction_kAldS_N,var_ratio_kAldS_stat,var_reduction_kAldS_stat,var_ratio_kAldO2,var_reduction_kAldO2,var_ratio_kAldRed,var_reduction_kAldRed,var_ratio_kAcAld,var_reduction_kAcAld,var_ratio_kAcStress,var_reduction_kAcStress,var_ratio_kAcAssim,var_reduction_kAcAssim,var_ratio_k_EA_growth,var_reduction_k_EA_growth,var_ratio_k_EA_stationary,var_reduction_k_EA_stationary,var_ratio_k_IAA_growth,var_reduction_k_IAA_growth,var_ratio_k_IAA_stationary,var_reduction_k_IAA_stationary,var_ratio_k_EO_growth,var_reduction_k_EO_growth,var_ratio_k_EO_stationary,var_reduction_k_EO_stationary,var_ratio_alpha_EA_loss,var_reduction_alpha_EA_loss,var_ratio_alpha_IAA_loss,var_reduction_alpha_IAA_loss,var_ratio_alpha_EO_loss,var_reduction_alpha_EO_loss,var_ratio_k_EA_XE,var_reduction_k_EA_XE,var_ratio_k_EA_XE_Nlim,var_reduction_k_EA_XE_Nlim,target_mean_var_reduction,target_worst_var_reduction,aroma_mean_var_reduction,aroma_worst_var_reduction,hybrid_score,dopt_score,eopt_score,rationale
natural_pilot_EA_cold_warm_Nsplit,EA_temperature_Nsplit,natural,300.0,"13, 18, 23, 19",32h:0.025; 80h:0.035,53.334085597127974,5.197945399127864e-09,16703.198786097124,3.1119460803246647e-13,1000000000000.0,1782166.922899318,30,131.7958260560884,2.107783841817848e-08,116390.85782260544,1.8109530948129793e-13,1000000000000.0,229121.4070271744,30,0.9155562063777254,0.08444379362227461,0.8405831627003849,0.1594168372996151,0.7193428786612871,0.2806571213387129,0.6122695709920992,0.3877304290079008,0.810601085023998,0.18939891497600203,0.6107409035832074,0.38925909641679257,0.5424269267791265,0.4575730732208735,0.7574758969770127,0.24252410302298733,0.20776208874347726,0.7922379112565228,0.6789746155523934,0.32102538444760664,0.6687510018470454,0.3312489981529546,0.859129017904068,0.14087098209593196,0.8953806068923865,0.10461939310761348,0.8929035077537716,0.10709649224622841,0.8175294335191667,0.18247056648083326,0.7903643319966916,0.20963566800330835,0.840804109643183,0.15919589035681703,0.6369220645723674,0.36307793542763256,0.696963181419609,0.303036818580391,0.8289446473973754,0.1710553526026246,0.4517713979245557,0.5482286020754443,7.88344672693273e-08,0.9999999211655327,0.826258485974892,0.17374151402510796,0.8784374104224129,0.12156258957758714,0.8614180337741029,0.13858196622589714,0.5824973984290078,0.41750260157099217,0.7503830762680331,0.24961692373196687,0.6142564219137461,0.3857435780862539,0.4242064852000276,0.5757935147999724,0.8564601801522198,0.1435398198477802,0.8878791088929946,0.1121208911070054,0.7114927044677277,0.2885072955322723,0.7896957498982772,0.21030425010172282,0.795174121739381,0.20482587826061904,0.29254835611093466,0.08444379362227461,0.2589181189856427,0.1121208911070054,72.49921982987091,131.7958260560884,-17.675043660363162,Cold start then warm acceleration with split nitrogen to test temperature and N response.
natural_pilot_cold_to_warm_earlyN,temperature_N,natural,300.0,"14, 16, 22, 20",30h:0.045,51.15759557853036,7.892501407331586e-09,17000.46117959412,4.642521943348844e-13,1000000000000.0,1824375.9353187033,30,131.4444267615272,2.2944654340198372e-08,115574.70028525917,1.9852661770756778e-13,1000000000000.0001,229128.64770256582,30,0.9179313615038349,0.08206863849616508,0.85196940326254,0.14803059673746,0.7103051766041648,0.2896948233958352,0.6088275733531616,0.3911724266468384,0.7820756091052271,0.2179243908947729,0.609662439127653,0.39033756087234694,0.5509347377328008,0.44906526226719923,0.7298198317057389,0.27018016829426106,0.27385673170390523,0.7261432682960948,0.6795557743780297,0.3204442256219703,0.674196963620083,0.32580303637991703,0.8399027391504928,0.16009726084950715,0.905178641417436,0.09482135858256402,0.8886883317726659,0.11131166822733407,0.8223692645083059,0.17763073549169406,0.8076237634275366,0.1923762365724634,0.8075073331861945,0.1924926668138055,0.6217886637753497,0.3782113362246503,0.7069765704848479,0.29302342951515215,0.8464328253644304,0.15356717463556957,0.4377294568334862,0.5622705431665138,7.690120522258612e-08,0.9999999230987948,0.8257580999993603,0.17424190000063966,0.8587139391210582,0.1412860608789418,0.887402530439606,0.11259746956039396,0.659337139366036,0.340662860633964,0.7829637623753392,0.21703623762466084,0.5892467646457414,0.41075323535425856,0.41990785846834205,0.580092141531658,0.848432691872015,0.15156730812798502,0.9021837968302225,0.09781620316977746,0.724413313365564,0.275586686634436,0.7914128291729283,0.20858717082707168,0.8088382242388104,0.19116177576118965,0.28906046415252606,0.08206863849616508,0.24792246819130337,0.09781620316977746,72.33161839721214,131.4444267615272,-17.590180853924426,Cold start followed by warm transition and early nitrogen pulse.
natural_pilot_EA_cold_retention_noN,EA_retention_reference,natural,300.0,"13, 13, 16, 18",,50.3495489393336,2.5586626735643134e-09,22326.622251259796,1.1460142267690935e-13,1000000000000.0001,1697208.812093772,29,131.9985208820402,1.3242351137008175e-08,118913.89462881797,1.1136083952462677e-13,1000000000000.0001,225294.94377416378,31,0.9111158417838974,0.08888415821610263,0.921400781553355,0.07859921844664497,0.6218465219971153,0.3781534780028847,0.5004497255808237,0.4995502744191763,0.6583503733348931,0.3416496266651069,0.48948414330644485,0.5105158566935551,0.4549741957435764,0.5450258042564236,0.5465719395908589,0.4534280604091411,0.8520901979281382,0.14790980207186177,0.5850762392292531,0.4149237607707469,0.588654764516905,0.411345235483095,0.6751761736875062,0.32482382631249385,0.890331779132537,0.10966822086746297,0.7226627130502021,0.27733728694979787,0.6345753557789968,0.3654246442210032,0.5750266949211177,0.4249733050788823,0.7185641010252987,0.28143589897470134,0.6395331427198759,0.36046685728012406,0.5249026690978993,0.4750973309021007,0.6502924832947996,0.3497075167052004,0.48574139621542545,0.5142586037845746,1.0227292937842397e-07,0.9999998977270707,0.8185723211495632,0.18142767885043676,0.8691603635451939,0.13083963645480612,0.8220662023907398,0.1779337976092602,0.5732292698038505,0.42677073019614953,0.7199731359734152,0.28002686402658483,0.5926336395184041,0.4073663604815959,0.38440493768839157,0.6155950623116084,0.8773872665075408,0.12261273349245916,0.6441283620686334,0.35587163793136656,0.7980706288957765,0.2019293711042235,0.7714229266762687,0.22857707332373134,0.7752761953498009,0.22472380465019914,0.34431921807854626,0.07859921844664497,0.28838609741654414,0.12261273349245916,71.73026127880468,131.9985208820402,-18.13984572387883,Low-temperature no-pulse comparator to decouple synthesis from CO2 stripping.
natural_pilot_low_temp_aroma_retention,aroma_retention,natural,300.0,"13, 15, 16, 16",54h:0.035,48.469972010378136,5.352697226283869e-10,19042.968555448217,2.8108523157501388e-14,1000000000000.0001,1935038.9207175467,30,129.8140412030429,1.999679784390454e-08,116094.90267451007,1.7224526988896868e-13,1000000000000.0,234505.35982712117,30,0.9165646573142417,0.08343534268575825,0.915096299556513,0.08490370044348705,0.6662671871081515,0.33373281289184853,0.5842944538054389,0.4157055461945611,0.7357971681187645,0.2642028318812355,0.5692406107432697,0.4307593892567303,0.5130232555446814,0.4869767444553186,0.6659062773701826,0.3340937226298174,0.7661632257868678,0.2338367742131322,0.6446031370729932,0.3553968629270068,0.6453328138532883,0.35466718614671167,0.7811890211060073,0.2188109788939927,0.8841588342089385,0.11584116579106152,0.7884110996362357,0.21158890036376432,0.7264822025133434,0.2735177974866566,0.6947237239223436,0.3052762760776564,0.7920381678533348,0.2079618321466652,0.5805762935365656,0.4194237064634344,0.6055565062520791,0.39444349374792087,0.7533709785915733,0.24662902140842669,0.421693087251548,0.5783069127484519,7.318346489406316e-08,0.9999999268165352,0.8272766060478497,0.1727233939521503,0.8750781360721359,0.12492186392786409,0.8580105376542384,0.1419894623457616,0.590298876225158,0.409701123774842,0.7508855080823853,0.2491144919176147,0.6066180337032842,0.39338196629671585,0.40555162556766006,0.5944483744323399,0.8723912769886799,0.1276087230113201,0.7667066916367709,0.23329330836322915,0.7724251504947955,0.22757484950520446,0.8291741455595385,0.1708258544404615,0.8473449611207594,0.1526550388792406,0.3043455698975564,0.08343534268575825,0.2568650051722358,0.12492186392786409,70.41606562464096,129.8140412030429,-17.727693684015815,Cold profile to contrast aroma retention against high-rate stripping.
natural_pilot_midN_temperature_step,temperature_N,natural,300.0,"16, 20, 23, 18",54h:0.04,44.49834916082246,3.0699312856464125e-09,15871.827038268408,1.9342015750578249e-13,1000000000000.0,1906395.7617188292,29,129.8661892940699,1.255009599761238e-08,116202.78353515604,1.0800168133507292e-13,1000000000000.0,234802.5414814515,30,0.9169354715353083,0.0830645284646917,0.8579004024411185,0.14209959755888146,0.7395495318531248,0.2604504681468752,0.7822996212974879,0.21770037870251213,0.845811777924442,0.15418822207555805,0.7899260859030637,0.21007391409693632,0.7160065865463909,0.28399341345360907,0.85706867266544,0.14293132733456004,0.2002703694592881,0.7997296305407119,0.734724807139452,0.265275192860548,0.7357818285736724,0.26421817142632764,0.7858055573791612,0.21419444262083875,0.9339358023257051,0.06606419767429494,0.962929240071023,0.037070759928977015,0.8170002510844947,0.1829997489155053,0.7112745675603546,0.28872543243964544,0.759330120876781,0.24066987912321902,0.8248422245883715,0.17515777541162847,0.6291819235505552,0.37081807644944476,0.7553808724313466,0.24461912756865345,0.523796970989171,0.476203029010829,9.852781257965367e-08,0.9999999014721874,0.832467799651849,0.16753220034815097,0.8976253245231484,0.10237467547685164,0.7549408307081756,0.24505916929182436,0.6948837053468949,0.3051162946531051,0.8133652906117804,0.18663470938821958,0.6050333688726209,0.39496663112737906,0.3607096793193882,0.6392903206806118,0.8772456667815058,0.12275433321849416,0.8695362225935841,0.1304637774064159,0.6878506160884882,0.3121493839115118,0.8246100876572475,0.17538991234275247,0.8211178095710395,0.17888219042896047,0.26708414157502103,0.037070759928977015,0.25391649072055694,0.10237467547685164,69.5346050845441,129.8661892940699,-18.193537522185732,Temperature step with mid-growth nitrogen perturbation.
natural_pilot_high_rate_strip,co2_aroma,natural,300.0,"21, 24, 23, 19",30h:0.03,39.421981244796086,5.284930913665504e-10,16054.824448555019,3.29180236794253e-14,999999999999.9999,2258047.1360817305,30,130.92838209299904,5.557625052694857e-09,117297.75159539422,4.738049090544615e-14,1000000000000.0,233335.99572838092,31,0.939349092628016,0.060650907371983975,0.8505118714379616,0.1494881285620384,0.7712489090292465,0.22875109097075352,0.7736174541521015,0.22638254584789852,0.6401063690990209,0.35989363090097914,0.7665961439662934,0.2334038560337066,0.8485247662444709,0.15147523375552907,0.6895543343600853,0.3104456656399147,0.17257323714341263,0.8274267628565873,0.8430623081001886,0.15693769189981144,0.8475546598345707,0.15244534016542932,0.6933332576619099,0.3066667423380901,0.7454787826019768,0.25452121739802325,0.8328026601492466,0.16719733985075336,0.7766094680754368,0.22339053192456315,0.503365186837692,0.49663481316230795,0.6578225964321833,0.3421774035678167,0.5947641157487153,0.40523588425128465,0.5046746532351061,0.4953253467648939,0.5910319405837546,0.40896805941624537,0.5833084469247273,0.4166915530752727,1.238806996121767e-07,0.9999998761193004,0.8245985222526021,0.1754014777473979,0.8814424480452631,0.11855755195473694,0.5875061642510716,0.4124938357489284,0.7951118333149337,0.20488816668506626,0.8913969992248174,0.10860300077518259,0.5786596544182268,0.42134034558177325,0.30620719641895516,0.6937928035810448,0.8843649384289383,0.11563506157106174,0.819369341359516,0.180630658640484,0.6179467834083558,0.38205321659164415,0.8242576043206331,0.1757423956793669,0.8067125667591343,0.19328743324086572,0.31048634028443334,0.060650907371983975,0.2733658609136504,0.10860300077518259,68.9492386858072,130.92838209299904,-19.008094968733843,High-rate natural fermentation to excite CO2 stripping and aroma loss directions.
natural_pilot_reference_20C,reference,natural,300.0,"20, 20, 20, 20",,42.99368554472839,1.584594268212727e-09,15250.234801129574,1.0390622104358401e-13,1000000000000.0,2298355.7863017125,30,131.0539012000762,4.613691166049983e-09,113842.72338614408,4.052688682087098e-14,1000000000000.0,234312.57695514592,31,0.9309842096167978,0.06901579038320216,0.8919885021746511,0.10801149782534891,0.741163864617626,0.25883613538237404,0.8508166979990546,0.14918330200094543,0.7082158635990737,0.29178413640092626,0.81387028476192,0.18612971523807997,0.8224226117744938,0.17757738822550617,0.776525350570355,0.223474649429645,0.37249089928507284,0.6275091007149272,0.8029842712109428,0.19701572878905715,0.8194112404372514,0.18058875956274856,0.6855389247882132,0.3144610752117868,0.8127569626559977,0.18724303734400227,0.88681242727115,0.11318757272885005,0.7581063769732366,0.24189362302676343,0.5197177583387311,0.48028224166126887,0.6615956253210393,0.3384043746789607,0.7129081059552766,0.28709189404472335,0.5019493589546002,0.49805064104539976,0.596969951203922,0.40303004879607796,0.5833572032043802,0.4166427967956198,1.244930154647268e-07,0.9999998755069845,0.8440080600152047,0.15599193998479532,0.8414824601093704,0.15851753989062956,0.5454905222701283,0.4545094777298717,0.7701239291824069,0.2298760708175931,0.873068524262181,0.12693147573781904,0.5469191306522978,0.4530808693477022,0.28230809649298166,0.7176919035070184,0.8929962022408623,0.10700379775913771,0.8239664472071753,0.17603355279282473,0.6794547523994602,0.3205452476005398,0.8145282717482049,0.18547172825179514,0.798357130404625,0.20164286959537503,0.2951973487590676,0.06901579038320216,0.2846640484573006,0.10700379775913771,68.76205909709375,131.0539012000762,-19.19423761353777,Natural must warmer reference to increase rate and CO2 information.
natural_pilot_two_step_N_ladder,N_timing,natural,300.0,"17, 19, 21, 18",30h:0.03; 78h:0.035,42.74724071456367,2.7264182235200734e-09,16448.948216001405,1.6575030741891665e-13,1000000000000.0,1979854.7651225473,29,129.4108965536258,1.037461866747677e-08,113348.60411305401,9.152842021000201e-14,1000000000000.0,236433.04421578004,30,0.9184429524227824,0.0815570475772176,0.8634106639511134,0.13658933604888657,0.7607832666829424,0.23921673331705762,0.7977531406029706,0.20224685939702935,0.8204735365272179,0.17952646347278212,0.8275539381245525,0.17244606187544753,0.7810434644728854,0.21895653552711458,0.8413818994303929,0.15861810056960712,0.2958227286649759,0.7041772713350241,0.7557791749659728,0.2442208250340272,0.7603099610414459,0.23969003895855412,0.8222232103703522,0.17777678962964782,0.9407014698461753,0.05929853015382469,0.9703294956934307,0.029670504306569256,0.8384106840651591,0.16158931593484094,0.763395223507267,0.23660477649273304,0.7853010314250655,0.21469896857493453,0.8203068974913371,0.17969310250866288,0.6594071240158769,0.34059287598412313,0.7982961608408943,0.20170383915910572,0.45589992477748,0.54410007522252,7.195346157188721e-08,0.9999999280465385,0.8376768412255399,0.16232315877446013,0.8863567384436748,0.1136432615563252,0.701699420041343,0.298300579958657,0.7069031750683917,0.29309682493160827,0.8258827238413001,0.17411727615869987,0.6253847222781238,0.3746152777218762,0.3813714638158598,0.6186285361841402,0.8703835832602544,0.12961641673974555,0.8517105888568997,0.14828941114310035,0.695737973726837,0.304262026273163,0.8317515977452561,0.1682484022547439,0.8230674706011767,0.1769325293988233,0.2554425788300468,0.029670504306569256,0.25452277657462574,0.1136432615563252,68.74797180190427,129.4108965536258,-18.383903526447128,Two smaller nitrogen pulses to separate early growth and later metabolic response.
natural_pilot_noN_dynamic_temperature,temperature,natural,300.0,"15, 22, 18, 22",,42.49846663081412,3.083620283462331e-09,15049.722042309331,2.0489549739146937e-13,1000000000000.0,2283386.691643146,30,129.61553883175924,8.98054437083839e-09,114320.36962832378,7.855594239273163e-14,1000000000000.0,238296.34220656258,31,0.9176649469256064,0.0823350530743936,0.8934233945702693,0.10657660542973069,0.7072232092165649,0.2927767907834351,0.7470740481343351,0.2529259518656649,0.8419875292005061,0.15801247079949388,0.6994011117451934,0.30059888825480663,0.6160780421662728,0.3839219578337272,0.8496747814010345,0.15032521859896553,0.42228334237865806,0.577716657621342,0.7186253807966981,0.28137461920330187,0.7244378534920036,0.2755621465079964,0.7269756340131232,0.27302436598687685,0.9130588049165028,0.08694119508349718,0.9399242195585262,0.06007578044147377,0.749982756233359,0.25001724376664103,0.5983041208785361,0.4016958791214639,0.7063902751201275,0.29360972487987247,0.8199600898980894,0.18003991010191056,0.5555903624501317,0.4444096375498683,0.6603933888427921,0.3396066111572079,0.5724872436356703,0.4275127563643297,1.2573747487556155e-07,0.9999998742625251,0.844600718047932,0.15539928195206798,0.8599433215023071,0.14005667849769288,0.6954580071740276,0.3045419928259724,0.6669824088813717,0.3330175911186283,0.7959358548893953,0.20406414511060467,0.5543112805473355,0.44568871945266453,0.30868728716106264,0.6913127128389374,0.8928015719634653,0.10719842803653468,0.8800687535378081,0.11993124646219189,0.7017495067063533,0.2982504932936467,0.8414577813997004,0.1585422186002996,0.8379614644071394,0.16203853559286063,0.28644415830795955,0.06007578044147377,0.26951297834818483,0.10719842803653468,68.64654455211661,129.61553883175924,-18.52820533610902,Temperature-only perturbation for settings where nutrient action is constrained.
natural_pilot_reference_18C,reference,natural,300.0,"18, 18, 18, 18",,41.4125035795763,2.1299672446514983e-09,15054.280316021135,1.414858232966962e-13,1000000000000.0001,2262995.597277351,30,130.3824232191567,5.800560162198367e-09,114345.71165553034,5.0728270244823144e-14,1000000000000.0,233925.1830995154,31,0.9216344849161558,0.07836551508384415,0.9229890739358133,0.07701092606418669,0.7267112661432482,0.2732887338567518,0.8084104601440509,0.19158953985594906,0.7751639695279854,0.22483603047201461,0.7794459411268955,0.22055405887310453,0.7354149788338612,0.2645850211661388,0.8111554377516449,0.1888445622483551,0.5867605347972144,0.41323946520278565,0.7631743043432799,0.23682569565672007,0.7835874080514194,0.21641259194858065,0.6974860382071374,0.3025139617928626,0.9180392648124491,0.08196073518755087,0.9318178849706317,0.06818211502936833,0.7462726852530812,0.2537273147469188,0.5780797557163961,0.42192024428360386,0.6860587924400061,0.3139412075599939,0.8361133969446458,0.16388660305535419,0.5306791827135799,0.46932081728642006,0.641948614455373,0.358051385544627,0.5591004667854924,0.4408995332145076,1.1442559758607382e-07,0.9999998855744024,0.8408921583230552,0.1591078416769448,0.831382583867272,0.16861741613272796,0.5569421622756956,0.4430578377243044,0.7319233149691174,0.26807668503088256,0.8457915779082654,0.15420842209173458,0.5531928821297029,0.44680711787029714,0.2975745315117274,0.7024254684882726,0.8805795751170435,0.11942042488295646,0.8668097184015306,0.13319028159846935,0.7196369261168428,0.2803630738831572,0.8150746520336016,0.18492534796639837,0.7756168493909934,0.2243831506090066,0.28072173563703506,0.06818211502936833,0.284134111479837,0.11942042488295646,68.5396993061199,130.3824232191567,-18.965311344368182,Natural must reference at moderate temperature.
