analysis,parameter,theta,std_log_approx,approx_95_multiplier,fim_diag,active_bound,classification
global_current,mu0,0.068971078458909,0.011801245269727282,1.0234000238859629,34948.78575355664,False,well_estimated
global_current,qN,0.0157715073519212,0.015254622712733267,1.0303505256549208,20474.043504111294,False,well_estimated
global_current,betaG0,1.1863356150322233,0.042858627301250035,1.0876320582810621,50749.088350052836,False,well_estimated
global_current,betaF0,0.3145095249972587,0.21320135238998136,1.518730290667682,3917.705331437008,False,well_estimated
global_current,qEG,1.112513547222978,0.0402915017791582,1.0821733103125997,50086.584044318726,False,well_estimated
global_current,qEF,1.2780096374399066,0.10130742482993489,1.2196483172828074,16820.13854082449,False,well_estimated
global_current,iG,0.0139707730113223,0.20866752666452848,1.5052941871118597,1448.861167894714,False,well_estimated
global_current,iE,0.0156601222376879,0.08740658486434914,1.1868668150411612,6290.663785680233,False,well_estimated
global_current,Kd0,0.0006560949140746,0.08276068618086872,1.1761083092224836,210.35393076589142,False,well_estimated
global_current,gammaG0,0.0703098676476582,0.09380216971309246,1.2018382415478752,8712.441756884507,False,well_estimated
global_current,gammaF0,0.0033944444477093,2.0075842155984733,51.15524673354487,18.37470232892826,False,weak_or_confounded
global_current,kPyrS_N,1.1500821044465468,0.07509013982551747,1.1585586322044552,1068.4623606298721,False,well_estimated
global_current,kPyrS_stat,0.012564744618455108,5.239408701556744,28831.99696235156,2.080760705356955,False,weak_or_confounded
global_current,kPyrO2,0.16862288755409624,0.45497414544213016,2.43939321271942,694.9374906998405,False,moderate
global_current,kPyrDrain,0.0023971002104149633,0.1484814502709022,1.337796212464527,1666.399226242347,False,well_estimated
global_current,kAldPyr,0.007253949796435493,0.41082166876239284,2.2371673076079523,1569.2402281863929,False,moderate
global_current,kAldS_N,3.0042505300976172,0.0668359309301571,1.1399659854345046,605.245022321368,False,well_estimated
global_current,kAldS_stat,0.6748758627816174,0.22495793224102276,1.5541325544668112,745.5011420982855,False,well_estimated
global_current,kAldO2,1.9999632849369786,0.28839616858962736,1.7598991221297897,3327.4241029207815,True,weak_or_confounded
global_current,kAldRed,1.0358613504688557e-05,34.21257582552525,1.0576541811633429e+17,0.043354846705249174,False,weak_or_confounded
global_current,kAcAld,0.016679426998802704,0.07772789038308212,1.1645638801766456,39051.04494746077,False,well_estimated
global_current,kAcStress,0.0026158743573781247,369.604013704865,1.0576541811633429e+17,0.0,False,weak_or_confounded
global_current,kAcAssim,1.0596409360967886e-06,369.60401371706297,1.0576541811633429e+17,0.0,False,weak_or_confounded
global_current,k_EA_growth,0.0001,95.12780625983588,1.0576541811633429e+17,0.0007463064981039524,True,weak_or_confounded
global_current,k_EA_stationary,0.0059468836207267,0.4699252106731824,2.511935101593826,66.03107703241018,False,moderate
global_current,k_IAA_growth,0.0535149714091178,0.13962073967531893,1.314763300441552,224.8143183853208,False,well_estimated
global_current,k_IAA_stationary,0.0400843210113409,0.05952640374436615,1.1237504995466148,1118.6075283605956,False,well_estimated
global_current,k_EO_growth,0.0008981576275308,0.11462440278925327,1.2519017929517535,332.47125644580694,False,well_estimated
global_current,k_EO_stationary,0.0001498171158458,0.1782654913531263,1.4182168783317428,138.9728086460971,False,well_estimated
global_current,alpha_EA_loss,0.2,0.05006310467945479,1.1030992136869193,1187.4353030063915,True,weak_or_confounded
global_current,alpha_IAA_loss,0.660647516561701,0.05274338984750788,1.108909438025659,427.0526488381015,False,well_estimated
global_current,alpha_EO_loss,1.4781928790448091,0.06140600188709477,1.1278980453904381,326.08106837432325,False,well_estimated
global_current,k_EA_XE,1.0563528006331214e-05,368.6142143496823,1.0576541811633429e+17,0.00019745662216038144,False,weak_or_confounded
global_current,k_EA_XE_Nlim,0.0417863701049365,0.10760796648211707,1.2348032112980105,2660.031392031905,False,well_estimated
