batch2_1,batch2_2,batch2_3,batch3,after6_score,after6_logdet,after6_worst,after6_sN,after6_cond,final_score,final_logdet,final_worst,final_sN,final_cond
combined_stress_long_horizon,glucose_rich_growth_yield,high_biomass_low_N_maintenance,cold_synthesis_hot_stripping | ethanol_initial_challenge | glucose_pulse_after_N_depletion,150.71669234897485,149.39619589558183,0.7096341077577253,0.7096341077577253,77680.29028075223,158.5887622785139,155.9804254402621,0.7689435939678787,0.7689435939678787,77161.98520867135
cold_synthesis_hot_stripping,combined_stress_long_horizon,glucose_rich_growth_yield,high_biomass_low_N_maintenance | ethanol_initial_challenge | glucose_pulse_after_N_depletion,150.6204063840027,149.39401858704534,0.7308438909527233,0.7308438909527233,100750.4653741945,158.5887622785043,155.98042544025282,0.7689435939678947,0.7689435939678947,77161.98520869623
combined_stress_long_horizon,glucose_rich_growth_yield,glucose_pulse_after_N_depletion,cold_synthesis_hot_stripping | high_biomass_low_N_maintenance | ethanol_initial_challenge,149.89497985381988,148.26938507032995,0.7314190843788764,0.7314190843788764,82981.77598114946,158.5887622785133,155.98042544026328,0.7689435939677862,0.7689435939677862,77161.98520866803
combined_stress_long_horizon,glucose_rich_growth_yield,ethanol_initial_challenge,cold_synthesis_hot_stripping | high_biomass_low_N_maintenance | glucose_pulse_after_N_depletion,149.89388218544713,148.68058358878352,0.7237066488920267,0.7237066488920267,93822.97819660354,158.58876227850803,155.98042544025958,0.7689435939677235,0.7689435939677235,77161.98520867743
cold_synthesis_hot_stripping,combined_stress_long_horizon,high_biomass_low_N_maintenance,glucose_rich_growth_yield | ethanol_initial_challenge | glucose_pulse_after_N_depletion,149.77818700292823,148.69389836975762,0.7159876031991481,0.7159876031991481,92199.45087110126,158.58876227851025,155.98042544026225,0.7689435939676934,0.7689435939676934,77161.98520867163
cold_synthesis_hot_stripping,combined_stress_long_horizon,glucose_pulse_after_N_depletion,glucose_rich_growth_yield | high_biomass_low_N_maintenance | ethanol_initial_challenge,149.37451612350432,147.53485940497805,0.7364922747471853,0.7364922747471853,77571.73716003165,158.5887622785108,155.98042544026225,0.7689435939677204,0.7689435939677204,77161.98520867107
cold_synthesis_hot_stripping,combined_stress_long_horizon,ethanol_initial_challenge,glucose_rich_growth_yield | high_biomass_low_N_maintenance | glucose_pulse_after_N_depletion,148.9958147292527,147.89282760875858,0.7351418562090593,0.7351418562090593,110140.93126225083,158.58876227851172,155.98042544026197,0.7689435939677796,0.7689435939677796,77161.98520867203
glucose_rich_growth_yield,high_biomass_low_N_maintenance,ethanol_initial_challenge,cold_synthesis_hot_stripping | combined_stress_long_horizon | glucose_pulse_after_N_depletion,148.85593826042867,147.19208883285341,0.7212962598658448,0.7212962598658448,73137.67649743237,158.58876227850826,155.98042544026063,0.768943593967681,0.768943593967681,77161.98520867615
cold_synthesis_hot_stripping,glucose_rich_growth_yield,high_biomass_low_N_maintenance,combined_stress_long_horizon | ethanol_initial_challenge | glucose_pulse_after_N_depletion,148.85321496093235,147.5003755356818,0.7186684867205045,0.7186684867205045,83265.36722399725,158.58876227850504,155.98042544025807,0.7689435939676588,0.7689435939676588,77161.9852086824
cold_synthesis_hot_stripping,glucose_rich_growth_yield,ethanol_initial_challenge,combined_stress_long_horizon | high_biomass_low_N_maintenance | glucose_pulse_after_N_depletion,148.80874629881737,147.27842789276335,0.7423189669691456,0.7423189669691456,96592.13259909661,158.58876227850288,155.98042544025753,0.7689435939675819,0.7689435939675819,77161.98520868369
combined_stress_long_horizon,high_biomass_low_N_maintenance,ethanol_initial_challenge,cold_synthesis_hot_stripping | glucose_rich_growth_yield | glucose_pulse_after_N_depletion,148.804387539827,147.8084323861456,0.696532052581144,0.696532052581144,78502.08106863919,158.58876227850246,155.98042544025506,0.7689435939676889,0.7689435939676889,77161.98520869012
combined_stress_long_horizon,high_biomass_low_N_maintenance,glucose_pulse_after_N_depletion,cold_synthesis_hot_stripping | glucose_rich_growth_yield | ethanol_initial_challenge,148.45489323524188,146.98166842741537,0.7055722341596478,0.7055722341596478,67784.87124774304,158.5887622785125,155.98042544026228,0.7689435939678011,0.7689435939678011,77161.98520867129
