design,direction_rank_weak_to_strong,eigenvalue,relative_eigenvalue,log10_eigenvalue,numeric_rank,condition_number,effective_rank
hybrid_current,1,15.768251718614993,1.2959749510012925e-05,1.1977835442453155,21,77161.98520869427,2.8859108861089027
hybrid_current,2,17.74170395420719,1.4581707803148056e-05,1.2489953281435062,21,77161.98520869427,2.8859108861089027
hybrid_current,3,24.374688864738523,2.003328382299942e-05,1.3869390807730528,21,77161.98520869427,2.8859108861089027
hybrid_current,4,26.019066215524308,2.1384779153389432e-05,1.4152917063407846,21,77161.98520869427,2.8859108861089027
hybrid_current,5,31.138288365619232,2.559221051199837e-05,1.4932947362411944,21,77161.98520869427,2.8859108861089027
hybrid_current,6,34.26988007755038,2.8166030671550275e-05,1.5349125846822962,21,77161.98520869427,2.8859108861089027
hybrid_current,7,69.12798789345553,5.681551913410725e-05,1.8396539160682186,21,77161.98520869427,2.8859108861089027
hybrid_current,8,306.3436185479565,0.00025178038955869634,2.4862088379623266,21,77161.98520869427,2.8859108861089027
hybrid_current,9,810.5050914902366,0.0006661450584216187,2.9087557473759826,21,77161.98520869427,2.8859108861089027
hybrid_current,10,1006.349368570446,0.0008271072766320731,3.0027487784354436,21,77161.98520869427,2.8859108861089027
hybrid_current,11,1854.1810583632387,0.0015239306482043452,3.2681521401691818,21,77161.98520869427,2.8859108861089027
hybrid_current,12,4190.792387153821,0.0034443653332769794,3.6222961463153927,21,77161.98520869427,2.8859108861089027
hybrid_current,13,10905.837114494585,0.00896338539763407,4.037659006939244,21,77161.98520869427,2.8859108861089027
hybrid_current,14,17238.715172678523,0.01416830695622584,4.2365048940751535,21,77161.98520869427,2.8859108861089027
hybrid_current,15,19194.540654373388,0.015775778017722324,4.28317772345223,21,77161.98520869427,2.8859108861089027
hybrid_current,16,20398.136733540676,0.01676500015696731,4.3095904986367355,21,77161.98520869427,2.8859108861089027
hybrid_current,17,25689.14777384259,0.021113622880694894,4.409749696977259,21,77161.98520869427,2.8859108861089027
hybrid_current,18,47460.14121971924,0.03900695859587822,4.676329026145407,21,77161.98520869427,2.8859108861089027
hybrid_current,19,50526.55900626542,0.041527213035992994,4.703519722630146,21,77161.98520869427,2.8859108861089027
hybrid_current,20,393267.4491317761,0.3232221125169375,5.594688001208927,21,77161.98520869427,2.8859108861089027
hybrid_current,21,1216709.605878738,1.0,6.085186936805686,21,77161.98520869427,2.8859108861089027
dopt_exchange_from_hybrid,1,15.210172326645218,1.174129828845161e-05,1.1821341345058018,21,85169.45702534191,2.8887071057205356
dopt_exchange_from_hybrid,2,17.429301415671716,1.3454326649688255e-05,1.2412799804892845,21,85169.45702534191,2.8887071057205356
dopt_exchange_from_hybrid,3,18.683697221324692,1.4422641472798655e-05,1.2714628207130803,21,85169.45702534191,2.8887071057205356
dopt_exchange_from_hybrid,4,26.87514034103657,2.0745921381530302e-05,1.4293507408000758,21,85169.45702534191,2.8887071057205356
dopt_exchange_from_hybrid,5,32.79682677417274,2.531709160162893e-05,1.5158318259941932,21,85169.45702534191,2.8887071057205356
dopt_exchange_from_hybrid,6,36.21586349871255,2.7956373338869224e-05,1.5588988445900336,21,85169.45702534191,2.8887071057205356
dopt_exchange_from_hybrid,7,72.5014742726743,5.596658719617051e-05,1.8603468377706833,21,85169.45702534191,2.8887071057205356
dopt_exchange_from_hybrid,8,327.9737936113918,0.00025317518164080945,2.515839143270655,21,85169.45702534191,2.8887071057205356
dopt_exchange_from_hybrid,9,863.0063060261517,0.0006661866970512301,2.9360139691362463,21,85169.45702534191,2.8887071057205356
dopt_exchange_from_hybrid,10,986.7484664474275,0.0007617078775587283,2.9942064601104335,21,85169.45702534191,2.8887071057205356
dopt_exchange_from_hybrid,11,1749.1616514671236,0.001350242999457581,3.242829947326614,21,85169.45702534191,2.8887071057205356
dopt_exchange_from_hybrid,12,4056.0267069709616,0.0031309980195981116,3.608100805953468,21,85169.45702534191,2.8887071057205356
dopt_exchange_from_hybrid,13,11431.016601351994,0.00882402728742251,4.058084855480549,21,85169.45702534191,2.8887071057205356
dopt_exchange_from_hybrid,14,18996.36388081525,0.014664000507732224,4.2786704800254025,21,85169.45702534191,2.8887071057205356
dopt_exchange_from_hybrid,15,20979.502267478183,0.016194858859961286,4.321795180470891,21,85169.45702534191,2.8887071057205356
dopt_exchange_from_hybrid,16,22306.53635727392,0.01721924587889996,4.348432140534733,21,85169.45702534191,2.8887071057205356
dopt_exchange_from_hybrid,17,25885.871262378692,0.019982267749564797,4.413062786975804,21,85169.45702534191,2.8887071057205356
dopt_exchange_from_hybrid,18,51049.8634889162,0.03940729019605414,4.7079945850891445,21,85169.45702534191,2.8887071057205356
dopt_exchange_from_hybrid,19,53862.44532913173,0.04157842682997658,4.731286066283828,21,85169.45702534191,2.8887071057205356
dopt_exchange_from_hybrid,20,426725.27951955935,0.3294051300973735,5.630148371546091,21,85169.45702534191,2.8887071057205356
dopt_exchange_from_hybrid,21,1295442.1183222546,1.0,6.112418013034056,21,85169.45702534191,2.8887071057205356
