,mu0,sN,qN,qXG,qXF,betaG0,sG,betaF0,sF,qEG,qEF,iG,iE,Kd0,m0,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary
mu0,1032.8240913860402,9.250099618862404,-1037.136987828758,5.709803358115117,3.933882506850414,3226.9904097179983,998.3933076297016,1394.4846589095537,249.47547337394377,903.9409740682867,363.58157747743246,-1003.7609447165356,-3937.440174658729,-8.326096853015096,42.182383298366624,0.32324158831280186,113.94385511935583,0.6589996881321022,333.3370119997874,0.2729220332745188,130.01594658111034
sN,9.250099618862404,0.24964127446751955,-9.399783036540565,0.16025218931858626,0.13617702830545675,15.462666009052786,8.800830382002044,6.749969940287383,2.3752965402583066,23.595321670433844,10.438554328875915,-10.118702926632805,-36.05100873683013,-0.050641495968833175,1.120128440486733,0.017919346293629467,5.342319407961971,0.0417652542593256,17.858382034540334,0.016871329612844377,6.784377899985144
qN,-1037.136987828758,-9.399783036540565,1042.1640922610356,-6.088264019682919,-4.356997777778674,-3180.529903827185,-1000.6277418856272,-1376.7533686663303,-251.48991326989844,-959.7859566823064,-395.69934419938573,1012.137275707902,3952.886777728525,8.357098822877006,-45.271406860482635,-0.3408442069538126,-119.62677935221065,-0.6909595764088561,-348.26021721932557,-0.2861769755076576,-135.81726149012638
qXG,5.709803358115117,0.16025218931858626,-6.088264019682919,0.33087839406576075,0.1438721424150571,-21.265888147607658,6.282000434282595,-5.9819305792010775,0.7937209846859719,49.08960680606665,11.557043048835931,-3.196474975197985,-21.74734750786353,-0.03131667947717019,1.7785012916501606,0.014769021922106948,4.575289539156194,0.029738965562880335,13.183012701832968,0.012188338531311373,5.075038378198914
qXF,3.933882506850414,0.13617702830545675,-4.356997777778674,0.1438721424150571,0.36112026443888673,-15.988142507500392,1.0419844488614054,-7.8223398750475335,2.5886284118949483,20.52375685496857,26.62497767377827,-11.10046527421804,-14.571142839838554,-0.027062814975414528,1.9572989264172271,0.013766326769320358,4.228773578864561,0.02769296327121249,12.17062654586412,0.011346332913937456,4.683052633631805
betaG0,3226.9904097179983,15.462666009052786,-3180.529903827185,-21.265888147607658,-15.988142507500392,17138.014470581988,3189.0634383713036,6888.39658601917,786.3446877584767,-3603.925124013336,-1298.906395430346,-3232.3181190876753,-12622.977855742212,-20.279229428674522,-159.04842002114202,-0.999712136724926,-360.00459814505,-2.018096995395051,-1039.257751346552,-0.8204694576424612,-397.1332249884491
sG,998.3933076297016,8.800830382002044,-1000.6277418856272,6.282000434282595,1.0419844488614054,3189.0634383713036,1016.3274261279408,1415.7802865727388,218.2165555807747,1020.4146086976642,119.5258692772263,-874.9203838174138,-3849.4368025199133,-7.794051772019556,30.937222275388905,0.2827881927091724,98.51491873389733,0.5807703235826139,290.1219471160454,0.2404854813405738,113.17914358792272
betaF0,1394.4846589095537,6.749969940287383,-1376.7533686663303,-5.9819305792010775,-7.8223398750475335,6888.39658601917,1415.7802865727388,2863.6040115863475,316.17421604270214,-1011.6154434727823,-632.914702448034,-1275.3045026516368,-5419.861639141386,-10.579322996825837,-59.96894935021688,-0.3387753503390632,-123.22701066605671,-0.6828757869316133,-355.1045592635053,-0.2773418438110152,-135.53907020053646
sF,249.47547337394377,2.3752965402583066,-251.48991326989844,0.7937209846859719,2.5886284118949483,786.3446877584767,218.2165555807747,316.17421604270214,76.11126464785858,111.13874084527396,222.10175333480726,-308.2878377039646,-956.5516550548963,-2.03701507435917,15.315665688870341,0.098048038922284,34.59527601306635,0.20093302978305305,101.61506543665168,0.08301131810691074,39.53561364439558
qEG,903.9409740682867,23.595321670433844,-959.7859566823064,49.08960680606665,20.52375685496857,-3603.925124013336,1020.4146086976642,-1011.6154434727823,111.13874084527396,7941.527227670533,1779.9993906935124,-431.6365208037242,-3410.360141316739,-6.356357713058668,287.3429888713453,2.2319562307939784,767.3369313700126,4.545798333105723,2237.370844566013,1.8665759941357711,864.2101142136345
