,mu0,sN,qN,qXG,qXF,betaG0,sG,betaF0,sF,qEG,qEF,iG,iE,Kd0,m0,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary
mu0,490261.84499675187,5244.223703480563,-395550.94461064134,-582.3159984131786,476.8636375413889,247821.85982806009,73088.39067355116,133879.09148239877,28896.548980507527,8540.665081512605,25826.807434090304,-64697.01566238455,-275563.7157382936,-23640.36959830912,2227.1118764996772,556.8050737791401,8660.785355072678,1149.7277751100178,25739.12660133566,476.47040094043064,10094.48372779078
sN,5244.223703480563,135.87263178010687,-3296.5609077247964,20.81702130559982,23.673561535362367,1837.9849370080685,675.7612357664573,909.42385770641,249.95008313590623,767.0698279309555,594.0372001612045,-649.8332692317916,-2430.100654685854,-122.6903118953663,56.46183776908492,18.880687614340133,257.7991383314275,43.091281289841774,853.1964671579991,17.421447933569933,325.389289486952
qN,-395550.94461064134,-3296.5609077247964,342805.6248242993,330.25845400933457,-576.6940305454084,-201164.10829826002,-61651.11883172735,-109220.79654140881,-24591.48740372842,-10948.26531884019,-25516.146433554175,54681.16883863667,233253.92974587472,21502.453004515468,-2235.054798438419,-354.2766458036158,-6571.463960247945,-692.6062864160809,-18768.402761732235,-290.4513814533254,-7413.882695471725
qXG,-582.3159984131786,20.81702130559982,330.25845400933457,315.2747282268962,156.1973161074629,-5894.587945036058,-182.43547793663527,-4161.6353136251955,-274.10868327825824,6518.474401223937,2968.3937863536503,235.9431839482488,647.7798456660837,1.7838203394257546,345.3919523811197,15.131376310996199,212.3350694152332,26.100760086357013,529.167989228015,10.62031128929511,200.68321224845886
qXF,476.8636375413889,23.673561535362367,-576.6940305454084,156.1973161074629,235.34295395356855,-3966.0401298364723,-253.7844985871213,-2542.4133940682614,79.39171720684246,3227.1053101351094,3593.83301760831,-502.1708749769244,-30.29548346205133,-45.99775383812351,298.0531543723725,14.131645534510593,190.55552196260882,24.16722057315181,468.06942354207325,9.85486174036368,177.85136708765253
betaG0,247821.85982806009,1837.9849370080685,-201164.10829826002,-5894.587945036058,-3966.0401298364723,303988.1314403869,44422.42255004809,156783.87514509607,17547.416567528515,-148797.74493045048,-72136.36134441175,-37698.12852247949,-160734.5964074725,-10625.644981786116,-8382.088073017587,-312.1759241810727,-6247.86499588123,-614.2638977073191,-17740.269955060678,-246.56194461415848,-6722.006610932657
sG,73088.39067355116,675.7612357664573,-61651.11883172735,-182.43547793663527,-253.7844985871213,44422.42255004809,13715.470213073604,24974.999088925273,4289.532517920227,1387.4973457589426,-2117.984214235418,-9768.448483529548,-46376.655222715526,-3916.1757294914096,-23.035474623809314,54.990000403958426,1068.0651469742882,111.51026727770896,3139.048655911198,46.854417879216605,1243.3135954035881
betaF0,133879.09148239877,909.42385770641,-109220.79654140881,-4161.6353136251955,-2542.4133940682614,156783.87514509607,24974.999088925273,111562.89736953545,10743.39102279293,-87925.33371751285,-54388.717815039825,-18696.1996522311,-87109.6666788713,-6163.729978398602,-5389.982149946754,-154.5751338057966,-2995.9351060661247,-303.69688238817685,-8475.187845363502,-121.06598636462104,-3190.533539744233
sF,28896.548980507527,249.95008313590623,-24591.48740372842,-274.10868327825824,79.39171720684246,17547.416567528515,4289.532517920227,10743.39102279293,2751.5741119924783,-5412.219801228912,2824.495079554775,-4962.807707593978,-17904.97600391134,-1578.0795286468276,60.51824515144338,33.53281798153478,624.0435360342741,68.16465967415017,1831.6935124455151,28.169700154348767,716.3948147059208
qEG,8540.665081512605,767.0698279309555,-10948.26531884019,6518.474401223937,3227.1053101351094,-148797.74493045048,1387.4973457589426,-87925.33371751285,-5412.219801228912,176238.50761246306,68117.23402690732,4215.115661652007,-75.38342127052033,-1610.0185410632894,8994.371398454301,490.4289626155148,9594.210472490839,968.2087025229291,27425.796314766747,396.31403115050716,10573.832078489388
