experiment_id,lot,reactor,condition,replicate,protocol,temperature_program,sampling_start,sampling_end,primary_samples,mapping_status,active_end,active_end_rule,postprocess_excluded_from_calibration,initial_volume_l,yeast,campaign,storage_history,capture_system,co2_sensor,temperature_sensor,temperature_command,sensor_metadata_status
26134,Lote 1,TK-31,A,R1,A,18_to_21_to_16C,2026-03-25 16:00:00,2026-04-02 08:00:00,15,confirmed,2026-04-02 08:00:00,last_primary_sample,True,230,Zymaflore X5,pilot_2026,not_available_in_integration_outputs,two_fraction_condensate_trap_A_plus_B,MassView,Sonda1,controller_setpoint,signal_identity_confirmed; factory-normalized Ln/min used as reported
26135,Lote 1,TK-32,A,R2,A,18_to_21_to_16C,2026-03-25 16:00:00,2026-04-02 08:00:00,15,confirmed,2026-04-02 08:00:00,last_primary_sample,True,230,Zymaflore X5,pilot_2026,not_available_in_integration_outputs,two_fraction_condensate_trap_A_plus_B,MassView,Sonda1,controller_setpoint,signal_identity_confirmed; factory-normalized Ln/min used as reported
26136,Lote 1,TK-33,B,R1,B,21_to_18_to_16C,2026-03-25 16:00:00,2026-04-02 08:00:00,14,confirmed,2026-04-02 08:00:00,last_primary_sample,True,230,Zymaflore X5,pilot_2026,not_available_in_integration_outputs,two_fraction_condensate_trap_A_plus_B,MassView,Sonda1,controller_setpoint,signal_identity_confirmed; factory-normalized Ln/min used as reported
26157,Lote 2,TK-31,A,R3,A,18_to_21_to_16C,2026-04-06 13:00:00,2026-04-14 15:00:00,16,confirmed,2026-04-13 16:22:18,controller_mode2_setpoint_9_to_11C,True,230,Zymaflore X5,pilot_2026,not_available_in_integration_outputs,two_fraction_condensate_trap_A_plus_B,MassView,Sonda1,controller_setpoint,signal_identity_confirmed; factory-normalized Ln/min used as reported
26158,Lote 2,TK-32,A,R4,A,18_to_21_to_16C,2026-04-06 13:00:00,2026-04-14 15:00:00,16,confirmed,2026-04-13 16:24:31,controller_mode2_setpoint_9_to_11C,True,230,Zymaflore X5,pilot_2026,not_available_in_integration_outputs,two_fraction_condensate_trap_A_plus_B,MassView,Sonda1,controller_setpoint,signal_identity_confirmed; factory-normalized Ln/min used as reported
26159,Lote 2,TK-33,C,R1,C,16_to_18_to_21C,2026-04-06 13:00:00,2026-04-15 08:00:00,15,confirmed,2026-04-15 08:00:00,last_primary_sample,True,230,Zymaflore X5,pilot_2026,not_available_in_integration_outputs,two_fraction_condensate_trap_A_plus_B,MassView,Sonda1,controller_setpoint,signal_identity_confirmed; factory-normalized Ln/min used as reported
26210,Lote 3,TK-31,A,R5,A,18_to_21_to_16C,2026-04-17 16:00:00,2026-04-25 11:00:00,14,confirmed,2026-04-24 16:15:35,controller_mode2_setpoint_9_to_11C,True,230,Zymaflore X5,pilot_2026,not_available_in_integration_outputs,two_fraction_condensate_trap_A_plus_B,MassView,Sonda1,controller_setpoint,signal_identity_confirmed; factory-normalized Ln/min used as reported
26211,Lote 3,TK-32,A,R6,A,18_to_21_to_16C,2026-04-17 16:00:00,2026-04-25 11:00:00,14,confirmed,2026-04-25 11:00:00,last_primary_sample,True,230,Zymaflore X5,pilot_2026,not_available_in_integration_outputs,two_fraction_condensate_trap_A_plus_B,MassView,Sonda1,controller_setpoint,signal_identity_confirmed; factory-normalized Ln/min used as reported
26212,Lote 3,TK-33,B,R2,B,21_to_18_to_16C,2026-04-17 16:00:00,2026-04-25 11:00:00,13,confirmed,2026-04-24 16:16:12,controller_mode2_setpoint_9_to_11C,True,230,Zymaflore X5,pilot_2026,not_available_in_integration_outputs,two_fraction_condensate_trap_A_plus_B,MassView,Sonda1,controller_setpoint,signal_identity_confirmed; factory-normalized Ln/min used as reported
