,theta_secondary_v2_o2fixed
mu0,0.0601697224171635
sN,8.751445870938538
qN,0.0146092346863683
qXG,0.0814909864046577
qXF,0.0709327065015376
betaG0,0.779853869422414
sG,0.0974550987386739
betaF0,0.5108967442490071
sF,0.1782952055176543
qEG,1.5379361359484045
qEF,1.262713484739452
iG,0.0073666781875985
iE,0.0258618456174518
Kd0,0.0006690744222537
m0,0.0183385793928771
gammaG0,0.0975070871956685
gammaF0,0.0013892430460828
kPyrS,0.4414987236423745
kPyrD,0.0078209107245985
kAldPyr,0.0004634188644750782
kAldS,0.8021403800399333
kAldRed,1.0912777937228973e-05
kAcAld,0.001556782889044978
kAcStress,0.002608440107772236
kAcAssim,9.823686582008451e-06
qO2,0.0416960530672166
kLaO2,0.0015008512210468
O2sat,2.713015080772752
k_EA_growth,0.1
k_EA_stationary,0.28
k_IAA_growth,0.003
k_IAA_stationary,0.012
k_EO_growth,0.0008
k_EO_stationary,0.003
alpha_EA_loss,1.0
alpha_IAA_loss,1.0
alpha_EO_loss,1.0
kPyrS_N,0.8456280653483653
kPyrS_stat,0.00010084821397436578
kPyrO2,0.273950951451005
kPyrDrain,0.0035779363914644788
kAldS_N,2.3459512922147367
kAldS_stat,0.00010103008287529895
kAldO2,5.082961538962994e-05
