case_id,policy,member_case,ensemble_member,finite_difference_log_step,relative_fim_difference_vs_0_02,fim_logdet
1,anchor_18C,central_member,62,0.01,9.98893228350142e-05,19.810423453697517
1,anchor_18C,central_member,62,0.02,0.0,19.811322425138794
1,anchor_18C,central_member,62,0.04,0.00039981405894759086,19.814918878715414
2,anchor_18C,lowest_information_member,36,0.01,0.0001050464203302618,8.828332353451994
2,anchor_18C,lowest_information_member,36,0.02,0.0,8.82587700350956
2,anchor_18C,lowest_information_member,36,0.04,0.00040071181849667733,8.83148565135403
3,anchor_18C,highest_information_member,12,0.01,9.175094464490132e-05,29.511685420688202
3,anchor_18C,highest_information_member,12,0.02,0.0,29.51245026082239
3,anchor_18C,highest_information_member,12,0.04,0.00040121326287132826,29.516057612573196
4,anchor_18C,critical_drying_member,9,0.01,0.00010025671462913203,-1.7131610074340304
4,anchor_18C,critical_drying_member,9,0.02,0.0,-1.7132663335930927
4,anchor_18C,critical_drying_member,9,0.04,0.00040006107343540896,-1.7095496287456857
5,anchor_18C,worst_gain_member,36,0.01,0.0001050464203302618,8.828332353451994
5,anchor_18C,worst_gain_member,36,0.02,0.0,8.82587700350956
5,anchor_18C,worst_gain_member,36,0.04,0.00040071181849667733,8.83148565135403
6,candidate_A,central_member,62,0.01,9.989762100509215e-05,24.66946318014139
6,candidate_A,central_member,62,0.02,0.0,24.67036184036687
6,candidate_A,central_member,62,0.04,0.00039971904768333513,24.673956790215858
7,candidate_A,lowest_information_member,36,0.01,0.00010663589388197914,15.15548262436141
7,candidate_A,lowest_information_member,36,0.02,0.0,15.154423257929759
7,candidate_A,lowest_information_member,36,0.04,0.00039979476512974686,15.157409726249538
8,candidate_A,highest_information_member,12,0.01,9.90183949687119e-05,33.71557619493748
8,candidate_A,highest_information_member,12,0.02,0.0,33.71647564736776
8,candidate_A,highest_information_member,12,0.04,0.0004128567801248118,33.72015993456612
9,candidate_A,critical_drying_member,9,0.01,0.00010056856394785877,22.06381870380566
9,candidate_A,critical_drying_member,9,0.02,0.0,22.064765433875557
9,candidate_A,critical_drying_member,9,0.04,0.0003985651461805834,22.068256313721438
10,candidate_A,worst_gain_member,36,0.01,0.00010663589388197914,15.15548262436141
10,candidate_A,worst_gain_member,36,0.02,0.0,15.154423257929759
10,candidate_A,worst_gain_member,36,0.04,0.00039979476512974686,15.157409726249538
11,candidate_B,central_member,62,0.01,9.991109258371095e-05,24.67062160266085
11,candidate_B,central_member,62,0.02,0.0,24.67152042361187
11,candidate_B,central_member,62,0.04,0.0003997124176722351,24.675115290680864
12,candidate_B,lowest_information_member,36,0.01,9.994620150292654e-05,15.141549351839512
12,candidate_B,lowest_information_member,36,0.02,0.0,15.142442648827435
12,candidate_B,lowest_information_member,36,0.04,0.00039984186763650253,15.145887725598984
13,candidate_B,highest_information_member,12,0.01,9.360229624308927e-05,33.71416735114432
13,candidate_B,highest_information_member,12,0.02,0.0,33.714850636284936
13,candidate_B,highest_information_member,12,0.04,0.00042982668227959335,33.718617851424554
14,candidate_B,critical_drying_member,9,0.01,0.00012302096667795567,22.01949174780716
14,candidate_B,critical_drying_member,9,0.02,0.0,22.020993950963256
14,candidate_B,critical_drying_member,9,0.04,0.0003999734249869092,22.024583124748307
15,candidate_B,worst_gain_member,36,0.01,9.994620150292654e-05,15.141549351839512
15,candidate_B,worst_gain_member,36,0.02,0.0,15.142442648827435
15,candidate_B,worst_gain_member,36,0.04,0.00039984186763650253,15.145887725598984
