left_seed,right_seed,setpoint_distance,changepoint_distance,dose_distance,pulse_time_distance,complexity_distance,policy_distance
20260717,20260731,0.23297777487031457,0.10714285714285714,0.0,0.0,0.375,0.15211968137669726
20260717,20260747,0.3931932256259506,0.0,0.0,0.0,0.0,0.15727729025038026
20260717,20260761,0.11109496183810846,0.07142857142857142,0.0,0.0,0.0,0.05872369902095767
20260717,20260779,0.1318737103762976,0.0,8.881784197001253e-17,0.005208333333333333,0.0,0.05353073415051906
20260731,20260747,0.5855126656991885,0.10714285714285714,0.0,0.0,0.375,0.29313363770824685
20260731,20260761,0.2831498361405135,0.10714285714285714,0.0,0.0,0.375,0.17218850588477683
20260731,20260779,0.3252580034013809,0.10714285714285714,8.881784197001253e-17,0.005208333333333333,0.375,0.18981302278912382
20260747,20260761,0.416429136330719,0.07142857142857142,0.0,0.0,0.0,0.1808573688180019
20260747,20260779,0.2985543059013887,0.0,8.881784197001253e-17,0.005208333333333333,0.0,0.1202029723605555
20260761,20260779,0.14162411936125752,0.07142857142857142,8.881784197001253e-17,0.005208333333333333,0.0,0.07171661203021731
