sample_number,original_sample_id,sample_id,sample_type,lab_sample_id,experiment_id,analyte,reported_value,vial_loq_ug_l,vial_concentration_ug_l,result_status,dilution_factor,sample_concentration_ug_l,sample_basis_loq_ug_l,reported_basis,preparation_stock_ml,volume_transferred_to_analyst_ml,model_observation_type,censoring_lower_bound_ug_l,censoring_upper_bound_ug_l,sample_timestamp,time_h,total_condensate_ml,captured_mass_ug,captured_mass_upper_bound_ug
1,26157-P-01,26157-P-01,wine_mef,Lab-26-2033,26157,Etil Acetato,1118.77173470223,187.5,1118.77173470223,quantified,1,1118.77173470223,187.5,undiluted_wine_sample,,,observed,,,2026-04-06 13:00:00,0.0,,,
3,26157-P-05,26157-P-05,wine_mef,Lab-26-2035,26157,Etil Acetato,4682.59488298487,187.5,4682.59488298487,quantified,1,4682.59488298487,187.5,undiluted_wine_sample,,,observed,,,2026-04-08 15:00:00,50.0,,,
5,26157-P-08,26157-P-08,wine_mef,Lab-26-2037,26157,Etil Acetato,14079.9482595189,187.5,14079.9482595189,quantified,1,14079.9482595189,187.5,undiluted_wine_sample,,,observed,,,2026-04-10 08:00:00,91.0,,,
7,26157-P-10,26157-P-10,wine_mef,Lab-26-2039,26157,Etil Acetato,15234.1622895453,187.5,15234.1622895453,quantified,1,15234.1622895453,187.5,undiluted_wine_sample,,,observed,,,2026-04-11 08:00:00,115.0,,,
9,26157-P-12,26157-P-12,wine_mef,Lab-26-2041,26157,Etil Acetato,15763.7489947126,187.5,15763.7489947126,quantified,1,15763.7489947126,187.5,undiluted_wine_sample,,,observed,,,2026-04-12 15:00:00,146.0,,,
11,26157-P-13,26157-P-13,wine_mef,Lab-26-2043,26157,Etil Acetato,15886.1030435996,187.5,15886.1030435996,quantified,1,15886.1030435996,187.5,undiluted_wine_sample,,,observed,,,2026-04-13 08:00:00,163.0,,,
12,26158-P-01,26158-P-01,wine_mef,Lab-26-2044,26158,Etil Acetato,1185.36257694912,187.5,1185.36257694912,quantified,1,1185.36257694912,187.5,undiluted_wine_sample,,,observed,,,2026-04-06 13:00:00,0.0,,,
14,26158-P-05,26158-P-05,wine_mef,Lab-26-2046,26158,Etil Acetato,6519.30322970597,187.5,6519.30322970597,quantified,1,6519.30322970597,187.5,undiluted_wine_sample,,,observed,,,2026-04-08 15:00:00,50.0,,,
16,26158-P-08,26158-P-08,wine_mef,Lab-26-2048,26158,Etil Acetato,12408.3802149936,187.5,12408.3802149936,quantified,1,12408.3802149936,187.5,undiluted_wine_sample,,,observed,,,2026-04-10 08:00:00,91.0,,,
18,26158-P-10,26158-P-10,wine_mef,Lab-26-2050,26158,Etil Acetato,14638.0496796741,187.5,14638.0496796741,quantified,1,14638.0496796741,187.5,undiluted_wine_sample,,,observed,,,2026-04-11 08:00:00,115.0,,,
20,26158-P-12,26158-P-12,wine_mef,Lab-26-2052,26158,Etil Acetato,14246.92944733475,187.5,14246.92944733475,quantified,1,14246.92944733475,187.5,undiluted_wine_sample,,,observed,,,2026-04-12 15:00:00,146.0,,,
22,26158-P-13,26158-P-13,wine_mef,Lab-26-2054,26158,Etil Acetato,12116.4378739372,187.5,12116.4378739372,quantified,1,12116.4378739372,187.5,undiluted_wine_sample,,,observed,,,2026-04-13 08:00:00,163.0,,,
23,26159-P-01,26159-P-01,wine_mef,Lab-26-2055,26159,Etil Acetato,1452.752776771,187.5,1452.752776771,quantified,1,1452.752776771,187.5,undiluted_wine_sample,,,observed,,,2026-04-06 13:00:00,0.0,,,
