Código muestra,Fecha-hora,Densidad,Brix,pH,DO,Oculyze Concentration,Oculyze Viability,Oculyze Budding,Y15 Glucosa-Fructosa,Y15 Glucosa,Y15 Fructosa,Y15 PAN,Y15 Amonio,Y15 Glicerol,Y15 Acetico,Y15 Piruvic,Y15 Acetaldehido,Cf Alcolyzer (% v/v),Cf Alcolyzer Real (% v/v),Revisado por,Observaciones,experiment_id,timestamp_original,timestamp,date_normalization,ethanol_real_original_percent_vv,ethanol_correction,lot,reactor,condition,replicate,protocol,initial_volume_l,yeast,sampling_start,time_h,active_end,calibration_include,process_phase
26134-P-01,2026-03-25 16:00:00,1067.8,17.1,,,6.07,2.69,8.86,160.68,80.25,80.43,98.0,179.0,0.99,,3.0,42.0,1.54,1.24,,,26134,2026-03-25 16:00:00,2026-03-25 16:00:00,unchanged,1.24,none,Lote 1,TK-31,A,R1,A,230,Zymaflore X5,2026-03-25 16:00:00,0.0,2026-04-02T08:00:00,True,active_process
26134-P-02,2026-03-26 08:00:00,1066.9,16.8,,,11.21,7.1,17.81,155.79,78.47,77.32,91.0,173.0,1.19,,16.0,111.0,1.4,1.0999999999999999,,,26134,2026-03-26 08:00:00,2026-03-26 08:00:00,unchanged,1.0999999999999999,none,Lote 1,TK-31,A,R1,A,230,Zymaflore X5,2026-03-25 16:00:00,16.0,2026-04-02T08:00:00,True,active_process
26134-P-03,2026-03-26 16:00:00,1063.5,16.2,,,38.13,33.99,28.8,145.04,74.21,70.83,77.0,152.0,1.57,,44.0,127.0,1.96,1.66,,,26134,2026-03-26 16:00:00,2026-03-26 16:00:00,unchanged,1.66,none,Lote 1,TK-31,A,R1,A,230,Zymaflore X5,2026-03-25 16:00:00,24.0,2026-04-02T08:00:00,True,active_process
26134-P-04,2026-03-27 08:00:00,1055.1,13.9,,,40.48,39.4,27.89,125.46,56.71,68.75,40.0,70.0,2.66,,63.0,125.0,3.0,2.7,,,26134,2026-03-27 08:00:00,2026-03-27 08:00:00,unchanged,2.7,none,Lote 1,TK-31,A,R1,A,230,Zymaflore X5,2026-03-25 16:00:00,40.0,2026-04-02T08:00:00,True,active_process
26134-P-05,2026-03-27 16:00:00,1049.9,12.8,,,51.15,48.2,27.4,114.41,51.24,63.169999999999995,33.0,25.0,3.49,,48.0,145.0,3.89,3.5900000000000003,,,26134,2026-03-27 16:00:00,2026-03-27 16:00:00,unchanged,3.5900000000000003,none,Lote 1,TK-31,A,R1,A,230,Zymaflore X5,2026-03-25 16:00:00,48.0,2026-04-02T08:00:00,True,active_process
26134-P-06,2026-03-28 08:00:00,1034.7,9.1,,,59.6,51.31,16.75,81.87,31.58,50.290000000000006,39.0,20.0,4.75,,21.0,142.0,5.87,5.57,,,26134,2026-03-28 08:00:00,2026-03-28 08:00:00,unchanged,5.57,none,Lote 1,TK-31,A,R1,A,230,Zymaflore X5,2026-03-25 16:00:00,64.0,2026-04-02T08:00:00,True,active_process
26134-P-07,2026-03-28 16:00:00,1027.6,7.5,,,61.44,53.07,13.13,74.99,27.41,47.58,34.0,3.0,4.52,,20.0,141.0,6.43,6.13,,,26134,2026-03-28 16:00:00,2026-03-28 16:00:00,unchanged,6.13,none,Lote 1,TK-31,A,R1,A,230,Zymaflore X5,2026-03-25 16:00:00,72.0,2026-04-02T08:00:00,True,active_process
26134-P-08,2026-03-29 08:00:00,1017.9,5.0,,,61.72,60.4,11.76,47.74,14.07,33.67,30.0,0.0,5.48,,15.0,128.0,8.0,7.7,,,26134,2026-03-29 08:00:00,2026-03-29 08:00:00,unchanged,7.7,none,Lote 1,TK-31,A,R1,A,230,Zymaflore X5,2026-03-25 16:00:00,88.0,2026-04-02T08:00:00,True,active_process
26134-P-09,2026-03-29 16:00:00,1013.3,4.1,,,52.07,50.23,6.93,39.85,10.78,29.07,29.0,0.0,5.43,,2.0,127.0,8.52,8.219999999999999,,,26134,2026-03-29 16:00:00,2026-03-29 16:00:00,unchanged,8.219999999999999,none,Lote 1,TK-31,A,R1,A,230,Zymaflore X5,2026-03-25 16:00:00,96.0,2026-04-02T08:00:00,True,active_process
26134-P-10,2026-03-30 08:00:00,1005.9,1.9,,,21.66,21.47,18.97,20.45,3.65,16.8,25.0,0.0,5.91,,35.0,124.0,9.6,9.299999999999999,,,26134,2026-03-30 08:00:00,2026-03-30 08:00:00,unchanged,9.299999999999999,none,Lote 1,TK-31,A,R1,A,230,Zymaflore X5,2026-03-25 16:00:00,112.0,2026-04-02T08:00:00,True,active_process
