experiment_id,mix_id,paired_wine_sample_id,timestamp,capture_interval_start,capture_interval_end,capture_interval_h,time_h,volume_a_ml,volume_b_ml,total_condensate_ml,fraction_a,fraction_b,lab_sample_id,paired_wine_gc_lab_sample_id,wine_pair_available,mix_id_result,analyte,mix_result_status,mix_model_observation_type,mix_vial_concentration_ug_l,mix_concentration_ug_l,mix_loq_ug_l,captured_mass_ug,captured_mass_upper_bound_ug,wine_sample_id_result,wine_result_status,wine_model_observation_type,wine_concentration_ug_l,wine_loq_ug_l
26157,26157-MIX-01,26157-P-05,2026-04-08 15:00:00,2026-04-06 13:00:00,2026-04-08 15:00:00,50.0,50.0,12.0,0.1,12.1,0.9917355371900827,0.008264462809917356,Lab-26-2034,Lab-26-2035,True,26157-MIX-01,Etil Acetato,NQ,left_censored,,,187500.0,,2268.75,26157-P-05,quantified,observed,4682.59488298487,187.5
26157,26157-MIX-01,26157-P-05,2026-04-08 15:00:00,2026-04-06 13:00:00,2026-04-08 15:00:00,50.0,50.0,12.0,0.1,12.1,0.9917355371900827,0.008264462809917356,Lab-26-2034,Lab-26-2035,True,26157-MIX-01,Isoamil Acetato,NQ,left_censored,,,5000.0,,60.5,26157-P-05,quantified,observed,358.095895130861,5.0
26157,26157-MIX-01,26157-P-05,2026-04-08 15:00:00,2026-04-06 13:00:00,2026-04-08 15:00:00,50.0,50.0,12.0,0.1,12.1,0.9917355371900827,0.008264462809917356,Lab-26-2034,Lab-26-2035,True,26157-MIX-01,Hexil Acetato,quantified,observed,0.021560926339737,21.560926339737,12.5,0.2608872087108177,,26157-P-05,quantified,observed,155.605485725609,0.0125
26157,26157-MIX-01,26157-P-05,2026-04-08 15:00:00,2026-04-06 13:00:00,2026-04-08 15:00:00,50.0,50.0,12.0,0.1,12.1,0.9917355371900827,0.008264462809917356,Lab-26-2034,Lab-26-2035,True,26157-MIX-01,Octanoato de Etilo,below_loq,left_censored,0.134994993122115,134.994993122115,500.0,1.6334394167775916,6.05,26157-P-05,quantified,observed,38.3768001866699,0.5
26157,26157-MIX-01,26157-P-05,2026-04-08 15:00:00,2026-04-06 13:00:00,2026-04-08 15:00:00,50.0,50.0,12.0,0.1,12.1,0.9917355371900827,0.008264462809917356,Lab-26-2034,Lab-26-2035,True,26157-MIX-01,Decanoato de Etilo,below_loq,left_censored,0.00933163407890046,9.331634078900459,12.5,0.11291277235469555,0.15125,26157-P-05,quantified,observed,16.5076100040894,0.0125
26157,26157-MIX-01,26157-P-05,2026-04-08 15:00:00,2026-04-06 13:00:00,2026-04-08 15:00:00,50.0,50.0,12.0,0.1,12.1,0.9917355371900827,0.008264462809917356,Lab-26-2034,Lab-26-2035,True,26157-MIX-01,Feniletil Acetato,NQ,left_censored,,,5000.0,,60.5,26157-P-05,quantified,observed,31.9900514831224,5.0
26157,26157-MIX-02,26157-P-08,2026-04-10 08:00:00,2026-04-08 15:00:00,2026-04-10 08:00:00,41.0,91.0,20.0,15.0,35.0,0.5714285714285714,0.42857142857142855,Lab-26-2036,Lab-26-2037,True,26157-MIX-02,Etil Acetato,NQ,left_censored,,,187500.0,,6562.5,26157-P-08,quantified,observed,14079.9482595189,187.5
26157,26157-MIX-02,26157-P-08,2026-04-10 08:00:00,2026-04-08 15:00:00,2026-04-10 08:00:00,41.0,91.0,20.0,15.0,35.0,0.5714285714285714,0.42857142857142855,Lab-26-2036,Lab-26-2037,True,26157-MIX-02,Isoamil Acetato,NQ,left_censored,,,5000.0,,175.0,26157-P-08,quantified,observed,1605.5334511929,5.0
26157,26157-MIX-02,26157-P-08,2026-04-10 08:00:00,2026-04-08 15:00:00,2026-04-10 08:00:00,41.0,91.0,20.0,15.0,35.0,0.5714285714285714,0.42857142857142855,Lab-26-2036,Lab-26-2037,True,26157-MIX-02,Hexil Acetato,quantified,observed,11.0119420126876,11011.9420126876,12.5,385.417970444066,,26157-P-08,quantified,observed,296.49009202075,0.0125
26157,26157-MIX-02,26157-P-08,2026-04-10 08:00:00,2026-04-08 15:00:00,2026-04-10 08:00:00,41.0,91.0,20.0,15.0,35.0,0.5714285714285714,0.42857142857142855,Lab-26-2036,Lab-26-2037,True,26157-MIX-02,Octanoato de Etilo,quantified,observed,2.48489068152052,2484.89068152052,500.0,86.9711738532182,,26157-P-08,quantified,observed,97.3195154412642,0.5
