Código condensado / mix,Código muestra MEF,Fecha-hora,Vol CA (mL),Vol CB (mL),Vol MIX CA + CB (µL),Vol CA MIX(uL),Vol CB MIX(uL),Vol GC (µL),Dil. GC,EtOH objetivo (%),Vol MIX (uL),Alcohol HPLC 100%  (uL),Vol agua (µL),Observaciones,Unnamed: 15,mix_id,experiment_id,paired_wine_sample_id,timestamp_original,timestamp,date_normalization,volume_a_ml,volume_b_ml,total_condensate_ml,fraction_a,fraction_b,capture_interval_start,capture_interval_end,capture_interval_h,time_h,sample_id,lab_sample_id,gc_prepared,gc_scope,paired_wine_gc_lab_sample_id,wine_pair_available
26159-MIX-01,26159-05,2026-08-04 15:00:00,3.0,0.1,1000,967.7419354838709,32.25806451612914,50000,1000,12.5,50,6250,43700,Pre-cargado diario; completar solo si se preparará mix analítico.,,26159-MIX-01,26159,26159-P-05,2026-08-04 15:00:00,2026-04-08 15:00:00,parsed_or_day_month_corrected,3.0,0.1,3.1,0.9677419354838709,0.03225806451612903,2026-04-06 13:00:00,2026-04-08 15:00:00,50.0,50.0,26159-MIX-01,Lab-26-2056,True,confirmed_lots_2_and_3_only,Lab-26-2057,True
26159-MIX-02,26159-09,2026-11-04 08:00:00,22.0,0.0,1000,1000.0,0.0,50000,1000,12.5,50,6250,43700,Pre-cargado diario; completar solo si se preparará mix analítico.,,26159-MIX-02,26159,26159-P-09,2026-11-04 08:00:00,2026-04-11 08:00:00,parsed_or_day_month_corrected,22.0,0.0,22.0,1.0,0.0,2026-04-08 15:00:00,2026-04-11 08:00:00,65.0,115.0,26159-MIX-02,Lab-26-2058,True,confirmed_lots_2_and_3_only,Lab-26-2059,True
26159-MIX-03,26159-11,2026-12-04 08:00:00,12.0,0.1,1000,991.7355371900827,8.26446280991729,50000,1000,12.5,50,6250,43700,Pre-cargado diario; completar solo si se preparará mix analítico.,,26159-MIX-03,26159,26159-P-11,2026-12-04 08:00:00,2026-04-12 08:00:00,parsed_or_day_month_corrected,12.0,0.1,12.1,0.9917355371900827,0.008264462809917356,2026-04-11 08:00:00,2026-04-12 08:00:00,24.0,139.0,26159-MIX-03,Lab-26-2060,True,confirmed_lots_2_and_3_only,Lab-26-2061,True
26159-MIX-04,26159-12,2026-12-04 15:00:00,2.0,2.5,1000,444.4444444444444,555.5555555555557,50000,1000,12.5,50,6250,43700,Pre-cargado diario; completar solo si se preparará mix analítico.,,26159-MIX-04,26159,26159-P-12,2026-12-04 15:00:00,2026-04-12 15:00:00,parsed_or_day_month_corrected,2.0,2.5,4.5,0.4444444444444444,0.5555555555555556,2026-04-12 08:00:00,2026-04-12 15:00:00,7.0,146.0,26159-MIX-04,Lab-26-2062,True,confirmed_lots_2_and_3_only,Lab-26-2063,True
26159-MIX-05,26159-15,15-04-2026 08:00,15.0,14.0,1000,517.2413793103449,482.7586206896551,50000,1000,12.5,50,6250,43700,Pre-cargado diario; completar solo si se preparará mix analítico.,,26159-MIX-05,26159,26159-P-15,15-04-2026 08:00,2026-04-15 08:00:00,parsed_or_day_month_corrected,15.0,14.0,29.0,0.5172413793103449,0.4827586206896552,2026-04-12 15:00:00,2026-04-15 08:00:00,65.0,211.0,26159-MIX-05,Lab-26-2064,True,confirmed_lots_2_and_3_only,Lab-26-2065,True
26210-MIX-01,26210-05,19-04-2026  15:00 PM,7.0,0.1,1000,985.9154929577466,14.084507042253449,50000,1000,12.5,50,6250,43700,,,26210-MIX-01,26210,26210-P-05,19-04-2026  15:00 PM,2026-04-19 15:00:00,parsed_or_day_month_corrected,7.0,0.1,7.1,0.9859154929577465,0.014084507042253523,2026-04-17 16:00:00,2026-04-19 15:00:00,47.0,47.0,26210-MIX-01,Lab-26-2067,True,confirmed_lots_2_and_3_only,Lab-26-2068,True
26210-MIX-02,26210-08,21-04-2026 08:00,22.5,10.0,1000,692.3076923076923,307.69230769230774,50000,1000,12.5,50,6250,43700,,,26210-MIX-02,26210,26210-P-08,21-04-2026 08:00,2026-04-21 08:00:00,parsed_or_day_month_corrected,22.5,10.0,32.5,0.6923076923076923,0.3076923076923077,2026-04-19 15:00:00,2026-04-21 08:00:00,41.0,88.0,26210-MIX-02,Lab-26-2069,True,confirmed_lots_2_and_3_only,Lab-26-2070,True
26210-MIX-03,26210-10,22-04-2026 08:00,21.0,16.0,1000,567.5675675675675,432.4324324324325,50000,1000,12.5,50,6250,43700,,,26210-MIX-03,26210,26210-P-10,22-04-2026 08:00,2026-04-22 08:00:00,parsed_or_day_month_corrected,21.0,16.0,37.0,0.5675675675675675,0.43243243243243246,2026-04-21 08:00:00,2026-04-22 08:00:00,24.0,112.0,26210-MIX-03,Lab-26-2071,True,confirmed_lots_2_and_3_only,Lab-26-2072,True
26210-MIX-04,26210-12,23-04-2026  15:00 PM,18.0,28.0,1000,391.304347826087,608.695652173913,50000,1000,12.5,50,6250,43700,,,26210-MIX-04,26210,26210-P-12,23-04-2026  15:00 PM,2026-04-23 15:00:00,parsed_or_day_month_corrected,18.0,28.0,46.0,0.391304347826087,0.6086956521739131,2026-04-22 08:00:00,2026-04-23 15:00:00,31.0,143.0,26210-MIX-04,Lab-26-2073,True,confirmed_lots_2_and_3_only,Lab-26-2074,True
26210-MIX-05,26210-13,24-04-2026 08:00,4.0,9.0,1000,307.69230769230774,692.3076923076923,50000,1000,12.5,50,6250,43700,,,26210-MIX-05,26210,26210-P-13,24-04-2026 08:00,2026-04-24 08:00:00,parsed_or_day_month_corrected,4.0,9.0,13.0,0.3076923076923077,0.6923076923076923,2026-04-23 15:00:00,2026-04-24 08:00:00,17.0,160.0,26210-MIX-05,Lab-26-2075,True,confirmed_lots_2_and_3_only,Lab-26-2076,True
26210-MIX-06,26210-14,25-04-2026 11:00,5.0,5.0,1000,500.0,500.0,50000,1000,12.5,50,6250,43700,Extraje 1 ml CA y CB para testeos posteriores (Cristóbal) - volumnes originales en celdas Vol CA/CB,,26210-MIX-06,26210,26210-P-14,25-04-2026 11:00,2026-04-25 11:00:00,parsed_or_day_month_corrected,5.0,5.0,10.0,0.5,0.5,2026-04-24 08:00:00,2026-04-25 11:00:00,27.0,187.0,26210-MIX-06,Lab-26-2077,True,confirmed_lots_2_and_3_only,Lab-26-2078,True
26211-MIX-01,26211-05,19-04-2026  15:00 PM,3.0,0.1,1000,967.7419354838709,32.25806451612914,50000,1000,12.5,50,6250,43700,,,26211-MIX-01,26211,26211-P-05,19-04-2026  15:00 PM,2026-04-19 15:00:00,parsed_or_day_month_corrected,3.0,0.1,3.1,0.9677419354838709,0.03225806451612903,2026-04-17 16:00:00,2026-04-19 15:00:00,47.0,47.0,26211-MIX-01,Lab-26-2080,True,confirmed_lots_2_and_3_only,Lab-26-2081,True
26211-MIX-02,26211-08,21-04-2026 08:00,23.0,3.0,1000,884.6153846153845,115.38461538461547,50000,1000,12.5,50,6250,43700,,,26211-MIX-02,26211,26211-P-08,21-04-2026 08:00,2026-04-21 08:00:00,parsed_or_day_month_corrected,23.0,3.0,26.0,0.8846153846153846,0.11538461538461539,2026-04-19 15:00:00,2026-04-21 08:00:00,41.0,88.0,26211-MIX-02,Lab-26-2082,True,confirmed_lots_2_and_3_only,Lab-26-2083,True
26211-MIX-03,26211-10,22-04-2026 08:00,21.0,12.0,1000,636.3636363636364,363.6363636363636,50000,1000,12.5,50,6250,43700,,,26211-MIX-03,26211,26211-P-10,22-04-2026 08:00,2026-04-22 08:00:00,parsed_or_day_month_corrected,21.0,12.0,33.0,0.6363636363636364,0.36363636363636365,2026-04-21 08:00:00,2026-04-22 08:00:00,24.0,112.0,26211-MIX-03,Lab-26-2084,True,confirmed_lots_2_and_3_only,Lab-26-2085,True
26211-MIX-04,26211-12,23-04-2026  15:00 PM,18.0,36.0,1000,333.3333333333333,666.6666666666667,50000,1000,12.5,50,6250,43700,,,26211-MIX-04,26211,26211-P-12,23-04-2026  15:00 PM,2026-04-23 15:00:00,parsed_or_day_month_corrected,18.0,36.0,54.0,0.3333333333333333,0.6666666666666666,2026-04-22 08:00:00,2026-04-23 15:00:00,31.0,143.0,26211-MIX-04,Lab-26-2086,True,confirmed_lots_2_and_3_only,Lab-26-2087,True
26211-MIX-05,26211-13,24-04-2026 08:00,6.0,6.0,1000,500.0,500.0,50000,1000,12.5,50,6250,43700,,,26211-MIX-05,26211,26211-P-13,24-04-2026 08:00,2026-04-24 08:00:00,parsed_or_day_month_corrected,6.0,6.0,12.0,0.5,0.5,2026-04-23 15:00:00,2026-04-24 08:00:00,17.0,160.0,26211-MIX-05,Lab-26-2088,True,confirmed_lots_2_and_3_only,Lab-26-2089,True
26211-MIX-06,26211-14,25-04-2026 11:00,7.0,5.0,1000,583.3333333333334,416.66666666666663,50000,1000,12.5,50,6250,43700,Extraje 1 ml CA y CB para testeos posteriores (Cristóbal),,26211-MIX-06,26211,26211-P-14,25-04-2026 11:00,2026-04-25 11:00:00,parsed_or_day_month_corrected,7.0,5.0,12.0,0.5833333333333334,0.4166666666666667,2026-04-24 08:00:00,2026-04-25 11:00:00,27.0,187.0,26211-MIX-06,Lab-26-2090,True,confirmed_lots_2_and_3_only,Lab-26-2091,True
26212-MIX-01,26212-05,19-04-2026  15:00 PM,22.5,0.3,1000,986.8421052631578,13.157894736842195,50000,1000,12.5,50,6250,43700,,,26212-MIX-01,26212,26212-P-05,19-04-2026  15:00 PM,2026-04-19 15:00:00,parsed_or_day_month_corrected,22.5,0.3,22.8,0.9868421052631579,0.013157894736842105,2026-04-17 16:00:00,2026-04-19 15:00:00,47.0,47.0,26212-MIX-01,Lab-26-2093,True,confirmed_lots_2_and_3_only,Lab-26-2094,True
26212-MIX-02,26212-06,20-04-2026  8:00 AM,20.0,10.0,1000,666.6666666666666,333.33333333333337,50000,1000,12.5,50,6250,43700,,,26212-MIX-02,26212,26212-P-06,20-04-2026  8:00 AM,2026-04-20 08:00:00,parsed_or_day_month_corrected,20.0,10.0,30.0,0.6666666666666666,0.3333333333333333,2026-04-19 15:00:00,2026-04-20 08:00:00,17.0,64.0,26212-MIX-02,Lab-26-2095,True,confirmed_lots_2_and_3_only,Lab-26-2096,True
26212-MIX-03,26212-08,21-04-2026 08:00,15.0,10.0,1000,600.0,400.0,50000,1000,12.5,50,6250,43700,,,26212-MIX-03,26212,26212-P-08,21-04-2026 08:00,2026-04-21 08:00:00,parsed_or_day_month_corrected,15.0,10.0,25.0,0.6,0.4,2026-04-20 08:00:00,2026-04-21 08:00:00,24.0,88.0,26212-MIX-03,Lab-26-2097,True,confirmed_lots_2_and_3_only,Lab-26-2098,True
26212-MIX-04,26212-11,23-04-2026  15:00 PM,20.0,16.0,1000,555.5555555555555,444.44444444444446,50000,1000,12.5,50,6250,43700,,,26212-MIX-04,26212,26212-P-11,23-04-2026  15:00 PM,2026-04-23 15:00:00,parsed_or_day_month_corrected,20.0,16.0,36.0,0.5555555555555556,0.4444444444444444,2026-04-21 08:00:00,2026-04-23 15:00:00,55.0,143.0,26212-MIX-04,Lab-26-2099,True,confirmed_lots_2_and_3_only,Lab-26-2100,True
26212-MIX-05,26212-12,24-04-2026 08:00,3.0,2.0,1000,600.0,400.0,50000,1000,12.5,50,6250,43700,,,26212-MIX-05,26212,26212-P-12,24-04-2026 08:00,2026-04-24 08:00:00,parsed_or_day_month_corrected,3.0,2.0,5.0,0.6,0.4,2026-04-23 15:00:00,2026-04-24 08:00:00,17.0,160.0,26212-MIX-05,Lab-26-2101,True,confirmed_lots_2_and_3_only,Lab-26-2102,True
26212-MIX-06,26212-13,25-04-2026 11:00,1.5,7.5,1000,166.66666666666666,833.3333333333334,50000,1000,12.5,50,6250,43700,Extraje 1 ml CA y CB para testeos posteriores (Cristóbal),,26212-MIX-06,26212,26212-P-13,25-04-2026 11:00,2026-04-25 11:00:00,parsed_or_day_month_corrected,1.5,7.5,9.0,0.16666666666666666,0.8333333333333334,2026-04-24 08:00:00,2026-04-25 11:00:00,27.0,187.0,26212-MIX-06,Lab-26-2103,True,confirmed_lots_2_and_3_only,Lab-26-2104,True
