experiment_id,lot,reactor,condition,replicate,protocol,temperature_program,sampling_start,sampling_end,primary_samples,mapping_status,active_end,active_end_rule,postprocess_excluded_from_calibration
26134,Lote 1,TK-31,A,R1,A,18_to_21_to_16C,2026-03-25 16:00:00,2026-04-02 08:00:00,15,confirmed,2026-04-02T08:00:00,last_primary_sample,True
26135,Lote 1,TK-32,A,R2,A,18_to_21_to_16C,2026-03-25 16:00:00,2026-04-02 08:00:00,15,confirmed,2026-04-02T08:00:00,last_primary_sample,True
26136,Lote 1,TK-33,B,R1,B,21_to_18_to_16C,2026-03-25 16:00:00,2026-04-02 08:00:00,14,confirmed,2026-04-02T08:00:00,last_primary_sample,True
26157,Lote 2,TK-31,A,R3,A,18_to_21_to_16C,2026-04-06 13:00:00,2026-04-14 15:00:00,16,confirmed,2026-04-13T16:22:18,controller_mode2_setpoint_9_to_11C,True
26158,Lote 2,TK-32,A,R4,A,18_to_21_to_16C,2026-04-06 13:00:00,2026-04-14 15:00:00,16,confirmed,2026-04-13T16:24:31,controller_mode2_setpoint_9_to_11C,True
26159,Lote 2,TK-33,C,R1,C,16_to_18_to_21C,2026-04-06 13:00:00,2026-04-15 08:00:00,15,confirmed,2026-04-15T08:00:00,last_primary_sample,True
26210,Lote 3,TK-31,A,R5,A,18_to_21_to_16C,2026-04-17 16:00:00,2026-04-25 11:00:00,14,confirmed,2026-04-24T16:15:35,controller_mode2_setpoint_9_to_11C,True
26211,Lote 3,TK-32,A,R6,A,18_to_21_to_16C,2026-04-17 16:00:00,2026-04-25 11:00:00,14,confirmed,2026-04-25T11:00:00,last_primary_sample,True
26212,Lote 3,TK-33,B,R2,B,21_to_18_to_16C,2026-04-17 16:00:00,2026-04-25 11:00:00,13,confirmed,2026-04-24T16:16:12,controller_mode2_setpoint_9_to_11C,True
