policy,species,capture_interval,start_h,end_h,duration_h,capture_stage_1_c,capture_stage_2_c,maximum_capture_interval_h,maximum_capture_interval_policy,within_approved_duration,captured_mass_mean_ug,captured_mass_min_ug,captured_mass_max_ug,cumulative_mass_start_mean_ug,cumulative_mass_end_mean_ug,mass_conservation_max_abs_error_ug,maximum_trap_loading,maximum_trap_loading_policy,trap_loading_constraint_satisfied,vessel_change_required,strategy,dose_design,sampling_mode,tank_review_mapping,candidate_id,canonical_policy_hash,watermark,candidate_only_not_for_physical_execution
operational_anchor_18C_N76,ethyl_octanoate,2,22.0,46.0,24.0,0.0,-40.0,,unbounded_by_hardware,True,1.5157418516622743,0.13186763976336383,21.948784694707832,0.06025144253562477,1.5759932941978994,3.552713678800501e-15,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,partially_harmonized,TK33,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
operational_anchor_18C_N76,ethyl_octanoate,3,46.0,50.0,4.0,0.0,-40.0,,unbounded_by_hardware,True,0.7257229329102928,0.0668754531177772,8.739914984648212,1.5759932941978994,2.3017162271081917,3.552713678800501e-15,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,partially_harmonized,TK33,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
operational_anchor_18C_N76,ethyl_octanoate,4,50.0,66.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,4.333057151974328,0.8543263605807684,40.333582502908044,2.3017162271081917,6.634773379082521,3.552713678800501e-15,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,partially_harmonized,TK33,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
operational_anchor_18C_N76,ethyl_octanoate,5,66.0,74.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,2.543490134650984,1.4015205458672435,18.458158594564722,6.634773379082521,9.178263513733505,3.552713678800501e-15,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,partially_harmonized,TK33,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
operational_anchor_18C_N76,ethyl_octanoate,6,74.0,90.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,5.310131035775692,2.8112346902230643,33.537502886585955,9.178263513733505,14.488394549509199,3.552713678800501e-15,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,partially_harmonized,TK33,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
operational_anchor_18C_N76,ethyl_octanoate,7,90.0,98.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,2.58138142835203,1.2556800126803527,14.86991971225956,14.488394549509199,17.069775977861227,3.552713678800501e-15,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,partially_harmonized,TK33,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
operational_anchor_18C_N76,ethyl_octanoate,8,98.0,162.0,64.0,0.0,-40.0,,unbounded_by_hardware,True,12.985992134112998,6.119461265640423,66.3786823863125,17.069775977861227,30.05576811197422,3.552713678800501e-15,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,partially_harmonized,TK33,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
operational_anchor_18C_N76,ethyl_octanoate,9,162.0,170.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,0.7359852130360803,0.3627220758675449,3.43688975291073,30.05576811197422,30.791753325010305,3.552713678800501e-15,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,partially_harmonized,TK33,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
operational_anchor_18C_N76,isoamyl_acetate,1,0.0,22.0,22.0,0.0,-40.0,,unbounded_by_hardware,True,0.09086040004070592,0.00798910900813445,1.0311876924635819,0.0,0.09086040004070592,5.684341886080802e-14,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,partially_harmonized,TK33,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
operational_anchor_18C_N76,isoamyl_acetate,2,22.0,46.0,24.0,0.0,-40.0,,unbounded_by_hardware,True,8.094527810663696,0.14077326615909494,88.13988253461086,0.09086040004070592,8.1853882107044,5.684341886080802e-14,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,partially_harmonized,TK33,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
operational_anchor_18C_N76,isoamyl_acetate,3,46.0,50.0,4.0,0.0,-40.0,,unbounded_by_hardware,True,4.7312983063122935,0.1080384977192354,31.993312355905246,8.1853882107044,12.916686517016695,5.684341886080802e-14,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,partially_harmonized,TK33,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
operational_anchor_18C_N76,isoamyl_acetate,4,50.0,66.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,30.83995300268545,2.267272990253109,145.41060143940373,12.916686517016695,43.75663951970214,5.684341886080802e-14,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,partially_harmonized,TK33,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
operational_anchor_18C_N76,isoamyl_acetate,5,66.0,74.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,19.115140727895596,6.3536257465588655,68.81882716225999,43.75663951970214,62.87178024759774,5.684341886080802e-14,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,partially_harmonized,TK33,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
operational_anchor_18C_N76,isoamyl_acetate,6,74.0,90.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,41.157222760128334,21.907266257949512,126.90079487693504,62.87178024759774,104.02900300772609,5.684341886080802e-14,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,partially_harmonized,TK33,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
operational_anchor_18C_N76,isoamyl_acetate,7,90.0,98.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,20.44216674919287,10.077942645888882,56.91167622644201,104.02900300772609,124.47116975691895,5.684341886080802e-14,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,partially_harmonized,TK33,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
operational_anchor_18C_N76,isoamyl_acetate,8,98.0,162.0,64.0,0.0,-40.0,,unbounded_by_hardware,True,106.19064388433202,53.04622561055672,265.9649925390876,124.47116975691895,230.66181364125097,5.684341886080802e-14,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,partially_harmonized,TK33,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
operational_anchor_18C_N76,isoamyl_acetate,9,162.0,170.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,6.164417652981719,2.5672553049940916,13.257239417358505,230.66181364125097,236.82623129423268,5.684341886080802e-14,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,partially_harmonized,TK33,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
cold_early_N76,ethyl_acetate,1,0.0,26.0,26.0,0.0,-40.0,,unbounded_by_hardware,True,103.13015915473622,0.029601137632214503,1257.436423718401,0.0,103.13015915473622,3.637978807091713e-12,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,partially_harmonized,TK31,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
cold_early_N76,ethyl_acetate,2,26.0,42.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,695.3969356247546,0.07270243391910691,9785.719356601901,103.13015915473622,798.5270947794909,3.637978807091713e-12,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,partially_harmonized,TK31,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
cold_early_N76,ethyl_acetate,3,42.0,46.0,4.0,0.0,-40.0,,unbounded_by_hardware,True,539.6940218884773,0.03515999287170857,8855.041192970915,798.5270947794909,1338.221116667968,3.637978807091713e-12,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,partially_harmonized,TK31,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
