notice,authorized_for_physical_execution,policy,logical_profile,tank,block,start_h,end_h,start_local,end_local,setpoint_c,jump_from_previous_c,jump_within_5c,minimum_block_duration_h
COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,anchor_18C,anchor,TK33,1,0.0,12.0,2026-07-20T15:00:00-04:00,2026-07-21T03:00:00-04:00,18.0,0.0,True,12.0
COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,anchor_18C,anchor,TK33,2,12.0,24.0,2026-07-21T03:00:00-04:00,2026-07-21T15:00:00-04:00,18.0,0.0,True,12.0
COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,anchor_18C,anchor,TK33,3,24.0,36.0,2026-07-21T15:00:00-04:00,2026-07-22T03:00:00-04:00,18.0,0.0,True,12.0
COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,anchor_18C,anchor,TK33,4,36.0,48.0,2026-07-22T03:00:00-04:00,2026-07-22T15:00:00-04:00,18.0,0.0,True,12.0
COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,anchor_18C,anchor,TK33,5,48.0,60.0,2026-07-22T15:00:00-04:00,2026-07-23T03:00:00-04:00,18.0,0.0,True,12.0
COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,anchor_18C,anchor,TK33,6,60.0,72.0,2026-07-23T03:00:00-04:00,2026-07-23T15:00:00-04:00,18.0,0.0,True,12.0
COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,anchor_18C,anchor,TK33,7,72.0,84.0,2026-07-23T15:00:00-04:00,2026-07-24T03:00:00-04:00,18.0,0.0,True,12.0
COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,anchor_18C,anchor,TK33,8,84.0,96.0,2026-07-24T03:00:00-04:00,2026-07-24T15:00:00-04:00,18.0,0.0,True,12.0
COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,anchor_18C,anchor,TK33,9,96.0,108.0,2026-07-24T15:00:00-04:00,2026-07-25T03:00:00-04:00,18.0,0.0,True,12.0
COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,anchor_18C,anchor,TK33,10,108.0,120.0,2026-07-25T03:00:00-04:00,2026-07-25T15:00:00-04:00,18.0,0.0,True,12.0
COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,anchor_18C,anchor,TK33,11,120.0,132.0,2026-07-25T15:00:00-04:00,2026-07-26T03:00:00-04:00,18.0,0.0,True,12.0
COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,anchor_18C,anchor,TK33,12,132.0,144.0,2026-07-26T03:00:00-04:00,2026-07-26T15:00:00-04:00,18.0,0.0,True,12.0
COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,anchor_18C,anchor,TK33,13,144.0,156.0,2026-07-26T15:00:00-04:00,2026-07-27T03:00:00-04:00,18.0,0.0,True,12.0
COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,anchor_18C,anchor,TK33,14,156.0,168.0,2026-07-27T03:00:00-04:00,2026-07-27T15:00:00-04:00,18.0,0.0,True,12.0
COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,candidate_A,A,TK31,1,0.0,12.0,2026-07-20T15:00:00-04:00,2026-07-21T03:00:00-04:00,26.31385069209483,0.0,True,12.0
COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,candidate_A,A,TK31,2,12.0,24.0,2026-07-21T03:00:00-04:00,2026-07-21T15:00:00-04:00,21.529638951051343,-4.784211741043489,True,12.0
COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,candidate_A,A,TK31,3,24.0,36.0,2026-07-21T15:00:00-04:00,2026-07-22T03:00:00-04:00,21.529638951051343,0.0,True,12.0
COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,candidate_A,A,TK31,4,36.0,48.0,2026-07-22T03:00:00-04:00,2026-07-22T15:00:00-04:00,21.529638951051343,0.0,True,12.0
COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,candidate_A,A,TK31,5,48.0,60.0,2026-07-22T15:00:00-04:00,2026-07-23T03:00:00-04:00,21.529638951051343,0.0,True,12.0
COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,candidate_A,A,TK31,6,60.0,72.0,2026-07-23T03:00:00-04:00,2026-07-23T15:00:00-04:00,21.529638951051343,0.0,True,12.0
COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,candidate_A,A,TK31,7,72.0,84.0,2026-07-23T15:00:00-04:00,2026-07-24T03:00:00-04:00,21.529638951051343,0.0,True,12.0
COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,candidate_A,A,TK31,8,84.0,96.0,2026-07-24T03:00:00-04:00,2026-07-24T15:00:00-04:00,21.529638951051343,0.0,True,12.0
COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,candidate_A,A,TK31,9,96.0,108.0,2026-07-24T15:00:00-04:00,2026-07-25T03:00:00-04:00,21.529638951051343,0.0,True,12.0
COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,candidate_A,A,TK31,10,108.0,120.0,2026-07-25T03:00:00-04:00,2026-07-25T15:00:00-04:00,21.529638951051343,0.0,True,12.0
COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,candidate_A,A,TK31,11,120.0,132.0,2026-07-25T15:00:00-04:00,2026-07-26T03:00:00-04:00,21.529638951051343,0.0,True,12.0
COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,candidate_A,A,TK31,12,132.0,144.0,2026-07-26T03:00:00-04:00,2026-07-26T15:00:00-04:00,21.529638951051343,0.0,True,12.0
COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,candidate_A,A,TK31,13,144.0,156.0,2026-07-26T15:00:00-04:00,2026-07-27T03:00:00-04:00,21.529638951051343,0.0,True,12.0
COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,candidate_A,A,TK31,14,156.0,168.0,2026-07-27T03:00:00-04:00,2026-07-27T15:00:00-04:00,21.529638951051343,0.0,True,12.0
COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,candidate_B,B,TK32,1,0.0,12.0,2026-07-20T15:00:00-04:00,2026-07-21T03:00:00-04:00,26.33085986142825,0.0,True,12.0
COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,candidate_B,B,TK32,2,12.0,24.0,2026-07-21T03:00:00-04:00,2026-07-21T15:00:00-04:00,21.484943978268767,-4.845915883159485,True,12.0
COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,candidate_B,B,TK32,3,24.0,36.0,2026-07-21T15:00:00-04:00,2026-07-22T03:00:00-04:00,21.484943978268767,0.0,True,12.0
COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,candidate_B,B,TK32,4,36.0,48.0,2026-07-22T03:00:00-04:00,2026-07-22T15:00:00-04:00,21.484943978268767,0.0,True,12.0
COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,candidate_B,B,TK32,5,48.0,60.0,2026-07-22T15:00:00-04:00,2026-07-23T03:00:00-04:00,21.484943978268767,0.0,True,12.0
COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,candidate_B,B,TK32,6,60.0,72.0,2026-07-23T03:00:00-04:00,2026-07-23T15:00:00-04:00,21.484943978268767,0.0,True,12.0
COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,candidate_B,B,TK32,7,72.0,84.0,2026-07-23T15:00:00-04:00,2026-07-24T03:00:00-04:00,21.484943978268767,0.0,True,12.0
COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,candidate_B,B,TK32,8,84.0,96.0,2026-07-24T03:00:00-04:00,2026-07-24T15:00:00-04:00,21.484943978268767,0.0,True,12.0
COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,candidate_B,B,TK32,9,96.0,108.0,2026-07-24T15:00:00-04:00,2026-07-25T03:00:00-04:00,21.484943978268767,0.0,True,12.0
COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,candidate_B,B,TK32,10,108.0,120.0,2026-07-25T03:00:00-04:00,2026-07-25T15:00:00-04:00,21.484943978268767,0.0,True,12.0
COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,candidate_B,B,TK32,11,120.0,132.0,2026-07-25T15:00:00-04:00,2026-07-26T03:00:00-04:00,21.484943978268767,0.0,True,12.0
COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,candidate_B,B,TK32,12,132.0,144.0,2026-07-26T03:00:00-04:00,2026-07-26T15:00:00-04:00,21.484943978268767,0.0,True,12.0
COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,candidate_B,B,TK32,13,144.0,156.0,2026-07-26T15:00:00-04:00,2026-07-27T03:00:00-04:00,21.484943978268767,0.0,True,12.0
COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,candidate_B,B,TK32,14,156.0,168.0,2026-07-27T03:00:00-04:00,2026-07-27T15:00:00-04:00,21.484943978268767,0.0,True,12.0
