source,experiment_id,matrix,role,integrated_rco2_g_l,peak_rco2_g_l_h,released_over_stoichiometric_integral
released_co2_model,26157,pilot_lot2,calibration,66.82703867775248,0.7554241371023533,1.9263569997278533
released_co2_model,26158,pilot_lot2,holdout,64.30163416182292,0.7475483477285053,1.9048289697084524
released_co2_model,26159,pilot_lot2,calibration,64.19033146524612,0.682169009723467,1.8217730873388707
released_co2_model,26210,pilot_lot3,calibration,62.774619383143104,0.9240593102456667,1.809971169801559
released_co2_model,26211,pilot_lot3,holdout,63.2467458452744,0.9410473765860425,1.7825123108857364
released_co2_model,26212,pilot_lot3,calibration,61.90662744054703,1.0543591206263894,1.7431788540925672
stoichiometric_legacy,26157,pilot_lot2,calibration,34.690889947810035,0.4285842309212793,1.9263569997278533
stoichiometric_legacy,26158,pilot_lot2,holdout,33.757169375508155,0.43365247907729326,1.9048289697084524
stoichiometric_legacy,26159,pilot_lot2,calibration,35.235086033141066,0.4050548706707834,1.8217730873388707
stoichiometric_legacy,26210,pilot_lot3,calibration,34.68266259181662,0.5157509746233214,1.809971169801559
stoichiometric_legacy,26211,pilot_lot3,holdout,35.48180029895383,0.5232071888491948,1.7825123108857364
stoichiometric_legacy,26212,pilot_lot3,calibration,35.513640665847376,0.5034816911045427,1.7431788540925672
