species,parameter,log_offset_requested,fixed_value,objective,delta_objective,success,forcing_source,fit_scope
ethyl_acetate,formation_growth_ug_per_g_sugar,0.0,15.650845916487153,44.26290433575396,-1.570573004983089e-08,True,released_co2_model,calibration_only
ethyl_acetate,formation_stationary_ug_per_g_sugar,0.0,77.11750471004703,44.26290433544632,-1.6013366632705583e-08,True,released_co2_model,calibration_only
ethyl_acetate,effective_loss_scale,0.0,0.007878801747474786,44.26290412264922,-2.2881047101463992e-07,True,released_co2_model,calibration_only
ethyl_octanoate,formation_growth_ug_per_g_sugar,0.0,0.045470029549115706,233.16533570652183,0.0,True,released_co2_model,calibration_only
ethyl_octanoate,formation_stationary_ug_per_g_sugar,0.0,0.56808642069406,233.16533570652183,0.0,True,released_co2_model,calibration_only
ethyl_octanoate,effective_loss_scale,0.0,0.007922173760807859,233.14765342838461,-0.017682278137215235,True,released_co2_model,calibration_only
isoamyl_acetate,formation_growth_ug_per_g_sugar,0.0,0.18283824507126914,222.7626973163136,-0.0033252318856114016,True,released_co2_model,calibration_only
isoamyl_acetate,formation_stationary_ug_per_g_sugar,0.0,6.920881508980207,222.7637451177917,-0.002277430407502834,True,released_co2_model,calibration_only
isoamyl_acetate,effective_loss_scale,0.0,0.0058928368580603244,222.76477679377203,-0.0012457544271740062,True,released_co2_model,calibration_only
ethyl_acetate,formation_growth_ug_per_g_sugar,-2.0,5.7279695569280635,75.27824630647072,2.993996319523376,True,released_co2_model,all_data
ethyl_acetate,formation_growth_ug_per_g_sugar,-1.0,15.570235560564162,73.63661679320018,1.3523668062528316,True,released_co2_model,all_data
ethyl_acetate,formation_growth_ug_per_g_sugar,-0.5,25.670978558513667,72.77631051127204,0.4920605243246996,True,released_co2_model,all_data
ethyl_acetate,formation_growth_ug_per_g_sugar,0.0,42.324288389108396,72.28424975023881,-2.3670853011026338e-07,True,released_co2_model,all_data
ethyl_acetate,formation_growth_ug_per_g_sugar,0.5,69.78095453436949,73.51493204938905,1.2306820624417014,True,released_co2_model,all_data
ethyl_acetate,formation_growth_ug_per_g_sugar,1.0,115.04934403057352,80.71286168354132,8.428611696593975,True,released_co2_model,all_data
ethyl_acetate,formation_growth_ug_per_g_sugar,2.0,312.73654125444114,186.16495843695918,113.88070845001184,True,released_co2_model,all_data
ethyl_acetate,formation_stationary_ug_per_g_sugar,-2.0,9.827740155114643,168.8764902057817,96.59224021883435,True,released_co2_model,all_data
ethyl_acetate,formation_stationary_ug_per_g_sugar,-1.0,26.714567478465415,123.83603745710262,51.551787470155276,True,released_co2_model,all_data
ethyl_acetate,formation_stationary_ug_per_g_sugar,-0.5,44.04487563929982,92.37445260790622,20.090202620958877,True,released_co2_model,all_data
ethyl_acetate,formation_stationary_ug_per_g_sugar,0.0,72.61772333185552,72.28424971822272,-2.6872461944549286e-07,True,released_co2_model,all_data
ethyl_acetate,formation_stationary_ug_per_g_sugar,0.5,119.72638508704716,200.2029999268408,127.91874993989344,True,released_co2_model,all_data
ethyl_acetate,formation_stationary_ug_per_g_sugar,1.0,197.39543775704928,1198.79427663855,1126.5100266516026,True,released_co2_model,all_data
