campaign_order,lot,candidate,event,relative_time_h,datetime,weekday,details,channel,amount,volume_ml,operational,volume_before_ml,volume_after_ml
7,3,synthetic_high_sugar_reference,DO_measurement,0.0,2026-07-13 08:00:00,Monday,DO spot measurement; no controlled oxygen pulse,,,0.0,True,2000.0,2000.0
7,3,synthetic_high_sugar_reference,DO_measurement,2.0,2026-07-13 10:00:00,Monday,DO spot measurement; no controlled oxygen pulse,,,0.0,True,2000.0,2000.0
7,3,synthetic_high_sugar_reference,full_liquid_sample,2.0,2026-07-13 10:00:00,Monday,ethanol+aromas+full panel,,,50.0,True,2000.0,1950.0
7,3,synthetic_high_sugar_reference,DO_measurement,4.0,2026-07-13 12:00:00,Monday,DO spot measurement; no controlled oxygen pulse,,,0.0,True,1950.0,1950.0
7,3,synthetic_high_sugar_reference,small_liquid_sample,4.0,2026-07-13 12:00:00,Monday,small panel: biomass/YAN/sugars/glycerol/secondary acids; no ethanol/aromas,,,8.0,True,1950.0,1942.0
7,3,synthetic_high_sugar_reference,DO_measurement,6.0,2026-07-13 14:00:00,Monday,DO spot measurement; no controlled oxygen pulse,,,0.0,True,1942.0,1942.0
7,3,synthetic_high_sugar_reference,small_liquid_sample,6.0,2026-07-13 14:00:00,Monday,small panel: biomass/YAN/sugars/glycerol/secondary acids; no ethanol/aromas,,,8.0,True,1942.0,1934.0
7,3,synthetic_high_sugar_reference,DO_measurement,8.0,2026-07-13 16:00:00,Monday,DO spot measurement; no controlled oxygen pulse,,,0.0,True,1934.0,1934.0
7,3,synthetic_high_sugar_reference,full_liquid_sample,8.0,2026-07-13 16:00:00,Monday,ethanol+aromas+full panel,,,50.0,True,1934.0,1884.0
7,3,synthetic_high_sugar_reference,DO_measurement,26.0,2026-07-14 10:00:00,Tuesday,DO spot measurement; no controlled oxygen pulse,,,0.0,True,1884.0,1884.0
7,3,synthetic_high_sugar_reference,full_liquid_sample,26.0,2026-07-14 10:00:00,Tuesday,ethanol+aromas+full panel,,,50.0,True,1884.0,1834.0
7,3,synthetic_high_sugar_reference,manual_pulse,26.0,2026-07-14 10:00:00,Tuesday,manual N addition from stock,N,0.05,4.585,True,1834.0,1838.585
