batch,medium_type,medium_lot,n_rows,t_max_h,G_initial,F_initial,N_initial,temperatura_mean,notes
25026,unknown,,24,138.0,74.99,72.96,154.5,20.791666666666668,
25027,unknown,,32,186.0,77.81,77.54,162.5,18.8125,
25085,unknown,,35,216.0,46.05,54.34,93.34,18.3,
25086,unknown,,35,216.0,63.28,72.98,92.7,18.482857142857142,
25150,unknown,,30,174.0,65.07,67.57,94.24,20.386666666666667,
25151,unknown,,30,174.0,63.2,73.6,90.78,20.546666666666663,
25170,unknown,,63,372.0,65.64,74.52,98.42,15.631746031746031,
25171,unknown,,63,372.0,63.97,77.1,96.6,14.852380952380951,
