,theta_mle,prior_median_nominal,posterior_median_laplace,posterior_log_sd,posterior_95_lower,posterior_95_upper,posterior_95_mult_factor,posterior_var_over_prior_var,prior_pull_log_units,data_dominated,nominal_inside_posterior_95
mu0,0.158858848524967,0.18,0.15896934441568655,0.02786888833353019,0.15051885520273353,0.16789426434259933,1.0561423962570742,0.0007766749369467751,0.0006953183992204348,True,False
qN,0.0135460719053021,0.009141696292534281,0.013537159484316356,0.026280571515077233,0.012857515938953302,0.014252728736553647,1.052859630786379,0.0006906684391590888,0.0006581505123399722,True,False
betaG0,0.4095834574103576,0.225,0.4091088703966177,0.04251293427378718,0.37640133566617595,0.44465853858083604,1.0868953737174023,0.0018073495805673492,0.001159378317789339,True,False
betaF0,0.3094143987288918,0.225,0.3086954941546832,0.0737499114105558,0.26714872047167654,0.3567035917041091,1.1555192688538876,0.005439049433064828,0.0023261394345794884,True,False
qEG,0.5158266422872246,0.45918367346938777,0.5150011404486219,0.03696662160187505,0.47900667700670047,0.5537003707772348,1.075143970156846,0.001366531112656215,0.0016016293485566768,True,False
qEF,0.5792246536797445,0.45918367346938777,0.5781689148573141,0.042183882679573355,0.5322885109530237,0.6280039625668071,1.0861946161906537,0.0017794799579240086,0.0018243390043632957,True,False
