profiled_theta,n_success,theta_hat,min_profile_objective,max_relative_objective_increase_pct,crosses_left_practical,crosses_right_practical,relative_threshold_pct
betaF0,9,0.283491875797895,6001.982781116321,4.2687488659728,False,False,100.0
betaG0,9,0.3950433495524203,6001.982781116321,7.055895515561326,False,False,100.0
iG,8,0.01885776678736572,6001.982781116321,1.994992933775471,False,False,100.0
mu0,9,0.15683191413968361,6001.982781116321,8.436737695363231,False,False,100.0
qEF,8,0.5022593701957047,6001.982781116321,13.102336364315468,False,False,100.0
qEG,8,0.5138650249139206,6001.982781116321,25.52968842588748,False,False,100.0
qN,8,0.01341550880011663,6001.982781116321,24.928967342975497,False,False,100.0
