profiled_theta,n_success,theta_hat,min_profile_objective,max_lr_stat,crosses_left,crosses_right,chi2_threshold
betaF0,9,0.30941439872889187,6010.75343907352,842.9389668246058,True,True,3.841458820694124
betaG0,10,0.4095834574103576,6010.75343907352,1038.8833242479122,True,True,3.841458820694124
mu0,9,0.158858848524967,6010.75343907352,1044.7043227362828,True,True,3.841458820694124
qEF,10,0.5792246536797445,6010.75343907352,6243.0646325495,True,True,3.841458820694124
qEG,10,0.5158266422872246,6010.75343907352,10821.097856185901,True,True,3.841458820694124
qN,10,0.013546071905302107,6010.75343907352,173924.61663945016,True,True,3.841458820694124
