direction,fim_eigenvalue,relative_eigenvalue,dominant_parameters,dominant_loadings,dominant_abs_loadings
1,137.72607279372835,0.0009077428687291234,"betaF0, qEF, qEG, qN, mu0","+0.839, +0.416, +0.302, +0.140, -0.111","0.839, 0.416, 0.302, 0.140, 0.111"
2,333.15537884466045,0.002195803693451145,"betaG0, qEG, mu0, betaF0, qEF","-0.766, -0.391, +0.334, +0.289, -0.254","0.766, 0.391, 0.334, 0.289, 0.254"
3,1039.2860527077803,0.006849861349986067,"qN, mu0, qEF, betaG0, betaF0","+0.741, +0.583, +0.238, +0.177, -0.144","0.741, 0.583, 0.238, 0.177, 0.144"
4,1865.2625065418601,0.012293814121579207,"qEF, qEG, mu0, qN, betaF0","+0.728, -0.629, -0.175, -0.149, -0.134","0.728, 0.629, 0.175, 0.149, 0.134"
5,51934.52035144588,0.34229677455842833,"mu0, qN, qEG, qEF, betaG0","+0.557, -0.517, +0.454, +0.370, -0.206","0.557, 0.517, 0.454, 0.370, 0.206"
6,151723.66265630972,1.0,"betaG0, mu0, qEG, qN, betaF0","-0.581, -0.441, +0.390, +0.375, -0.370","0.581, 0.441, 0.390, 0.375, 0.370"
