parameter,back_transformed_value,physical_lower_bound,physical_upper_bound
mu0,0.1568304913955837,0.05,1.0
betaG0,0.39503953466206343,0.1,10.0
betaF0,0.28349582433260656,0.1,10.0
Kn0,0.008712805077532427,0.01,0.1
Kg0,13.167984488735447,0.01,10.0
Kf0,9.449860811086886,0.01,10.0
Kig0,53.02815244062744,10.0,1000.0
Kie0,40.0,10.0,1000.0
Kd0,0.00044,0.0001,0.05
Yxn,11.690371795180237,1.0,100.0
Yxg,1.3940488124051895,0.1,10.0
Yxf,1.3940488124051895,0.1,10.0
Yeg,0.7687610745531467,0.1,10.0
Yef,0.564442207423815,0.1,10.0
m0,0.01,0.0001,0.05
