profiled_theta,theta_hat,profile_ci_lower,profile_ci_upper,profile_relative_ci_width,crosses_left,crosses_right,profile_identifiable,theta_mle,prior_median_nominal,posterior_median_laplace,posterior_log_sd,posterior_95_lower,posterior_95_upper,posterior_95_mult_factor,posterior_var_over_prior_var,data_dominated,fim_condition_pm10,fim_min_relative_eigenvalue_pm10,final_decision
betaF0,0.2834958243326065,0.2767195272787875,0.3016751101348115,0.08802804385134542,True,True,True,0.2834958243326065,0.3094143987288918,0.2846897024682422,0.0836651634109128,0.2416320473501225,0.3354200222208861,1.1781951342560517,0.0069998595685747,True,8381.224238269466,0.0001193143115577,estimate_identifiable
betaG0,0.3950395346620634,0.3712755184192168,0.40463656539600734,0.08444989437659513,True,True,True,0.3950395346620634,0.4095834574103576,0.3963572751492649,0.0586737529885349,0.3532992595751114,0.4446629459475299,1.1218740611739078,0.0034426092897596,True,8381.224238269466,0.0001193143115577,estimate_identifiable
iG,0.0188579076202898,0.01704883942485033,0.021584230395168783,0.24050340375189266,True,True,True,0.0188579076202898,0.0270361608651571,0.019212369354801,0.207557163486326,0.0127910060089674,0.0288573968276242,1.502021759768684,0.0430799761144894,True,8381.224238269466,0.0001193143115577,estimate_identifiable
mu0,0.1568304913955837,0.15320526047688612,0.16389263529050144,0.06814602644238267,True,True,True,0.1568304913955837,0.158858848524967,0.1567918473492319,0.0283547813448681,0.1483157936102448,0.1657522964802228,1.0571486928847313,0.0008039936251152,True,8381.224238269466,0.0001193143115577,estimate_identifiable
qEF,0.5022583722548266,0.5013383068310779,0.5147199696834157,0.026642986143292063,True,True,True,0.5022583722548266,0.5792246536797445,0.5057192056323486,0.0823714133251664,0.4303219354091777,0.5943269303765061,1.175211310461035,0.0067850497331854,True,8381.224238269466,0.0001193143115577,estimate_identifiable
qEG,0.5138651627122065,0.5133820632615598,0.5191451835419831,0.011215238351643297,True,True,True,0.5138651627122065,0.5158266422872246,0.5147076903717199,0.0393912404063722,0.4764640702626073,0.5560209532311118,1.08026548589075,0.0015516698207526,True,8381.224238269466,0.0001193143115577,estimate_identifiable
qN,0.0134153553148961,0.01309400591805599,0.013507569886824137,0.03082765674562014,True,True,True,0.0134153553148961,0.0135460719053021,0.0134203200324803,0.0266055635450869,0.0127384257389629,0.0141387164681822,1.0535304995680623,0.0007078560115516,True,8381.224238269466,0.0001193143115577,estimate_identifiable
