profiled_theta,n_success,theta_hat,min_profile_objective,max_lr_stat,crosses_left,crosses_right,chi2_threshold
betaF0,9,0.283491875797895,6001.982781116321,512.4191438095713,True,True,3.841458820694124
betaG0,9,0.3950433495524203,6001.982781116321,846.9872677950989,True,True,3.841458820694124
iG,8,0.01885776678736572,6001.982781116321,239.4782647393822,True,True,3.841458820694124
mu0,9,0.15683191413968361,6001.982781116321,1012.7430875273021,True,True,3.841458820694124
qEF,8,0.5022593701957047,6001.982781116321,1572.7999450203133,True,True,3.841458820694124
qEG,8,0.5138650249139206,6001.982781116321,3064.5750067888257,True,True,3.841458820694124
qN,8,0.01341550880011663,6001.982781116321,2992.4646548710007,True,True,3.841458820694124
