,theta_hat,posterior_sd_log_laplace,posterior_95_mult_factor,posterior_var_over_prior_var
mu0,0.158858848524967,0.024702748451259752,1.0496086568812177,0.0006102257810462161
qN,0.013546071905302107,0.02342550206664062,1.0469843497308091,0.000548754147074184
betaG0,0.4095834574103576,0.04084484878105757,1.0833476290264368,0.0016683016719474602
betaF0,0.30941439872889187,0.05083534856894983,1.1047701267026981,0.0025842326641266292
qEG,0.5158266422872246,0.03009132024507893,1.0607529516259027,0.0009054875540918972
