direction,fim_eigenvalue,relative_eigenvalue,dominant_parameters,dominant_loadings,dominant_abs_loadings
1,269.77185679381944,0.001851998862864295,"betaF0, betaG0, mu0, qN, qEG","+0.783, -0.602, +0.139, +0.056, -0.049","0.783, 0.602, 0.139, 0.056, 0.049"
2,592.3694856815576,0.004066649601319297,"qEG, betaF0, betaG0, mu0, qN","+0.698, +0.435, +0.412, -0.380, -0.097","0.698, 0.435, 0.412, 0.380, 0.097"
3,1098.988128057814,0.007544614874412141,"qN, mu0, qEG, betaG0, betaF0","-0.752, -0.562, -0.273, -0.208, -0.023","0.752, 0.562, 0.273, 0.208, 0.023"
4,44247.73502674197,0.3037631720660796,"qEG, mu0, qN, betaG0, betaF0","+0.545, +0.542, -0.516, -0.286, -0.246","0.545, 0.542, 0.516, 0.286, 0.246"
5,145665.23889576865,1.0,"betaG0, mu0, qN, qEG, betaF0","-0.585, -0.476, +0.394, +0.372, -0.370","0.585, 0.476, 0.394, 0.372, 0.370"
