profiled_theta,theta_value,theta_hat,objective,lr_stat,success,status,error,objective_direct,objective_gap,objective_scale,objective_consistent,estimated_qN,estimated_betaG0,estimated_betaF0,estimated_qEG,estimated_qEF,estimated_iG,estimated_mu0,objective_increase,relative_objective_increase_pct
mu0,0.05,0.15683191413968361,6484.40370049577,964.8418387588972,True,optimal,,6484.403700611966,1.1619613360380754e-07,total,True,0.008048348205709545,1.4451166786118284,0.4673106337263107,1.7295559216529566,0.8922849471834878,0.009811759572072238,,482.4209193794486,8.03769249217543
mu0,0.08740930829074106,0.15683191413968361,6101.179166979649,198.39277172665606,True,optimal,,6101.1791684837945,1.504145075159613e-06,total,True,0.008324790238376414,0.6062954602319245,0.2714888051345848,0.7302458619379144,0.5175623351944728,0.014389345206430234,,99.19638586332803,1.6527269317636777
mu0,0.1248186165814821,0.15683191413968361,6018.940621673084,33.91568111352535,True,optimal,,6018.940620769454,-9.036302799358964e-07,total,True,0.01123262586596198,0.4533047998175244,0.283856864231193,0.5742956184802726,0.5152861302622159,0.017532606965563836,,16.957840556762676,0.2825373076729929
mu0,0.15683191413968361,0.15683191413968361,6001.982781116321,0.0,True,theta_hat_baseline,,6001.982781116321,0.0,baseline,True,0.01341550880011663,0.3950433495524203,0.283491875797895,0.5138650249139206,0.5022593701957047,0.01885776678736572,,0.0,0.0
mu0,0.16222792487222315,0.15683191413968361,6002.45732759871,0.9490929647781741,True,optimal,,6002.457327611032,1.2321834219619632e-08,total,True,0.013751640621324352,0.3872396148018242,0.28272379327607444,0.5056135389222332,0.49910121795299844,0.019028025134548304,,0.47454648238908703,0.007906495231577874
mu0,0.19963723316296422,0.15683191413968361,6034.967557331433,65.96955243022421,True,optimal,,6034.967540355155,-1.6976278857327998e-05,total,True,0.01575841813493596,0.3393030306579246,0.2732435489952209,0.45282808267308833,0.47237070406003095,0.02001372418555666,,32.984776215112106,0.549564659180465
mu0,0.23704654145370524,0.15683191413968361,6125.033427840076,246.1012934475093,True,optimal,,6125.033419119405,-8.720670848560985e-06,total,True,0.017710005085784512,0.3081429574661718,0.26421421954482627,0.41807390938976696,0.44857054200704916,0.020665669469822987,,123.05064672375465,2.050166606790368
mu0,0.2744558497444463,0.15683191413968361,6231.850329386051,459.73509653945985,True,optimal,,6231.850329350213,-3.583863872336224e-08,total,True,0.02058166409614526,0.298549779165557,0.2729347850008407,0.411813721838444,0.45754169065681266,0.021228386103646725,,229.86754826972992,3.8298601754231685
mu0,0.6273276565587345,0.15683191413968361,6508.354324879972,1012.7430875273021,True,optimal,,6508.354324879954,-1.8189894035458565e-11,total,True,0.051774815932757595,0.2915314867789742,0.3363490858325749,0.42792966086594275,0.5411161690281053,0.0232439653722488,,506.37154376365106,8.436737695363231
qN,0.0033538772000291576,0.01341550880011663,7498.215108551822,2992.4646548710007,True,optimal,,7498.214814071708,-0.00029448011355270864,total,True,,0.545298520341066,0.13117050289589008,0.6443451957519951,0.19891926476663338,0.014144842170150539,0.08003570312353218,1496.2323274355003,24.928967342975497
