,physical_reduced6_nominal_fixed
mu0,0.158858848524967
betaG0,0.4095834574103576
betaF0,0.30941439872889187
Kn0,0.00882549158472039
Kg0,13.652781913678586
Kf0,10.313813290963061
Kig0,36.9875
Kie0,40.0
Kd0,0.00044
Yxn,11.727299960868184
Yxg,1.4120786535552625
Yxf,1.4120786535552625
Yeg,0.7940331573301942
Yef,0.5341872048491366
m0,0.01
