independent_seed,iteration,normalized_position_diversity,unique_canonical_policy_pairs,canonical_policy_pair_fraction
20260717,0,0.3267020090555597,12,1.0
20260717,1,0.18596831737755834,12,1.0
20260717,2,0.14307922676847815,12,1.0
20260717,3,0.15469225652359697,12,1.0
20260717,4,0.1687282941965427,12,1.0
20260717,5,0.1443821585064977,12,1.0
20260717,6,0.1266731159966531,12,1.0
20260731,0,0.3280197102599775,12,1.0
20260731,1,0.17454098542912644,12,1.0
20260731,2,0.17255085123843003,12,1.0
20260731,3,0.1756189254876299,12,1.0
20260731,4,0.19856959766430757,12,1.0
20260731,5,0.20251720680962954,12,1.0
20260731,6,0.1665423203550528,12,1.0
20260747,0,0.3284182574878048,12,1.0
20260747,1,0.17930359199943083,12,1.0
20260747,2,0.1550661909711932,12,1.0
20260747,3,0.18276799285926423,12,1.0
20260747,4,0.17447447153534687,12,1.0
20260747,5,0.14932830870225713,12,1.0
20260747,6,0.1533499320058555,12,1.0
