variable_index,value
0,21.64102000100063
1,0.1960332509024606
2,0.9337426946837544
3,1.0
4,0.3409339834659755
5,8.726845221846748
6,0.0
7,2.8166633419692033
8,6.616492773865991
9,15.194152675886041
10,22.915522222546144
11,15.0
12,22.01662769238283
13,0.5533562924940173
14,0.37007353007920485
15,0.7945118263508424
16,0.2562122914393954
17,0.0
18,0.0
19,80.0
20,0.0
21,34.75068166592185
22,22.208119351457263
23,0.9590254566717631
24,0.05618522706763296
25,0.43601748358526504
26,0.0
27,8.388631046784605
28,0.0
29,6.999445713518982
30,0.0
31,17.615361613122744
32,17.54198070703463
33,20.08905079222148
34,23.66678632268248
35,1.0
36,0.4832218985287877
37,0.0
38,0.0
39,9.65243106274108
40,5.009868161060921
41,80.0
42,80.0
43,0.0
