,plus_iG_unregularized
mu0,0.1568304913955837
sN,18.0
qN,0.01341535531489619
qXG,0.1124999999999999
qXF,0.1124999999999999
betaG0,0.39503953466206343
sG,0.03
betaF0,0.28349582433260656
sF,0.03
qEG,0.5138651627122065
qEF,0.5022583722548266
iG,0.01885790762028985
iE,0.025
Kd0,0.00044
m0,0.01
