,plus_iG_logL2_50
mu0,0.15811622208664178
sN,18.0
qN,0.013496745374004802
qXG,0.1124999999999999
qXF,0.1124999999999999
betaG0,0.4032195824222312
sG,0.03
betaF0,0.2981766628750436
sF,0.03
qEG,0.5155182023595146
qEF,0.5439990550618092
iG,0.02337533322507288
iE,0.025
Kd0,0.00044
m0,0.01
